Date,LSTM_Forecast
2025-02-24,-283.5425
2025-02-25,-394.06235
2025-02-26,-578.7889
2025-02-27,-818.19037
2025-02-28,-1104.9061
2025-03-01,-1438.7958
2025-03-02,-1823.766
2025-03-03,-2266.395
2025-03-04,-2775.6821
2025-03-05,-3363.3752
2025-03-06,-4044.5933
2025-03-07,-4838.658
2025-03-08,-5770.174
2025-03-09,-6870.415
2025-03-10,-8179.1187
2025-03-11,-9739.887
2025-03-12,-11620.4795
2025-03-13,-13897.434
2025-03-14,-16666.576
2025-03-15,-20043.318
2025-03-16,-24159.258
2025-03-17,-29150.89
2025-03-18,-35135.383
2025-03-19,-42169.92
2025-03-20,-50198.93
2025-03-21,-59006.098
2025-03-22,-68201.47
2025-03-23,-77272.89
2025-03-24,-85702.98
2025-03-25,-93104.49
