,predicted_mean
2025-02-24,3.6709898336741333e-187
2025-02-25,2.0320526990437757e-187
2025-02-26,6.764938089146212e-188
2025-02-27,5.477694812364575e-188
2025-02-28,6.872713852160146e-189
2025-03-01,-4.021237467367132e-188
2025-03-02,-7.646545951296848e-188
2025-03-03,-1.1474441125250175e-187
2025-03-04,-1.500161955348028e-187
2025-03-05,-1.8183274746809702e-187
2025-03-06,-2.119735607085164e-187
2025-03-07,-2.400205328026132e-187
2025-03-08,-2.6603327833771127e-187
2025-03-09,-2.903063528408043e-187
2025-03-10,-3.1290010475976605e-187
2025-03-11,-3.3392478712329776e-187
2025-03-12,-3.535055913324968e-187
2025-03-13,-3.7173518726201557e-187
2025-03-14,-3.887062420406654e-187
2025-03-15,-4.045073743721473e-187
2025-03-16,-4.192185156601685e-187
2025-03-17,-4.329148169289476e-187
2025-03-18,-4.456664707399877e-187
2025-03-19,-4.5753854855576316e-187
2025-03-20,-4.685917189894389e-187
2025-03-21,-4.788824880370749e-187
2025-03-22,-4.884634338211367e-187
2025-03-23,-4.973835175924235e-187
2025-03-24,-5.056883255219353e-187
2025-03-25,-5.134202961379584e-187
