Date,LSTM_Forecast
2025-02-24,1.4111891
2025-02-25,1.6797007
2025-02-26,2.1667116
2025-02-27,2.8255987
2025-02-28,3.6240516
2025-03-01,4.543854
2025-03-02,5.5773726
2025-03-03,6.723803
2025-03-04,7.9863396
2025-03-05,9.370416
2025-03-06,10.882861
2025-03-07,12.531585
2025-03-08,14.325645
2025-03-09,16.275383
2025-03-10,18.392658
2025-03-11,20.702822
2025-03-12,23.190004
2025-03-13,25.875628
2025-03-14,28.7776
2025-03-15,31.912992
2025-03-16,35.29969
2025-03-17,38.957363
2025-03-18,42.908073
2025-03-19,47.176517
2025-03-20,51.790382
2025-03-21,56.780476
2025-03-22,62.181065
2025-03-23,68.029976
2025-03-24,74.368675
2025-03-25,81.24201
