Date,LSTM_Forecast
2025-02-24,-46.241245
2025-02-25,-70.692696
2025-02-26,-101.81765
2025-02-27,-135.23083
2025-02-28,-169.16396
2025-03-01,-202.60654
2025-03-02,-234.94437
2025-03-03,-265.84702
2025-03-04,-295.19083
2025-03-05,-322.99112
2025-03-06,-349.34357
2025-03-07,-374.3802
2025-03-08,-398.23807
2025-03-09,-421.04092
2025-03-10,-442.8908
2025-03-11,-463.88303
2025-03-12,-484.10654
2025-03-13,-503.61636
2025-03-14,-522.4584
2025-03-15,-540.66815
2025-03-16,-558.27313
2025-03-17,-575.296
2025-03-18,-591.75586
2025-03-19,-607.6702
2025-03-20,-623.0552
2025-03-21,-637.92706
2025-03-22,-652.30176
2025-03-23,-666.1952
2025-03-24,-679.6232
2025-03-25,-692.60187
