,predicted_mean
2025-02-24,-5e-324
2025-02-25,-1e-323
2025-02-26,-1.5e-323
2025-02-27,-2e-323
2025-02-28,-2.5e-323
2025-03-01,-3e-323
2025-03-02,-3.5e-323
2025-03-03,-4e-323
2025-03-04,-4.4e-323
2025-03-05,-5e-323
2025-03-06,-5.4e-323
2025-03-07,-6e-323
2025-03-08,-6.4e-323
2025-03-09,-7e-323
2025-03-10,-7.4e-323
2025-03-11,-8e-323
2025-03-12,-8.4e-323
2025-03-13,-9e-323
2025-03-14,-9.4e-323
2025-03-15,-1e-322
2025-03-16,-1.04e-322
2025-03-17,-1.1e-322
2025-03-18,-1.14e-322
2025-03-19,-1.2e-322
2025-03-20,-1.24e-322
2025-03-21,-1.3e-322
2025-03-22,-1.33e-322
2025-03-23,-1.4e-322
2025-03-24,-1.43e-322
2025-03-25,-1.5e-322
