Date,LSTM_Forecast
2025-02-24,1.350993
2025-02-25,1.7138977
2025-02-26,2.3366475
2025-02-27,3.1543903
2025-02-28,4.132138
2025-03-01,5.254619
2025-03-02,6.517907
2025-03-03,7.9239516
2025-03-04,9.477556
2025-03-05,11.18494
2025-03-06,13.053186
2025-03-07,15.090098
2025-03-08,17.304197
2025-03-09,19.704739
2025-03-10,22.301706
2025-03-11,25.075645
2025-03-12,28.04787
2025-03-13,31.220364
2025-03-14,34.59338
2025-03-15,38.165478
2025-03-16,41.93304
2025-03-17,45.889668
2025-03-18,50.025528
2025-03-19,54.326843
2025-03-20,58.775333
2025-03-21,63.347878
2025-03-22,68.01624
2025-03-23,72.747116
2025-03-24,77.5023
2025-03-25,82.239395
