Date,LSTM_Forecast
2025-02-24,0.028822258
2025-02-25,0.034119904
2025-02-26,0.042706497
2025-02-27,0.0535281
2025-02-28,0.06606569
2025-03-01,0.08007618
2025-03-02,0.09544954
2025-03-03,0.11213579
2025-03-04,0.1301108
2025-03-05,0.14936143
2025-03-06,0.16988015
2025-03-07,0.19166322
2025-03-08,0.21470968
2025-03-09,0.23902065
2025-03-10,0.26459765
2025-03-11,0.2911939
2025-03-12,0.31893775
2025-03-13,0.34775603
2025-03-14,0.3775788
2025-03-15,0.40833193
2025-03-16,0.43993372
2025-03-17,0.4722919
2025-03-18,0.50530285
2025-03-19,0.5388517
2025-03-20,0.57281184
2025-03-21,0.60704607
2025-03-22,0.64140755
2025-03-23,0.6757409
2025-03-24,0.70988524
2025-03-25,0.74367577
