Date,LSTM_Forecast
2025-02-24,1.2867464
2025-02-25,1.4942052
2025-02-26,1.8508246
2025-02-27,2.3150089
2025-02-28,2.861475
2025-03-01,3.4749067
2025-03-02,4.1459947
2025-03-03,4.8688884
2025-03-04,5.6372356
2025-03-05,6.4512305
2025-03-06,7.3082724
2025-03-07,8.206184
2025-03-08,9.143072
2025-03-09,10.117251
2025-03-10,11.127248
2025-03-11,12.20923
2025-03-12,13.320656
2025-03-13,14.467678
2025-03-14,15.652813
2025-03-15,16.876724
2025-03-16,18.139269
2025-03-17,19.439981
2025-03-18,20.778252
2025-03-19,22.15337
2025-03-20,23.564743
2025-03-21,25.011757
2025-03-22,26.493755
2025-03-23,28.010077
2025-03-24,29.56004
2025-03-25,31.142921
