,predicted_mean
2025-02-24,1.207e-320
2025-02-25,1.6e-320
2025-02-26,2.0943e-320
2025-02-27,1.732e-320
2025-02-28,1.974e-320
2025-03-01,1.927e-320
2025-03-02,1.948e-320
2025-03-03,2.12e-320
2025-03-04,2.0197e-320
2025-03-05,2.0706e-320
2025-03-06,2.087e-320
2025-03-07,2.072e-320
2025-03-08,2.124e-320
2025-03-09,2.102e-320
2025-03-10,2.108e-320
2025-03-11,2.121e-320
2025-03-12,2.1126e-320
2025-03-13,2.1265e-320
2025-03-14,2.1235e-320
2025-03-15,2.1225e-320
2025-03-16,2.128e-320
2025-03-17,2.1255e-320
2025-03-18,2.1284e-320
2025-03-19,2.128e-320
2025-03-20,2.127e-320
2025-03-21,2.129e-320
2025-03-22,2.1284e-320
2025-03-23,2.1294e-320
2025-03-24,2.1294e-320
2025-03-25,2.129e-320
