Date,HW_Forecast
2025-02-24,-1.2230376363390246e-05
2025-02-25,6.184988279137607e-06
2025-02-26,1.3925773836031843e-06
2025-02-27,2.4221610003038884e-07
2025-02-28,1.0640777226477799e-06
2025-03-01,4.514939221220255e-06
2025-03-02,-2.2603058844385446e-08
2025-03-03,-1.2230376363390246e-05
2025-03-04,6.184988279137607e-06
2025-03-05,1.3925773836031843e-06
2025-03-06,2.4221610003038884e-07
2025-03-07,1.0640777226477799e-06
2025-03-08,4.514939221220255e-06
2025-03-09,-2.2603058844385446e-08
2025-03-10,-1.2230376363390246e-05
2025-03-11,6.184988279137607e-06
2025-03-12,1.3925773836031843e-06
2025-03-13,2.4221610003038884e-07
2025-03-14,1.0640777226477799e-06
2025-03-15,4.514939221220255e-06
2025-03-16,-2.2603058844385446e-08
2025-03-17,-1.2230376363390246e-05
2025-03-18,6.184988279137607e-06
2025-03-19,1.3925773836031843e-06
2025-03-20,2.4221610003038884e-07
2025-03-21,1.0640777226477799e-06
2025-03-22,4.514939221220255e-06
2025-03-23,-2.2603058844385446e-08
2025-03-24,-1.2230376363390246e-05
2025-03-25,6.184988279137607e-06
