Date,HW_Forecast
2025-02-24,-6.192939058021008e-07
2025-02-25,-4.125708107175723e-07
2025-02-26,2.4128905239670243e-06
2025-02-27,4.814093411837399e-06
2025-02-28,5.7078866631828605e-06
2025-03-01,3.1727211384901288e-06
2025-03-02,-1.1563001346481328e-13
2025-03-03,-6.192939058021008e-07
2025-03-04,-4.125708107175723e-07
2025-03-05,2.4128905239670243e-06
2025-03-06,4.814093411837399e-06
2025-03-07,5.7078866631828605e-06
2025-03-08,3.1727211384901288e-06
2025-03-09,-1.1563001346481328e-13
2025-03-10,-6.192939058021008e-07
2025-03-11,-4.125708107175723e-07
2025-03-12,2.4128905239670243e-06
2025-03-13,4.814093411837399e-06
2025-03-14,5.7078866631828605e-06
2025-03-15,3.1727211384901288e-06
2025-03-16,-1.1563001346481328e-13
2025-03-17,-6.192939058021008e-07
2025-03-18,-4.125708107175723e-07
2025-03-19,2.4128905239670243e-06
2025-03-20,4.814093411837399e-06
2025-03-21,5.7078866631828605e-06
2025-03-22,3.1727211384901288e-06
2025-03-23,-1.1563001346481328e-13
2025-03-24,-6.192939058021008e-07
2025-03-25,-4.125708107175723e-07
