Date,LSTM_Forecast
2025-02-24,2.596354
2025-02-25,2.890586
2025-02-26,3.3767765
2025-02-27,3.9869893
2025-02-28,4.679646
2025-03-01,5.430423
2025-03-02,6.22558
2025-03-03,7.057462
2025-03-04,7.9215584
2025-03-05,8.815589
2025-03-06,9.737909
2025-03-07,10.687482
2025-03-08,11.663529
2025-03-09,12.665568
2025-03-10,13.693279
2025-03-11,14.775585
2025-03-12,15.881702
2025-03-13,17.016897
2025-03-14,18.18401
2025-03-15,19.384539
2025-03-16,20.619476
2025-03-17,21.88969
2025-03-18,23.195978
2025-03-19,24.539207
2025-03-20,25.920286
2025-03-21,27.340145
2025-03-22,28.79977
2025-03-23,30.300219
2025-03-24,31.84253
2025-03-25,33.42781
