Date,LSTM_Forecast
2025-02-24,4.1374054
2025-02-25,5.191831
2025-02-26,6.938141
2025-02-27,9.169086
2025-02-28,11.780236
2025-03-01,14.7277565
2025-03-02,18.00034
2025-03-03,21.60319
2025-03-04,25.549875
2025-03-05,29.858746
2025-03-06,34.551632
2025-03-07,39.653496
2025-03-08,45.1925
2025-03-09,51.200146
2025-03-10,57.711403
2025-03-11,64.74846
2025-03-12,72.34661
2025-03-13,80.549904
2025-03-14,89.40228
2025-03-15,98.95021
2025-03-16,109.243774
2025-03-17,120.33721
2025-03-18,132.28912
2025-03-19,145.16264
2025-03-20,159.02565
2025-03-21,173.95132
2025-03-22,190.01779
2025-03-23,207.3092
2025-03-24,225.91528
2025-03-25,245.93216
