Date,LSTM_Forecast
2025-02-24,-24.951338
2025-02-25,-36.296406
2025-02-26,-49.26449
2025-02-27,-62.160446
2025-02-28,-74.5755
2025-03-01,-86.381134
2025-03-02,-97.54674
2025-03-03,-108.088455
2025-03-04,-118.045
2025-03-05,-127.46351
2025-03-06,-136.39151
2025-03-07,-144.87245
2025-03-08,-152.94405
2025-03-09,-160.63828
2025-03-10,-167.98163
2025-03-11,-174.9754
2025-03-12,-181.64796
2025-03-13,-188.0129
2025-03-14,-194.0844
2025-03-15,-199.87607
2025-03-16,-205.40073
2025-03-17,-210.67064
2025-03-18,-215.69771
2025-03-19,-220.49318
2025-03-20,-225.06789
2025-03-21,-229.43205
2025-03-22,-233.59561
2025-03-23,-237.56795
2025-03-24,-241.35786
2025-03-25,-244.97395
