,predicted_mean
2025-02-24,1.44e-321
2025-02-25,1.44e-321
2025-02-26,1.44e-321
2025-02-27,1.44e-321
2025-02-28,1.44e-321
2025-03-01,1.44e-321
2025-03-02,1.44e-321
2025-03-03,1.44e-321
2025-03-04,1.44e-321
2025-03-05,1.44e-321
2025-03-06,1.44e-321
2025-03-07,1.44e-321
2025-03-08,1.44e-321
2025-03-09,1.44e-321
2025-03-10,1.44e-321
2025-03-11,1.44e-321
2025-03-12,1.44e-321
2025-03-13,1.44e-321
2025-03-14,1.44e-321
2025-03-15,1.44e-321
2025-03-16,1.44e-321
2025-03-17,1.44e-321
2025-03-18,1.44e-321
2025-03-19,1.44e-321
2025-03-20,1.44e-321
2025-03-21,1.44e-321
2025-03-22,1.44e-321
2025-03-23,1.44e-321
2025-03-24,1.44e-321
2025-03-25,1.44e-321
