Date,LSTM_Forecast
2025-02-24,-6.5578785
2025-02-25,-8.356362
2025-02-26,-10.990761
2025-02-27,-14.0827
2025-02-28,-17.480785
2025-03-01,-21.119202
2025-03-02,-24.964376
2025-03-03,-28.995193
2025-03-04,-33.19583
2025-03-05,-37.553154
2025-03-06,-42.055843
2025-03-07,-46.693993
2025-03-08,-51.45896
2025-03-09,-56.34324
2025-03-10,-61.340313
2025-03-11,-66.48156
2025-03-12,-71.728455
2025-03-13,-77.0858
2025-03-14,-82.553444
2025-03-15,-88.130325
2025-03-16,-93.81539
2025-03-17,-99.607994
2025-03-18,-105.50765
2025-03-19,-111.51422
2025-03-20,-117.62777
2025-03-21,-123.84846
2025-03-22,-130.17664
2025-03-23,-136.6128
2025-03-24,-143.1574
2025-03-25,-149.81108
