Date,LSTM_Forecast
2025-02-24,44.558807
2025-02-25,63.93247
2025-02-26,86.92029
2025-02-27,111.45916
2025-02-28,137.45204
2025-03-01,165.08005
2025-03-02,194.54568
2025-03-03,226.03162
2025-03-04,259.6974
2025-03-05,295.68396
2025-03-06,334.12003
2025-03-07,375.12784
2025-03-08,418.8282
2025-03-09,465.3429
2025-03-10,514.7971
2025-03-11,567.4126
2025-03-12,623.31775
2025-03-13,682.6757
2025-03-14,745.6467
2025-03-15,812.38904
2025-03-16,883.05786
2025-03-17,957.8042
2025-03-18,1036.772
2025-03-19,1120.0967
2025-03-20,1207.9025
2025-03-21,1300.298
2025-03-22,1397.3754
2025-03-23,1499.2047
2025-03-24,1605.831
2025-03-25,1717.2712
