Date,LSTM_Forecast
2025-02-24,-1.8419359
2025-02-25,-2.189389
2025-02-26,-2.7815742
2025-02-27,-3.5532868
2025-02-28,-4.4663424
2025-03-01,-5.4997582
2025-03-02,-6.6427927
2025-03-03,-7.8904033
2025-03-04,-9.239937
2025-03-05,-10.691679
2025-03-06,-12.245801
2025-03-07,-13.903009
2025-03-08,-15.664416
2025-03-09,-17.531477
2025-03-10,-19.506073
2025-03-11,-21.64536
2025-03-12,-23.892338
2025-03-13,-26.261673
2025-03-14,-28.762451
2025-03-15,-31.401237
2025-03-16,-34.18387
2025-03-17,-37.116028
2025-03-18,-40.20375
2025-03-19,-43.45345
2025-03-20,-46.872005
2025-03-21,-50.46676
2025-03-22,-54.24556
2025-03-23,-58.216755
2025-03-24,-62.3892
2025-03-25,-66.77232
