,predicted_mean
2025-02-24,-3.975096235732492e-280
2025-02-25,-2.2219519361838735e-281
2025-02-26,2.2089333096618296e-281
2025-02-27,3.9743204946427277e-281
2025-02-28,1.3004224860097368e-280
2025-03-01,7.976387538339584e-281
2025-03-02,1.1953927104592886e-280
2025-03-03,1.3662816561344204e-280
2025-03-04,1.3426118447873607e-280
2025-03-05,1.555057443246318e-280
2025-03-06,1.5310278160315737e-280
2025-03-07,1.580024593463233e-280
2025-03-08,1.635125568226504e-280
2025-03-09,1.630511739293089e-280
2025-03-10,1.6688090452947444e-280
2025-03-11,1.6769280616837547e-280
2025-03-12,1.684060917369823e-280
2025-03-13,1.6980416440901155e-280
2025-03-14,1.699388757904168e-280
2025-03-15,1.7060329202902273e-280
2025-03-16,1.709761529592472e-280
2025-03-17,1.7112674321418452e-280
2025-03-18,1.7143774659782492e-280
2025-03-19,1.7153310291317333e-280
2025-03-20,1.7165732018351185e-280
2025-03-21,1.717656961514859e-280
2025-03-22,1.7180903578616893e-280
2025-03-23,1.7187536106053644e-280
2025-03-24,1.7190972240501e-280
2025-03-25,1.719363827677121e-280
