Date,LSTM_Forecast
2025-02-24,4.6221795
2025-02-25,5.67295
2025-02-26,7.322868
2025-02-27,9.337793
2025-02-28,11.601887
2025-03-01,14.058968
2025-03-02,16.682035
2025-03-03,19.457844
2025-03-04,22.379892
2025-03-05,25.445044
2025-03-06,28.652231
2025-03-07,32.001854
2025-03-08,35.495514
2025-03-09,39.135902
2025-03-10,42.926598
2025-03-11,46.887726
2025-03-12,50.99864
2025-03-13,55.269897
2025-03-14,59.70818
2025-03-15,64.31916
2025-03-16,69.108536
2025-03-17,74.082405
2025-03-18,79.24732
2025-03-19,84.610344
2025-03-20,90.17902
2025-03-21,95.961334
2025-03-22,101.96574
2025-03-23,108.201195
2025-03-24,114.677155
2025-03-25,121.40359
