Date,LSTM_Forecast
2025-02-24,10.724886
2025-02-25,16.61837
2025-02-26,23.672861
2025-02-27,30.98299
2025-02-28,38.159885
2025-03-01,44.93142
2025-03-02,51.095623
2025-03-03,56.519455
2025-03-04,61.13964
2025-03-05,64.95874
2025-03-06,68.03528
2025-03-07,70.46817
2025-03-08,72.37838
2025-03-09,73.89047
2025-03-10,75.11725
2025-03-11,76.13642
2025-03-12,77.03621
2025-03-13,77.86735
2025-03-14,78.66214
2025-03-15,79.435814
2025-03-16,80.19091
2025-03-17,80.92159
2025-03-18,81.617836
2025-03-19,82.268654
2025-03-20,82.86446
2025-03-21,83.39865
2025-03-22,83.86812
2025-03-23,84.27337
2025-03-24,84.61797
2025-03-25,84.90784
