Date,HW_Forecast
2025-02-24,-6.3766725679294785e-06
2025-02-25,-3.777149550024499e-06
2025-02-26,-9.34956106032804e-06
2025-02-27,9.051351252480191e-07
2025-02-28,7.249136796673711e-06
2025-03-01,7.4690749016918765e-06
2025-03-02,-1.1129843520332056e-13
2025-03-03,-6.3766725679294785e-06
2025-03-04,-3.777149550024499e-06
2025-03-05,-9.34956106032804e-06
2025-03-06,9.051351252480191e-07
2025-03-07,7.249136796673711e-06
2025-03-08,7.4690749016918765e-06
2025-03-09,-1.1129843520332056e-13
2025-03-10,-6.3766725679294785e-06
2025-03-11,-3.777149550024499e-06
2025-03-12,-9.34956106032804e-06
2025-03-13,9.051351252480191e-07
2025-03-14,7.249136796673711e-06
2025-03-15,7.4690749016918765e-06
2025-03-16,-1.1129843520332056e-13
2025-03-17,-6.3766725679294785e-06
2025-03-18,-3.777149550024499e-06
2025-03-19,-9.34956106032804e-06
2025-03-20,9.051351252480191e-07
2025-03-21,7.249136796673711e-06
2025-03-22,7.4690749016918765e-06
2025-03-23,-1.1129843520332056e-13
2025-03-24,-6.3766725679294785e-06
2025-03-25,-3.777149550024499e-06
