Date,HW_Forecast
2025-02-24,-1.2705970463136397e-05
2025-02-25,-2.4261733387229903e-06
2025-02-26,-1.8154375552472475e-05
2025-02-27,-1.4545688403453701e-06
2025-02-28,-7.051089213009654e-06
2025-03-01,-1.7387794102355658e-05
2025-03-02,2.5909874391122616e-13
2025-03-03,-1.2705970463136397e-05
2025-03-04,-2.4261733387229903e-06
2025-03-05,-1.8154375552472475e-05
2025-03-06,-1.4545688403453701e-06
2025-03-07,-7.051089213009654e-06
2025-03-08,-1.7387794102355658e-05
2025-03-09,2.5909874391122616e-13
2025-03-10,-1.2705970463136397e-05
2025-03-11,-2.4261733387229903e-06
2025-03-12,-1.8154375552472475e-05
2025-03-13,-1.4545688403453701e-06
2025-03-14,-7.051089213009654e-06
2025-03-15,-1.7387794102355658e-05
2025-03-16,2.5909874391122616e-13
2025-03-17,-1.2705970463136397e-05
2025-03-18,-2.4261733387229903e-06
2025-03-19,-1.8154375552472475e-05
2025-03-20,-1.4545688403453701e-06
2025-03-21,-7.051089213009654e-06
2025-03-22,-1.7387794102355658e-05
2025-03-23,2.5909874391122616e-13
2025-03-24,-1.2705970463136397e-05
2025-03-25,-2.4261733387229903e-06
