,predicted_mean
2025-02-24,-1.0940518073658927e-116
2025-02-25,-1.322266471628659e-116
2025-02-26,-1.6010311543029412e-116
2025-02-27,-1.841146075958094e-116
2025-02-28,-2.177101437198384e-116
2025-03-01,-2.4119825451480246e-116
2025-03-02,-2.6200615642219524e-116
2025-03-03,-2.8076550909597923e-116
2025-03-04,-2.98903616197332e-116
2025-03-05,-3.1464949511025505e-116
2025-03-06,-3.2867162929227e-116
2025-03-07,-3.412858236133111e-116
2025-03-08,-3.527646103263986e-116
2025-03-09,-3.63041225679127e-116
2025-03-10,-3.722573027817914e-116
2025-03-11,-3.805425616010535e-116
2025-03-12,-3.880065168948161e-116
2025-03-13,-3.947141694401877e-116
2025-03-14,-4.007414991722812e-116
2025-03-15,-4.06160060102551e-116
2025-03-16,-4.110332656720079e-116
2025-03-17,-4.1541442829523616e-116
2025-03-18,-4.193529249780203e-116
2025-03-19,-4.2289376309738333e-116
2025-03-20,-4.2607733536176694e-116
2025-03-21,-4.28939543374048e-116
2025-03-22,-4.315127714966826e-116
2025-03-23,-4.338262239108891e-116
2025-03-24,-4.3590615594421975e-116
2025-03-25,-4.377761264630633e-116
