Date,LSTM_Forecast
2025-02-24,-11.724301
2025-02-25,-14.493483
2025-02-26,-19.269737
2025-02-27,-25.427008
2025-02-28,-32.547577
2025-03-01,-40.389458
2025-03-02,-48.827614
2025-03-03,-57.80365
2025-03-04,-67.289894
2025-03-05,-77.278625
2025-03-06,-87.77013
2025-03-07,-98.769394
2025-03-08,-110.28538
2025-03-09,-122.330795
2025-03-10,-134.92174
2025-03-11,-147.98073
2025-03-12,-161.52876
2025-03-13,-175.58528
2025-03-14,-190.15779
2025-03-15,-205.2508
2025-03-16,-220.86958
2025-03-17,-237.02136
2025-03-18,-253.71523
2025-03-19,-270.9619
2025-03-20,-288.77344
2025-03-21,-307.16284
2025-03-22,-326.14407
2025-03-23,-345.7321
2025-03-24,-365.9421
2025-03-25,-386.7904
