Date,LSTM_Forecast
2025-02-24,0.11196403
2025-02-25,0.16056904
2025-02-26,0.22311518
2025-02-27,0.28896156
2025-02-28,0.35293677
2025-03-01,0.41152295
2025-03-02,0.46217752
2025-03-03,0.5032719
2025-03-04,0.5340939
2025-03-05,0.5548036
2025-03-06,0.5663093
2025-03-07,0.57009596
2025-03-08,0.56801593
2025-03-09,0.56207234
2025-03-10,0.55421644
2025-03-11,0.5449778
2025-03-12,0.53641164
2025-03-13,0.52932054
2025-03-14,0.52428544
2025-03-15,0.5215786
2025-03-16,0.52119124
2025-03-17,0.52289313
2025-03-18,0.526296
2025-03-19,0.5309225
2025-03-20,0.5362642
2025-03-21,0.5418334
2025-03-22,0.5472017
2025-03-23,0.5520257
2025-03-24,0.5560606
2025-03-25,0.55916405
