,predicted_mean
2025-02-24,3.41310920239435e-44
2025-02-25,4.8197587820445686e-45
2025-02-26,4.253757314949145e-44
2025-02-27,5.226459427916093e-44
2025-02-28,7.768481912551964e-44
2025-03-01,8.503110529463485e-44
2025-03-02,1.0575675353821681e-43
2025-03-03,1.1533292806448842e-43
2025-03-04,1.2969401694284577e-43
2025-03-05,1.3776451207617027e-43
2025-03-06,1.4855749403408105e-43
2025-03-07,1.553686680970007e-43
2025-03-08,1.6320767002774354e-43
2025-03-09,1.6867909240395927e-43
2025-03-10,1.7452448515809516e-43
2025-03-11,1.7885049612817705e-43
2025-03-12,1.8320162982960526e-43
2025-03-13,1.865837425183513e-43
2025-03-14,1.8985220529689277e-43
2025-03-15,1.9247490610379484e-43
2025-03-16,1.9493724555676287e-43
2025-03-17,1.9696191545524475e-43
2025-03-18,1.9882405888503308e-43
2025-03-19,2.0038127489247407e-43
2025-03-20,2.0179270271220913e-43
2025-03-21,2.0298771355783368e-43
2025-03-22,2.0405950527087257e-43
2025-03-23,2.049749637623236e-43
2025-03-24,2.0578990047250433e-43
2025-03-25,2.064903953655365e-43
