Date,LSTM_Forecast
2025-02-24,-0.0050534136
2025-02-25,-0.0063574193
2025-02-26,-0.008573335
2025-02-27,-0.011458627
2025-02-28,-0.014888476
2025-03-01,-0.01881224
2025-03-02,-0.02322282
2025-03-03,-0.028135318
2025-03-04,-0.033576936
2025-03-05,-0.03958226
2025-03-06,-0.04619168
2025-03-07,-0.053451747
2025-03-08,-0.06141478
2025-03-09,-0.07013982
2025-03-10,-0.07969327
2025-03-11,-0.09009635
2025-03-12,-0.10143467
2025-03-13,-0.11378653
2025-03-14,-0.12723239
2025-03-15,-0.14185944
2025-03-16,-0.15776266
2025-03-17,-0.17504601
2025-03-18,-0.19382267
2025-03-19,-0.21421587
2025-03-20,-0.23635961
2025-03-21,-0.26039925
2025-03-22,-0.2864931
2025-03-23,-0.31481254
2025-03-24,-0.34554383
2025-03-25,-0.37888858
