Date,HW_Forecast
2025-02-24,-4.49406108412841e-06
2025-02-25,2.650094956692784e-05
2025-02-26,9.910443687643712e-06
2025-02-27,-3.560275843340705e-05
2025-02-28,7.661528778587609e-06
2025-03-01,-2.7528119871584884e-06
2025-03-02,1.3581960962419305e-08
2025-03-03,-4.49406108412841e-06
2025-03-04,2.650094956692784e-05
2025-03-05,9.910443687643712e-06
2025-03-06,-3.560275843340705e-05
2025-03-07,7.661528778587609e-06
2025-03-08,-2.7528119871584884e-06
2025-03-09,1.3581960962419305e-08
2025-03-10,-4.49406108412841e-06
2025-03-11,2.650094956692784e-05
2025-03-12,9.910443687643712e-06
2025-03-13,-3.560275843340705e-05
2025-03-14,7.661528778587609e-06
2025-03-15,-2.7528119871584884e-06
2025-03-16,1.3581960962419305e-08
2025-03-17,-4.49406108412841e-06
2025-03-18,2.650094956692784e-05
2025-03-19,9.910443687643712e-06
2025-03-20,-3.560275843340705e-05
2025-03-21,7.661528778587609e-06
2025-03-22,-2.7528119871584884e-06
2025-03-23,1.3581960962419305e-08
2025-03-24,-4.49406108412841e-06
2025-03-25,2.650094956692784e-05
