Date,LSTM_Forecast
2025-02-24,61.85041
2025-02-25,87.58919
2025-02-26,121.98905
2025-02-27,159.16408
2025-02-28,196.74716
2025-03-01,233.68974
2025-03-02,269.57407
2025-03-03,304.34308
2025-03-04,338.1473
2025-03-05,371.23587
2025-03-06,403.87582
2025-03-07,436.29947
2025-03-08,468.67432
2025-03-09,501.0933
2025-03-10,533.58044
2025-03-11,566.16187
2025-03-12,598.8611
2025-03-13,631.62726
2025-03-14,664.4163
2025-03-15,697.1844
2025-03-16,729.8902
2025-03-17,762.4976
2025-03-18,794.9767
2025-03-19,827.30365
2025-03-20,859.459
2025-03-21,891.4279
2025-03-22,923.198
2025-03-23,954.7583
2025-03-24,986.0983
2025-03-25,1017.2082
