Date,LSTM_Forecast
2025-02-24,-9.144804
2025-02-25,-11.872669
2025-02-26,-16.165634
2025-02-27,-21.382307
2025-02-28,-27.170408
2025-03-01,-33.33074
2025-03-02,-39.743176
2025-03-03,-46.32884
2025-03-04,-53.03409
2025-03-05,-59.816746
2025-03-06,-66.64648
2025-03-07,-73.5022
2025-03-08,-80.37052
2025-03-09,-87.244545
2025-03-10,-94.12255
2025-03-11,-100.90298
2025-03-12,-107.61838
2025-03-13,-114.25872
2025-03-14,-120.81362
2025-03-15,-127.27426
2025-03-16,-133.63371
2025-03-17,-139.88669
2025-03-18,-146.02963
2025-03-19,-152.05998
2025-03-20,-157.97652
2025-03-21,-163.77873
2025-03-22,-169.46686
2025-03-23,-175.04146
2025-03-24,-180.50383
2025-03-25,-185.85493
