,predicted_mean
2025-02-24,1.064e-320
2025-02-25,1.1887e-320
2025-02-26,1.2826e-320
2025-02-27,1.5034e-320
2025-02-28,1.6576e-320
2025-03-01,1.728e-320
2025-03-02,1.7737e-320
2025-03-03,1.821e-320
2025-03-04,1.863e-320
2025-03-05,1.8903e-320
2025-03-06,1.908e-320
2025-03-07,1.9214e-320
2025-03-08,1.9323e-320
2025-03-09,1.94e-320
2025-03-10,1.9456e-320
2025-03-11,1.95e-320
2025-03-12,1.9535e-320
2025-03-13,1.9555e-320
2025-03-14,1.957e-320
2025-03-15,1.958e-320
2025-03-16,1.9585e-320
2025-03-17,1.9585e-320
2025-03-18,1.9585e-320
2025-03-19,1.9585e-320
2025-03-20,1.9585e-320
2025-03-21,1.9585e-320
2025-03-22,1.9585e-320
2025-03-23,1.9585e-320
2025-03-24,1.9585e-320
2025-03-25,1.9585e-320
