,predicted_mean
2023-05-22,-4.704926439734731
2023-05-23,-13.855642667942055
2023-05-24,-28.593758201949136
2023-05-25,-40.21885142200167
2023-05-26,-50.40276564489936
2023-05-27,-60.650100920008285
2023-05-28,-70.6945956877385
2023-05-29,-80.02013776152
2023-05-30,-88.85614696613602
2023-05-31,-97.35236520171034
2023-06-01,-105.43780562464333
2023-06-02,-113.11497427253761
2023-06-03,-120.42995100721782
2023-06-04,-127.400870866909
2023-06-05,-134.03637216721842
2023-06-06,-140.35346051784597
2023-06-07,-146.3695210785005
2023-06-08,-152.0982701081405
2023-06-09,-157.552925023855
2023-06-10,-162.74686929523315
2023-06-11,-167.6926638755536
2023-06-12,-172.40206976732946
2023-06-13,-176.88637204680572
2023-06-14,-181.15636029583544
2023-06-15,-185.22227585685954
2023-06-16,-189.09386330433531
2023-06-17,-192.78041223122915
2023-06-18,-196.29076854377206
2023-06-19,-199.63335219073855
2023-06-20,-202.8161811518037
