Date,LSTM_Forecast
2025-02-24,-0.14518903
2025-02-25,-0.16841564
2025-02-26,-0.20862696
2025-02-27,-0.26146463
2025-02-28,-0.3241284
2025-03-01,-0.3949412
2025-03-02,-0.47297922
2025-03-03,-0.5577963
2025-03-04,-0.64923555
2025-03-05,-0.74731004
2025-03-06,-0.8521344
2025-03-07,-0.96388483
2025-03-08,-1.0827861
2025-03-09,-1.2091013
2025-03-10,-1.3431299
2025-03-11,-1.489597
2025-03-12,-1.6441574
2025-03-13,-1.8080337
2025-03-14,-1.9821163
2025-03-15,-2.1671357
2025-03-16,-2.3637612
2025-03-17,-2.5726566
2025-03-18,-2.7945108
2025-03-19,-3.030052
2025-03-20,-3.2800496
2025-03-21,-3.5453184
2025-03-22,-3.8267198
2025-03-23,-4.12516
2025-03-24,-4.4415927
2025-03-25,-4.777013
