Date,LSTM_Forecast
2025-02-24,236.78912
2025-02-25,325.58258
2025-02-26,433.33673
2025-02-27,538.6396
2025-02-28,631.8132
2025-03-01,707.1248
2025-03-02,761.1901
2025-03-03,792.6585
2025-03-04,802.0612
2025-03-05,791.5792
2025-03-06,764.6951
2025-03-07,725.75836
2025-03-08,679.5167
2025-03-09,630.66174
2025-03-10,583.4418
2025-03-11,540.24365
2025-03-12,504.2111
2025-03-13,476.84348
2025-03-14,458.84814
2025-03-15,450.15533
2025-03-16,450.03882
2025-03-17,457.26654
2025-03-18,470.26456
2025-03-19,487.27588
2025-03-20,506.50854
2025-03-21,526.2659
2025-03-22,545.04956
2025-03-23,561.6393
2025-03-24,575.13965
2025-03-25,585.0024
