Date,LSTM_Forecast
2025-02-24,-0.391465
2025-02-25,-0.48388648
2025-02-26,-0.6359696
2025-02-27,-0.82748944
2025-02-28,-1.0478305
2025-03-01,-1.2890152
2025-03-02,-1.545311
2025-03-03,-1.8126562
2025-03-04,-2.0890505
2025-03-05,-2.3811235
2025-03-06,-2.6753602
2025-03-07,-2.9708717
2025-03-08,-3.266661
2025-03-09,-3.5616112
2025-03-10,-3.8545818
2025-03-11,-4.1746325
2025-03-12,-4.489522
2025-03-13,-4.802429
2025-03-14,-5.114781
2025-03-15,-5.42709
2025-03-16,-5.7393174
2025-03-17,-6.0511556
2025-03-18,-6.3621817
2025-03-19,-6.6719728
2025-03-20,-6.980533
2025-03-21,-7.2872725
2025-03-22,-7.591695
2025-03-23,-7.8933773
2025-03-24,-8.19193
2025-03-25,-8.486982
