Date,HW_Forecast
2025-02-24,1.6467536039698133e-07
2025-02-25,4.4549250078997735e-07
2025-02-26,4.1060935531199875e-07
2025-02-27,-1.743156944675653e-07
2025-02-28,4.45506213604268e-07
2025-03-01,4.3678915826849806e-07
2025-03-02,-6.508665541206035e-15
2025-03-03,1.6467536039698133e-07
2025-03-04,4.4549250078997735e-07
2025-03-05,4.1060935531199875e-07
2025-03-06,-1.743156944675653e-07
2025-03-07,4.45506213604268e-07
2025-03-08,4.3678915826849806e-07
2025-03-09,-6.508665541206035e-15
2025-03-10,1.6467536039698133e-07
2025-03-11,4.4549250078997735e-07
2025-03-12,4.1060935531199875e-07
2025-03-13,-1.743156944675653e-07
2025-03-14,4.45506213604268e-07
2025-03-15,4.3678915826849806e-07
2025-03-16,-6.508665541206035e-15
2025-03-17,1.6467536039698133e-07
2025-03-18,4.4549250078997735e-07
2025-03-19,4.1060935531199875e-07
2025-03-20,-1.743156944675653e-07
2025-03-21,4.45506213604268e-07
2025-03-22,4.3678915826849806e-07
2025-03-23,-6.508665541206035e-15
2025-03-24,1.6467536039698133e-07
2025-03-25,4.4549250078997735e-07
