Date,HW_Forecast
2025-02-24,-3.763476317229851e-06
2025-02-25,2.922109750879754e-07
2025-02-26,3.3973711631985187e-06
2025-02-27,5.301189404294856e-06
2025-02-28,5.46278235113236e-06
2025-03-01,1.315033151162259e-06
2025-03-02,-1.959554480485126e-14
2025-03-03,-3.763476317229851e-06
2025-03-04,2.922109750879754e-07
2025-03-05,3.3973711631985187e-06
2025-03-06,5.301189404294856e-06
2025-03-07,5.46278235113236e-06
2025-03-08,1.315033151162259e-06
2025-03-09,-1.959554480485126e-14
2025-03-10,-3.763476317229851e-06
2025-03-11,2.922109750879754e-07
2025-03-12,3.3973711631985187e-06
2025-03-13,5.301189404294856e-06
2025-03-14,5.46278235113236e-06
2025-03-15,1.315033151162259e-06
2025-03-16,-1.959554480485126e-14
2025-03-17,-3.763476317229851e-06
2025-03-18,2.922109750879754e-07
2025-03-19,3.3973711631985187e-06
2025-03-20,5.301189404294856e-06
2025-03-21,5.46278235113236e-06
2025-03-22,1.315033151162259e-06
2025-03-23,-1.959554480485126e-14
2025-03-24,-3.763476317229851e-06
2025-03-25,2.922109750879754e-07
