Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Asia excl. China,2020-01-09,0.0
Asia excl. China,2020-01-10,0.0
Asia excl. China,2020-01-11,0.0
Asia excl. China,2020-01-12,0.0
Asia excl. China,2020-01-13,4.3427433e-05
Asia excl. China,2020-01-14,0.00026056462
Asia excl. China,2020-01-15,0.00026056462
Asia excl. China,2020-01-16,0.00026056462
Asia excl. China,2020-01-17,0.00026056462
Asia excl. China,2020-01-18,0.00043427435
Asia excl. China,2020-01-19,0.00047770177
Asia excl. China,2020-01-20,0.00043427435
Asia excl. China,2020-01-21,0.00021713717
Asia excl. China,2020-01-22,0.00026056462
Asia excl. China,2020-01-23,0.00030399204
Asia excl. China,2020-01-24,0.0007382664
Asia excl. China,2020-01-25,0.00078169385
Asia excl. China,2020-01-26,0.0010422585
Asia excl. China,2020-01-27,0.0016502425
Asia excl. China,2020-01-28,0.0018239523
Asia excl. China,2020-01-29,0.0023450814
Asia excl. China,2020-01-30,0.0029530656
Asia excl. China,2020-01-31,0.0034741948
Asia excl. China,2020-02-01,0.003604477
Asia excl. China,2020-02-02,0.0038650418
Asia excl. China,2020-02-03,0.003604477
Asia excl. China,2020-02-04,0.0039518964
Asia excl. China,2020-02-05,0.004169034
Asia excl. China,2020-02-06,0.004212461
Asia excl. China,2020-02-07,0.0035176221
Asia excl. China,2020-02-08,0.0035176221
Asia excl. China,2020-02-09,0.0035176221
Asia excl. China,2020-02-10,0.0034307675
Asia excl. China,2020-02-11,0.0032570576
Asia excl. China,2020-02-12,0.0029096382
Asia excl. China,2020-02-13,0.0027359284
Asia excl. China,2020-02-14,0.0031267754
Asia excl. China,2020-02-15,0.0034741948
Asia excl. China,2020-02-16,0.0040387516
Asia excl. China,2020-02-17,0.004212461
Asia excl. China,2020-02-18,0.004516453
Asia excl. China,2020-02-19,0.006079841
Asia excl. China,2020-02-20,0.0065141153
Asia excl. China,2020-02-21,0.010075165
Asia excl. China,2020-02-22,0.018934362
Asia excl. China,2020-02-23,0.028748961
Asia excl. China,2020-02-24,0.038476706
Asia excl. China,2020-02-25,0.04538167
