Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Asia,2020-01-09,0.00014140054
Asia,2020-01-10,0.00012120046
Asia,2020-01-11,9.090034e-05
Asia,2020-01-12,0.001333205
Asia,2020-01-13,0.0012726048
Asia,2020-01-14,0.0014241054
Asia,2020-01-15,0.0014241054
Asia,2020-01-16,0.0014241054
Asia,2020-01-17,0.0015453058
Asia,2020-01-18,0.0016665063
Asia,2020-01-19,0.0027573104
Asia,2020-01-20,0.005060119
Asia,2020-01-21,0.007726529
Asia,2020-01-22,0.0122109465
Asia,2020-01-23,0.016240861
Asia,2020-01-24,0.024330992
Asia,2020-01-25,0.038359944
Asia,2020-01-26,0.057085417
Asia,2020-01-27,0.0786894
Asia,2020-01-28,0.1296845
Asia,2020-01-29,0.16995335
Asia,2020-01-30,0.21906982
Asia,2020-01-31,0.27164054
Asia,2020-02-01,0.3213933
Asia,2020-02-02,0.37920594
Asia,2020-02-03,0.44116968
Asia,2020-02-04,0.48568055
Asia,2020-02-05,0.55940074
Asia,2020-02-06,0.6187586
Asia,2020-02-07,0.6536341
Asia,2020-02-08,0.6926
Asia,2020-02-09,0.6945089
Asia,2020-02-10,0.69920546
Asia,2020-02-11,0.67605615
Asia,2020-02-12,0.61915255
Asia,2020-02-13,0.96611917
Asia,2020-02-14,0.99363166
Asia,2020-02-15,0.9713611
Asia,2020-02-16,0.9522114
Asia,2020-02-17,0.9240626
Asia,2020-02-18,0.9067006
Asia,2020-02-19,0.8995498
Asia,2020-02-20,0.4527746
Asia,2020-02-21,0.35960177
Asia,2020-02-22,0.31066707
Asia,2020-02-23,0.27633706
Asia,2020-02-24,0.22764476
Asia,2020-02-25,0.19076952
Asia,2020-02-26,0.1588332
Asia,2020-02-27,0.17610426
Asia,2020-02-28,0.17401356
Asia,2020-02-29,0.18843642
Asia,2020-03-01,0.20385917
Asia,2020-03-02,0.23015967
Asia,2020-03-03,0.24909724
Asia,2020-03-04,0.27312523
Asia,2020-03-05,0.28045785
Asia,2020-03-06,0.2930324
Asia,2020-03-07,0.30721286
Asia,2020-03-08,0.3133638
Asia,2020-03-09,0.30854607
Asia,2020-03-10,0.29639572
Asia,2020-03-11,0.2908811
Asia,2020-03-12,0.30321324
Asia,2020-03-13,0.30515245
Asia,2020-03-14,0.29912272
Asia,2020-03-15,0.30721286
Asia,2020-03-16,0.32642314
Asia,2020-03-17,0.35299635
Asia,2020-03-18,0.3737216
Asia,2020-03-19,0.3964164
Asia,2020-03-20,0.4194142
Asia,2020-03-21,0.4480478
Asia,2020-03-22,0.47416648
Asia,2020-03-23,0.49886107
Asia,2020-03-24,0.5493411
Asia,2020-03-25,0.6083354
Asia,2020-03-26,0.67754084
Asia,2020-03-27,0.7826217
Asia,2020-03-28,0.91506344
Asia,2020-03-29,1.0502928
Asia,2020-03-30,1.1890371
Asia,2020-03-31,1.2983599
Asia,2020-04-01,1.4541025
Asia,2020-04-02,1.5640919
Asia,2020-04-03,1.6550832
Asia,2020-04-04,1.7202284
Asia,2020-04-05,1.7671027
Asia,2020-04-06,1.8418834
Asia,2020-04-07,1.9037259
Asia,2020-04-08,1.9322383
Asia,2020-04-09,1.9891117
Asia,2020-04-10,2.0212297
Asia,2020-04-11,2.0854962
Asia,2020-04-12,2.1869411
Asia,2020-04-13,2.2423599
Asia,2020-04-14,2.3090506
Asia,2020-04-15,2.3381991
Asia,2020-04-16,2.369893
Asia,2020-04-17,2.4606724
Asia,2020-04-18,2.4976687
Asia,2020-04-19,2.4767616
Asia,2020-04-20,2.5059407
Asia,2020-04-21,2.586842
Asia,2020-04-22,2.6405945
Asia,2020-04-23,2.67247
Asia,2020-04-24,2.6680462
Asia,2020-04-25,2.6838932
Asia,2020-04-26,2.7170415
Asia,2020-04-27,2.6875596
Asia,2020-04-28,2.6052644
Asia,2020-04-29,2.5634806
Asia,2020-04-30,2.5734494
Asia,2020-05-01,2.574631
Asia,2020-05-02,2.5712678
Asia,2020-05-03,2.5638745
Asia,2020-05-04,2.6116579
Asia,2020-05-05,2.703649
Asia,2020-05-06,2.7689457
Asia,2020-05-07,2.8801775
Asia,2020-05-08,2.952928
Asia,2020-05-09,3.0433435
Asia,2020-05-10,3.1390617
Asia,2020-05-11,3.298531
Asia,2020-05-12,3.3559802
Asia,2020-05-13,3.4662726
Asia,2020-05-14,3.525176
Asia,2020-05-15,3.6813731
Asia,2020-05-16,3.7373676
Asia,2020-05-17,3.8885653
Asia,2020-05-18,3.9694967
Asia,2020-05-19,4.0815163
Asia,2020-05-20,4.2250175
Asia,2020-05-21,4.366701
Asia,2020-05-22,4.524777
Asia,2020-05-23,4.6806407
Asia,2020-05-24,4.8545027
Asia,2020-05-25,4.955099
Asia,2020-05-26,4.997792
Asia,2020-05-27,4.9897623
Asia,2020-05-28,4.987338
