Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Bahrain,2020-01-09,0.0
Bahrain,2020-01-10,0.0
Bahrain,2020-01-11,0.0
Bahrain,2020-01-12,0.0
Bahrain,2020-01-13,0.0
Bahrain,2020-01-14,0.0
Bahrain,2020-01-15,0.0
Bahrain,2020-01-16,0.0
Bahrain,2020-01-17,0.0
Bahrain,2020-01-18,0.0
Bahrain,2020-01-19,0.0
Bahrain,2020-01-20,0.0
Bahrain,2020-01-21,0.0
Bahrain,2020-01-22,0.0
Bahrain,2020-01-23,0.0
Bahrain,2020-01-24,0.0
Bahrain,2020-01-25,0.0
Bahrain,2020-01-26,0.0
Bahrain,2020-01-27,0.0
Bahrain,2020-01-28,0.0
Bahrain,2020-01-29,0.0
Bahrain,2020-01-30,0.0
Bahrain,2020-01-31,0.0
Bahrain,2020-02-01,0.0
Bahrain,2020-02-02,0.0
Bahrain,2020-02-03,0.0
Bahrain,2020-02-04,0.0
Bahrain,2020-02-05,0.0
Bahrain,2020-02-06,0.0
Bahrain,2020-02-07,0.0
Bahrain,2020-02-08,0.0
Bahrain,2020-02-09,0.0
Bahrain,2020-02-10,0.0
Bahrain,2020-02-11,0.0
Bahrain,2020-02-12,0.0
Bahrain,2020-02-13,0.0
Bahrain,2020-02-14,0.0
Bahrain,2020-02-15,0.0
Bahrain,2020-02-16,0.0
Bahrain,2020-02-17,0.0
Bahrain,2020-02-18,0.0
Bahrain,2020-02-19,0.0
Bahrain,2020-02-20,0.0
Bahrain,2020-02-21,0.0
Bahrain,2020-02-22,0.0
Bahrain,2020-02-23,0.0
Bahrain,2020-02-24,0.0
Bahrain,2020-02-25,0.18632014
Bahrain,2020-02-26,2.1426816
Bahrain,2020-02-27,3.0742822
Bahrain,2020-02-28,3.0742822
Bahrain,2020-02-29,3.5400825
Bahrain,2020-03-01,3.8195627
Bahrain,2020-03-02,4.3785233
Bahrain,2020-03-03,4.3785233
Bahrain,2020-03-04,2.4221618
Bahrain,2020-03-05,1.7700412
Bahrain,2020-03-06,1.7700412
Bahrain,2020-03-07,1.6768812
Bahrain,2020-03-08,2.0495214
Bahrain,2020-03-09,2.9811223
Bahrain,2020-03-10,5.589604
Bahrain,2020-03-11,5.682764
Bahrain,2020-03-12,13.32189
Bahrain,2020-03-13,13.32189
Bahrain,2020-03-14,14.34665
Bahrain,2020-03-15,13.78769
Bahrain,2020-03-16,12.576609
Bahrain,2020-03-17,10.433928
Bahrain,2020-03-18,11.831328
Bahrain,2020-03-19,5.682764
Bahrain,2020-03-20,7.8254457
Bahrain,2020-03-21,8.198086
Bahrain,2020-03-22,9.316007
Bahrain,2020-03-23,11.179208
Bahrain,2020-03-24,14.53297
Bahrain,2020-03-25,14.439811
Bahrain,2020-03-26,15.185091
Bahrain,2020-03-27,16.675652
Bahrain,2020-03-28,15.650891
Bahrain,2020-03-29,15.371411
Bahrain,2020-03-30,15.464571
Bahrain,2020-03-31,12.85609
Bahrain,2020-04-01,16.30301
Bahrain,2020-04-02,13.97401
Bahrain,2020-04-03,17.234612
Bahrain,2020-04-04,19.284134
Bahrain,2020-04-05,19.749933
Bahrain,2020-04-06,18.632013
Bahrain,2020-04-07,22.451576
Bahrain,2020-04-08,22.731056
Bahrain,2020-04-09,23.662657
Bahrain,2020-04-10,22.731056
Bahrain,2020-04-11,23.476337
Bahrain,2020-04-12,32.792343
Bahrain,2020-04-13,40.61779
Bahrain,2020-04-14,56.36184
Bahrain,2020-04-15,66.79577
Bahrain,2020-04-16,79.18606
Bahrain,2020-04-17,75.739136
Bahrain,2020-04-18,76.298096
Bahrain,2020-04-19,68.28633
Bahrain,2020-04-20,69.40425
Bahrain,2020-04-21,50.865395
Bahrain,2020-04-22,41.45623
Bahrain,2020-04-23,32.978664
Bahrain,2020-04-24,48.163754
Bahrain,2020-04-25,72.10589
Bahrain,2020-04-26,76.018616
Bahrain,2020-04-27,71.36061
Bahrain,2020-04-28,76.018616
Bahrain,2020-04-29,78.06814
Bahrain,2020-04-30,83.2851
Bahrain,2020-05-01,76.67074
Bahrain,2020-05-02,60.740364
Bahrain,2020-05-03,64.74625
Bahrain,2020-05-04,68.56581
Bahrain,2020-05-05,75.459656
Bahrain,2020-05-06,84.6825
Bahrain,2020-05-07,94.37115
Bahrain,2020-05-08,107.97252
Bahrain,2020-05-09,118.68593
Bahrain,2020-05-10,138.8085
Bahrain,2020-05-11,145.14339
Bahrain,2020-05-12,158.6516
Bahrain,2020-05-13,168.71288
Bahrain,2020-05-14,175.32724
Bahrain,2020-05-15,186.22697
Bahrain,2020-05-16,199.17622
Bahrain,2020-05-17,183.80481
Bahrain,2020-05-18,185.29538
Bahrain,2020-05-19,181.47581
Bahrain,2020-05-20,186.4133
Bahrain,2020-05-21,193.02766
Bahrain,2020-05-22,184.08429
Bahrain,2020-05-23,170.66924
Bahrain,2020-05-24,191.44394
Bahrain,2020-05-25,205.69743
Bahrain,2020-05-26,185.10905
Bahrain,2020-05-27,170.85556
Bahrain,2020-05-28,168.06076
Bahrain,2020-05-29,174.9546
Bahrain,2020-05-30,189.58073
Bahrain,2020-05-31,185.48169
Bahrain,2020-06-01,210.54175
Bahrain,2020-06-02,251.53218
Bahrain,2020-06-03,274.35638
Bahrain,2020-06-04,290.9389
Bahrain,2020-06-05,302.21124
Bahrain,2020-06-06,315.43997
Bahrain,2020-06-07,334.44464
Bahrain,2020-06-08,313.39047
Bahrain,2020-06-09,330.25244
Bahrain,2020-06-10,362.20633
Bahrain,2020-06-11,358.85257
Bahrain,2020-06-12,370.12494
Bahrain,2020-06-13,361.27475
