Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Bangladesh,2020-01-09,0.0
Bangladesh,2020-01-10,0.0
Bangladesh,2020-01-11,0.0
Bangladesh,2020-01-12,0.0
Bangladesh,2020-01-13,0.0
Bangladesh,2020-01-14,0.0
Bangladesh,2020-01-15,0.0
Bangladesh,2020-01-16,0.0
Bangladesh,2020-01-17,0.0
Bangladesh,2020-01-18,0.0
Bangladesh,2020-01-19,0.0
Bangladesh,2020-01-20,0.0
Bangladesh,2020-01-21,0.0
Bangladesh,2020-01-22,0.0
Bangladesh,2020-01-23,0.0
Bangladesh,2020-01-24,0.0
Bangladesh,2020-01-25,0.0
Bangladesh,2020-01-26,0.0
Bangladesh,2020-01-27,0.0
Bangladesh,2020-01-28,0.0
Bangladesh,2020-01-29,0.0
Bangladesh,2020-01-30,0.0
Bangladesh,2020-01-31,0.0
Bangladesh,2020-02-01,0.0
Bangladesh,2020-02-02,0.0
Bangladesh,2020-02-03,0.0
Bangladesh,2020-02-04,0.0
Bangladesh,2020-02-05,0.0
Bangladesh,2020-02-06,0.0
Bangladesh,2020-02-07,0.0
Bangladesh,2020-02-08,0.0
Bangladesh,2020-02-09,0.0
Bangladesh,2020-02-10,0.0
Bangladesh,2020-02-11,0.0
Bangladesh,2020-02-12,0.0
Bangladesh,2020-02-13,0.0
Bangladesh,2020-02-14,0.0
Bangladesh,2020-02-15,0.0
Bangladesh,2020-02-16,0.0
Bangladesh,2020-02-17,0.0
Bangladesh,2020-02-18,0.0
Bangladesh,2020-02-19,0.0
Bangladesh,2020-02-20,0.0
Bangladesh,2020-02-21,0.0
Bangladesh,2020-02-22,0.0
Bangladesh,2020-02-23,0.0
Bangladesh,2020-02-24,0.0
Bangladesh,2020-02-25,0.0
Bangladesh,2020-02-26,0.0
Bangladesh,2020-02-27,0.0
Bangladesh,2020-02-28,0.0
Bangladesh,2020-02-29,0.0
Bangladesh,2020-03-01,0.0
Bangladesh,2020-03-02,0.0
Bangladesh,2020-03-03,0.0
Bangladesh,2020-03-04,0.0
Bangladesh,2020-03-05,0.0
Bangladesh,2020-03-06,0.0
Bangladesh,2020-03-07,0.0
Bangladesh,2020-03-08,0.0025301634
Bangladesh,2020-03-09,0.0059037143
Bangladesh,2020-03-10,0.0059037143
Bangladesh,2020-03-11,0.0059037143
Bangladesh,2020-03-12,0.0059037143
Bangladesh,2020-03-13,0.0059037143
Bangladesh,2020-03-14,0.0059037143
Bangladesh,2020-03-15,0.003373551
Bangladesh,2020-03-16,0.00084338774
Bangladesh,2020-03-17,0.0016867755
Bangladesh,2020-03-18,0.0025301634
Bangladesh,2020-03-19,0.0084338775
Bangladesh,2020-03-20,0.0084338775
Bangladesh,2020-03-21,0.014337592
Bangladesh,2020-03-22,0.014337592
Bangladesh,2020-03-23,0.021084694
Bangladesh,2020-03-24,0.025301633
Bangladesh,2020-03-25,0.024458244
Bangladesh,2020-03-26,0.02277147
Bangladesh,2020-03-27,0.02614502
Bangladesh,2020-03-28,0.020241307
Bangladesh,2020-03-29,0.020241307
Bangladesh,2020-03-30,0.013494204
Bangladesh,2020-03-31,0.010120654
Bangladesh,2020-04-01,0.012650817
Bangladesh,2020-04-02,0.010120654
Bangladesh,2020-04-03,0.010964041
Bangladesh,2020-04-04,0.018554531
Bangladesh,2020-04-05,0.03373551
Bangladesh,2020-04-06,0.062410694
Bangladesh,2020-04-07,0.09530282
Bangladesh,2020-04-08,0.13831559
Bangladesh,2020-04-09,0.23108825
Bangladesh,2020-04-10,0.30614975
Bangladesh,2020-04-11,0.34747577
Bangladesh,2020-04-12,0.44952568
Bangladesh,2020-04-13,0.5735037
Bangladesh,2020-04-14,0.7151928
Bangladesh,2020-04-15,0.8543518
Bangladesh,2020-04-16,1.0474876
Bangladesh,2020-04-17,1.1925503
Bangladesh,2020-04-18,1.4017105
Bangladesh,2020-04-19,1.5476165
Bangladesh,2020-04-20,1.8090668
Bangladesh,2020-04-21,1.998829
Bangladesh,2020-04-22,2.1430483
Bangladesh,2020-04-23,2.2046156
Bangladesh,2020-04-24,2.4044986
Bangladesh,2020-04-25,2.4070287
Bangladesh,2020-04-26,2.4964278
Bangladesh,2020-04-27,2.5006447
Bangladesh,2020-04-28,2.5976343
Bangladesh,2020-04-29,2.8093247
Bangladesh,2020-04-30,2.9358327
Bangladesh,2020-05-01,2.9931831
Bangladesh,2020-05-02,3.1981263
Bangladesh,2020-05-03,3.406443
Bangladesh,2020-05-04,3.5675302
Bangladesh,2020-05-05,3.7674131
Bangladesh,2020-05-06,3.8930779
Bangladesh,2020-05-07,4.012839
Bangladesh,2020-05-08,4.1292267
Bangladesh,2020-05-09,4.200071
Bangladesh,2020-05-10,4.3873034
Bangladesh,2020-05-11,4.6791153
Bangladesh,2020-05-12,4.833455
Bangladesh,2020-05-13,5.1471953
Bangladesh,2020-05-14,5.4297304
Bangladesh,2020-05-15,5.8455205
Bangladesh,2020-05-16,6.093477
Bangladesh,2020-05-17,6.4190245
Bangladesh,2020-05-18,6.8980684
Bangladesh,2020-05-19,7.135904
Bangladesh,2020-05-20,7.519645
Bangladesh,2020-05-21,8.137005
Bangladesh,2020-05-22,8.551951
Bangladesh,2020-05-23,9.347266
Bangladesh,2020-05-24,9.565704
Bangladesh,2020-05-25,9.880287
Bangladesh,2020-05-26,9.808599
Bangladesh,2020-05-27,9.744502
Bangladesh,2020-05-28,9.960409
Bangladesh,2020-05-29,10.659578
Bangladesh,2020-05-30,10.567649
Bangladesh,2020-05-31,11.422001
Bangladesh,2020-06-01,11.764416
Bangladesh,2020-06-02,13.236128
Bangladesh,2020-06-03,14.209397
Bangladesh,2020-06-04,14.541692
Bangladesh,2020-06-05,14.798925
Bangladesh,2020-06-06,15.533516
Bangladesh,2020-06-07,15.700506
Bangladesh,2020-06-08,15.999065
Bangladesh,2020-06-09,16.218348
Bangladesh,2020-06-10,16.635824
Bangladesh,2020-06-11,17.280172
Bangladesh,2020-06-12,17.82247
Bangladesh,2020-06-13,18.00886
Bangladesh,2020-06-14,18.344526
Bangladesh,2020-06-15,18.65152
Bangladesh,2020-06-16,19.2343
Bangladesh,2020-06-17,19.924192
Bangladesh,2020-06-18,20.44372
Bangladesh,2020-06-19,20.251427
Bangladesh,2020-06-20,20.575287
Bangladesh,2020-06-21,20.90421
Bangladesh,2020-06-22,21.22554
Bangladesh,2020-06-23,20.846016
Bangladesh,2020-06-24,20.385525
Bangladesh,2020-06-25,20.50613
Bangladesh,2020-06-26,21.033247
Bangladesh,2020-06-27,21.255901
Bangladesh,2020-06-28,21.490364
Bangladesh,2020-06-29,21.940733
Bangladesh,2020-06-30,22.168447
Bangladesh,2020-07-01,22.432428
Bangladesh,2020-07-02,22.493996
Bangladesh,2020-07-03,21.85808
Bangladesh,2020-07-04,21.675909
Bangladesh,2020-07-05,20.77264
Bangladesh,2020-07-06,20.086966
Bangladesh,2020-07-07,19.534548
Bangladesh,2020-07-08,19.293339
Bangladesh,2020-07-09,18.737545
Bangladesh,2020-07-10,18.598387
Bangladesh,2020-07-11,18.090668
Bangladesh,2020-07-12,18.029943
Bangladesh,2020-07-13,17.943918
Bangladesh,2020-07-14,18.058619
Bangladesh,2020-07-15,18.095728
Bangladesh,2020-07-16,17.566923
Bangladesh,2020-07-17,17.63861
Bangladesh,2020-07-18,17.658009
Bangladesh,2020-07-19,17.483429
Bangladesh,2020-07-20,17.339209
Bangladesh,2020-07-21,17.24981
Bangladesh,2020-07-22,16.584377
Bangladesh,2020-07-23,16.688114
Bangladesh,2020-07-24,16.278227
Bangladesh,2020-07-25,16.118826
Bangladesh,2020-07-26,15.963643
Bangladesh,2020-07-27,15.832075
Bangladesh,2020-07-28,15.750266
Bangladesh,2020-07-29,15.973764
Bangladesh,2020-07-30,15.837978
Bangladesh,2020-07-31,16.026897
Bangladesh,2020-08-01,15.75617
Bangladesh,2020-08-02,14.584704
Bangladesh,2020-08-03,13.390468
Bangladesh,2020-08-04,12.511658
Bangladesh,2020-08-05,12.212255
Bangladesh,2020-08-06,12.45009
Bangladesh,2020-08-07,12.516718
Bangladesh,2020-08-08,12.864194
Bangladesh,2020-08-09,14.2144575
Bangladesh,2020-08-10,15.522552
Bangladesh,2020-08-11,16.431725
Bangladesh,2020-08-12,16.719318
Bangladesh,2020-08-13,16.415699
Bangladesh,2020-08-14,16.344011
Bangladesh,2020-08-15,16.371843
Bangladesh,2020-08-16,15.981355
Bangladesh,2020-08-17,15.718218
Bangladesh,2020-08-18,15.890268
Bangladesh,2020-08-19,15.681108
Bangladesh,2020-08-20,15.892799
Bangladesh,2020-08-21,15.584963
Bangladesh,2020-08-22,15.265319
Bangladesh,2020-08-23,15.222305
Bangladesh,2020-08-24,15.129533
Bangladesh,2020-08-25,14.577114
Bangladesh,2020-08-26,14.384822
Bangladesh,2020-08-27,14.020478
Bangladesh,2020-08-28,13.860234
Bangladesh,2020-08-29,13.74722
Bangladesh,2020-08-30,13.683123
