Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
China,2020-01-09,0.0004677773
China,2020-01-10,0.00040095198
China,2020-01-11,0.000300714
China,2020-01-12,0.004410472
China,2020-01-13,0.004109758
China,2020-01-14,0.004109758
China,2020-01-15,0.004109758
China,2020-01-16,0.004109758
China,2020-01-17,0.00451071
China,2020-01-18,0.00451071
China,2020-01-19,0.008019039
China,2020-01-20,0.015737366
China,2020-01-21,0.025059499
China,2020-01-22,0.039794486
China,2020-01-23,0.0530259
China,2020-01-24,0.078787066
China,2020-01-25,0.12509702
China,2020-01-26,0.18644267
China,2020-01-27,0.25650904
China,2020-01-28,0.42480862
China,2020-01-29,0.55682206
China,2020-01-30,0.7179045
China,2020-01-31,0.89061457
China,2020-02-01,1.0549047
China,2020-02-02,1.2455573
China,2020-02-03,1.4511454
China,2020-02-04,1.5975932
China,2020-02-05,1.840971
China,2020-02-06,2.037237
China,2020-02-07,2.1542149
China,2020-02-08,2.2831209
China,2020-02-09,2.2894359
China,2020-02-10,2.3051732
China,2020-02-11,2.2289922
China,2020-02-12,2.0415473
China,2020-02-13,3.1897736
China,2020-02-14,3.2798874
China,2020-02-15,3.2054107
China,2020-02-16,3.140757
China,2020-02-17,3.047235
China,2020-02-18,2.989097
China,2020-02-19,2.9618323
China,2020-02-20,1.4828206
China,2020-02-21,1.1663693
China,2020-02-22,0.9840364
China,2020-02-23,0.84781295
China,2020-02-24,0.6642772
China,2020-02-25,0.5263497
China,2020-02-26,0.39213103
China,2020-02-27,0.39644128
China,2020-02-28,0.33990705
China,2020-02-29,0.30031303
China,2020-03-01,0.29329637
China,2020-03-02,0.29189304
China,2020-03-03,0.25290045
China,2020-03-04,0.2237312
China,2020-03-05,0.19396052
China,2020-03-06,0.17551672
China,2020-03-07,0.14273891
China,2020-03-08,0.089312054
China,2020-03-09,0.07317374
China,2020-03-10,0.062348034
China,2020-03-11,0.05342685
China,2020-03-12,0.041598767
China,2020-03-13,0.028166877
China,2020-03-14,0.020849504
China,2020-03-15,0.01894498
China,2020-03-16,0.017341174
China,2020-03-17,0.019345934
China,2020-03-18,0.019646646
China,2020-03-19,0.025761165
China,2020-03-20,0.03097354
China,2020-03-21,0.03959401
China,2020-03-22,0.045107096
China,2020-03-23,0.05252471
China,2020-03-24,0.06314994
China,2020-03-25,0.06986588
China,2020-03-26,0.072572306
China,2020-03-27,0.07798516
China,2020-03-28,0.079889685
China,2020-03-29,0.08450063
China,2020-03-30,0.084801346
China,2020-03-31,0.07998992
China,2020-04-01,0.07848635
China,2020-04-02,0.07648159
China,2020-04-03,0.072572306
China,2020-04-04,0.06635755
China,2020-04-05,0.05904018
China,2020-04-06,0.0559328
China,2020-04-07,0.052825425
China,2020-04-08,0.052725185
China,2020-04-09,0.05262495
China,2020-04-10,0.05041971
China,2020-04-11,0.04951757
China,2020-04-12,0.055331375
China,2020-04-13,0.059340894
China,2020-04-14,0.06254851
