Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Cuba,2020-01-09,0.0
Cuba,2020-01-10,0.0
Cuba,2020-01-11,0.0
Cuba,2020-01-12,0.0
Cuba,2020-01-13,0.0
Cuba,2020-01-14,0.0
Cuba,2020-01-15,0.0
Cuba,2020-01-16,0.0
Cuba,2020-01-17,0.0
Cuba,2020-01-18,0.0
Cuba,2020-01-19,0.0
Cuba,2020-01-20,0.0
Cuba,2020-01-21,0.0
Cuba,2020-01-22,0.0
Cuba,2020-01-23,0.0
Cuba,2020-01-24,0.0
Cuba,2020-01-25,0.0
Cuba,2020-01-26,0.0
Cuba,2020-01-27,0.0
Cuba,2020-01-28,0.0
Cuba,2020-01-29,0.0
Cuba,2020-01-30,0.0
Cuba,2020-01-31,0.0
Cuba,2020-02-01,0.0
Cuba,2020-02-02,0.0
Cuba,2020-02-03,0.0
Cuba,2020-02-04,0.0
Cuba,2020-02-05,0.0
Cuba,2020-02-06,0.0
Cuba,2020-02-07,0.0
Cuba,2020-02-08,0.0
Cuba,2020-02-09,0.0
Cuba,2020-02-10,0.0
Cuba,2020-02-11,0.0
Cuba,2020-02-12,0.0
Cuba,2020-02-13,0.0
Cuba,2020-02-14,0.0
Cuba,2020-02-15,0.0
Cuba,2020-02-16,0.0
Cuba,2020-02-17,0.0
Cuba,2020-02-18,0.0
Cuba,2020-02-19,0.0
Cuba,2020-02-20,0.0
Cuba,2020-02-21,0.0
Cuba,2020-02-22,0.0
Cuba,2020-02-23,0.0
Cuba,2020-02-24,0.0
Cuba,2020-02-25,0.0
Cuba,2020-02-26,0.0
Cuba,2020-02-27,0.0
Cuba,2020-02-28,0.0
Cuba,2020-02-29,0.0
Cuba,2020-03-01,0.0
Cuba,2020-03-02,0.0
Cuba,2020-03-03,0.0
Cuba,2020-03-04,0.0
Cuba,2020-03-05,0.0
Cuba,2020-03-06,0.0
Cuba,2020-03-07,0.0
Cuba,2020-03-08,0.0
Cuba,2020-03-09,0.0
Cuba,2020-03-10,0.0
Cuba,2020-03-11,0.0
Cuba,2020-03-12,0.0
Cuba,2020-03-13,0.038750306
Cuba,2020-03-14,0.051667072
Cuba,2020-03-15,0.051667072
Cuba,2020-03-16,0.051667072
Cuba,2020-03-17,0.051667072
Cuba,2020-03-18,0.06458384
Cuba,2020-03-19,0.12916768
Cuba,2020-03-20,0.103334144
Cuba,2020-03-21,0.09041738
Cuba,2020-03-22,0.15500122
Cuba,2020-03-23,0.15500122
Cuba,2020-03-24,0.46500364
Cuba,2020-03-25,0.55542105
Cuba,2020-03-26,0.4908372
Cuba,2020-03-27,0.723339
Cuba,2020-03-28,0.891257
Cuba,2020-03-29,1.3304272
Cuba,2020-03-30,1.5887625
Cuba,2020-03-31,1.6791799
Cuba,2020-04-01,1.782514
Cuba,2020-04-02,2.11835
Cuba,2020-04-03,2.1441834
Cuba,2020-04-04,2.4412692
Cuba,2020-04-05,2.1829338
Cuba,2020-04-06,2.337935
Cuba,2020-04-07,2.3250182
Cuba,2020-04-08,2.7125213
Cuba,2020-04-09,3.1646082
Cuba,2020-04-10,3.6425285
Cuba,2020-04-11,3.8104465
Cuba,2020-04-12,4.288367
Cuba,2020-04-13,4.507952
Cuba,2020-04-14,4.8567047
Cuba,2020-04-15,4.7792044
Cuba,2020-04-16,4.611286
Cuba,2020-04-17,4.4821186
Cuba,2020-04-18,4.63712
Cuba,2020-04-19,4.727537
Cuba,2020-04-20,4.727537
Cuba,2020-04-21,4.6629534
Cuba,2020-04-22,4.792121
Cuba,2020-04-23,4.843788
Cuba,2020-04-24,4.8179545
Cuba,2020-04-25,4.67587
Cuba,2020-04-26,4.533786
Cuba,2020-04-27,4.3142004
Cuba,2020-04-28,3.900864
Cuba,2020-04-29,3.8750305
Cuba,2020-04-30,3.5908616
Cuba,2020-05-01,3.4358604
Cuba,2020-05-02,3.2550256
Cuba,2020-05-03,3.5391943
Cuba,2020-05-04,3.6166952
Cuba,2020-05-05,3.6037784
Cuba,2020-05-06,3.2033584
Cuba,2020-05-07,3.0483572
Cuba,2020-05-08,2.945023
Cuba,2020-05-09,2.6350207
Cuba,2020-05-10,1.8470979
Cuba,2020-05-11,1.5112618
Cuba,2020-05-12,1.4854283
Cuba,2020-05-13,1.5370954
Cuba,2020-05-14,1.3820941
Cuba,2020-05-15,1.3045936
Cuba,2020-05-16,1.2787601
Cuba,2020-05-17,1.395011
Cuba,2020-05-18,1.3691775
Cuba,2020-05-19,1.2658433
Cuba,2020-05-20,1.0720917
Cuba,2020-05-21,1.1625091
Cuba,2020-05-22,1.0075079
Cuba,2020-05-23,0.9816744
Cuba,2020-05-24,0.891257
Cuba,2020-05-25,0.891257
Cuba,2020-05-26,0.8525067
Cuba,2020-05-27,0.9816744
Cuba,2020-05-28,0.9558408
Cuba,2020-05-29,0.9687576
