Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Denmark,2020-01-09,0.0
Denmark,2020-01-10,0.0
Denmark,2020-01-11,0.0
Denmark,2020-01-12,0.0
Denmark,2020-01-13,0.0
Denmark,2020-01-14,0.0
Denmark,2020-01-15,0.0
Denmark,2020-01-16,0.0
Denmark,2020-01-17,0.0
Denmark,2020-01-18,0.0
Denmark,2020-01-19,0.0
Denmark,2020-01-20,0.0
Denmark,2020-01-21,0.0
Denmark,2020-01-22,0.0
Denmark,2020-01-23,0.0
Denmark,2020-01-24,0.0
Denmark,2020-01-25,0.0
Denmark,2020-01-26,0.0
Denmark,2020-01-27,0.0
Denmark,2020-01-28,0.0
Denmark,2020-01-29,0.0
Denmark,2020-01-30,0.0
Denmark,2020-01-31,0.0
Denmark,2020-02-01,0.0
Denmark,2020-02-02,0.0
Denmark,2020-02-03,0.0
Denmark,2020-02-04,0.0
Denmark,2020-02-05,0.0
Denmark,2020-02-06,0.0
Denmark,2020-02-07,0.0
Denmark,2020-02-08,0.0
Denmark,2020-02-09,0.0
Denmark,2020-02-10,0.0
Denmark,2020-02-11,0.0
Denmark,2020-02-12,0.0
Denmark,2020-02-13,0.0
Denmark,2020-02-14,0.0
Denmark,2020-02-15,0.0
Denmark,2020-02-16,0.0
Denmark,2020-02-17,0.0
Denmark,2020-02-18,0.0
Denmark,2020-02-19,0.0
Denmark,2020-02-20,0.0
Denmark,2020-02-21,0.0
Denmark,2020-02-22,0.0
Denmark,2020-02-23,0.0
Denmark,2020-02-24,0.0
Denmark,2020-02-25,0.0
Denmark,2020-02-26,0.0
Denmark,2020-02-27,0.0
Denmark,2020-02-28,0.024201188
Denmark,2020-02-29,0.024201188
Denmark,2020-03-01,0.07260356
Denmark,2020-03-02,0.09680475
Denmark,2020-03-03,0.09680475
Denmark,2020-03-04,0.14520712
Denmark,2020-03-05,0.24201187
Denmark,2020-03-06,0.21781069
Denmark,2020-03-07,0.5324261
Denmark,2020-03-08,0.48402375
Denmark,2020-03-09,0.7502368
Denmark,2020-03-10,2.0813022
Denmark,2020-03-11,6.195504
Denmark,2020-03-12,7.986392
Denmark,2020-03-13,16.06959
Denmark,2020-03-14,18.828524
Denmark,2020-03-15,19.457754
Denmark,2020-03-16,20.062784
Denmark,2020-03-17,19.55456
Denmark,2020-03-18,17.30385
Denmark,2020-03-19,17.352251
Denmark,2020-03-20,11.543966
Denmark,2020-03-21,10.987339
Denmark,2020-03-22,12.076393
Denmark,2020-03-23,12.850831
Denmark,2020-03-24,13.601068
Denmark,2020-03-25,14.8595295
Denmark,2020-03-26,16.142193
Denmark,2020-03-27,17.570063
Denmark,2020-03-28,19.143139
Denmark,2020-03-29,21.176039
Denmark,2020-03-30,24.201187
Denmark,2020-03-31,27.032726
Denmark,2020-04-01,30.711308
Denmark,2020-04-02,33.47024
Denmark,2020-04-03,36.519592
Denmark,2020-04-04,41.408234
Denmark,2020-04-05,45.40143
Denmark,2020-04-06,47.773144
Denmark,2020-04-07,50.9193
Denmark,2020-04-08,53.508827
Denmark,2020-04-09,55.541725
Denmark,2020-04-10,54.42847
Denmark,2020-04-11,49.902847
Denmark,2020-04-12,46.442078
Denmark,2020-04-13,43.683144
Denmark,2020-04-14,39.617344
Denmark,2020-04-15,34.84971
Denmark,2020-04-16,30.95332
Denmark,2020-04-17,30.106277
Denmark,2020-04-18,30.34829
Denmark,2020-04-19,30.15468
Denmark,2020-04-20,29.283438
Denmark,2020-04-21,28.968822
Denmark,2020-04-22,28.654207
Denmark,2020-04-23,29.791662
Denmark,2020-04-24,28.896217
Denmark,2020-04-25,27.51675
Denmark,2020-04-26,29.114029
Denmark,2020-04-27,28.823614
Denmark,2020-04-28,28.630005
Denmark,2020-04-29,27.976574
Denmark,2020-04-30,26.524502
Denmark,2020-05-01,26.25829
Denmark,2020-05-02,26.645508
Denmark,2020-05-03,23.281542
