Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Egypt,2020-01-09,0.0
Egypt,2020-01-10,0.0
Egypt,2020-01-11,0.0
Egypt,2020-01-12,0.0
Egypt,2020-01-13,0.0
Egypt,2020-01-14,0.0
Egypt,2020-01-15,0.0
Egypt,2020-01-16,0.0
Egypt,2020-01-17,0.0
Egypt,2020-01-18,0.0
Egypt,2020-01-19,0.0
Egypt,2020-01-20,0.0
Egypt,2020-01-21,0.0
Egypt,2020-01-22,0.0
Egypt,2020-01-23,0.0
Egypt,2020-01-24,0.0
Egypt,2020-01-25,0.0
Egypt,2020-01-26,0.0
Egypt,2020-01-27,0.0
Egypt,2020-01-28,0.0
Egypt,2020-01-29,0.0
Egypt,2020-01-30,0.0
Egypt,2020-01-31,0.0
Egypt,2020-02-01,0.0
Egypt,2020-02-02,0.0
Egypt,2020-02-03,0.0
Egypt,2020-02-04,0.0
Egypt,2020-02-05,0.0
Egypt,2020-02-06,0.0
Egypt,2020-02-07,0.0
Egypt,2020-02-08,0.0
Egypt,2020-02-09,0.0
Egypt,2020-02-10,0.0
Egypt,2020-02-11,0.0
Egypt,2020-02-12,0.0
Egypt,2020-02-13,0.0
Egypt,2020-02-14,0.0
Egypt,2020-02-15,0.0012685079
Egypt,2020-02-16,0.0012685079
Egypt,2020-02-17,0.0012685079
Egypt,2020-02-18,0.0012685079
Egypt,2020-02-19,0.0012685079
Egypt,2020-02-20,0.0012685079
Egypt,2020-02-21,0.0012685079
Egypt,2020-02-22,0.0
Egypt,2020-02-23,0.0
Egypt,2020-02-24,0.0
Egypt,2020-02-25,0.0
Egypt,2020-02-26,0.0
Egypt,2020-02-27,0.0
Egypt,2020-02-28,0.0
Egypt,2020-02-29,0.0
Egypt,2020-03-01,0.0
Egypt,2020-03-02,0.0
Egypt,2020-03-03,0.0012685079
Egypt,2020-03-04,0.0012685079
Egypt,2020-03-05,0.0012685079
Egypt,2020-03-06,0.0025370158
Egypt,2020-03-07,0.01775911
Egypt,2020-03-08,0.059619874
Egypt,2020-03-09,0.06215689
Egypt,2020-03-10,0.06596241
Egypt,2020-03-11,0.07230495
Egypt,2020-03-12,0.08245301
Egypt,2020-03-13,0.09767511
Egypt,2020-03-14,0.09894362
Egypt,2020-03-15,0.078647494
Egypt,2020-03-16,0.0964066
Egypt,2020-03-17,0.14207289
Egypt,2020-03-18,0.17378558
Egypt,2020-03-19,0.18139663
Egypt,2020-03-20,0.2232574
Egypt,2020-03-21,0.24355352
Egypt,2020-03-22,0.23340546
Egypt,2020-03-23,0.2549701
Egypt,2020-03-24,0.2537016
Egypt,2020-03-25,0.26131263
Egypt,2020-03-26,0.31205294
Egypt,2020-03-27,0.3031734
Egypt,2020-03-28,0.3183955
Egypt,2020-03-29,0.35771924
Egypt,2020-03-30,0.35771924
Egypt,2020-03-31,0.3678673
Egypt,2020-04-01,0.39070043
Egypt,2020-04-02,0.40972805
Egypt,2020-04-03,0.46934792
Egypt,2020-04-04,0.56956005
Egypt,2020-04-05,0.6266429
Egypt,2020-04-06,0.7154385
Egypt,2020-04-07,0.8448263
Egypt,2020-04-08,0.93869585
Egypt,2020-04-09,0.99070466
Egypt,2020-04-10,1.0579356
Egypt,2020-04-11,1.026223
Egypt,2020-04-12,1.1023334
Egypt,2020-04-13,1.1315091
Egypt,2020-04-14,1.1010649
Egypt,2020-04-15,1.1416571
Egypt,2020-04-16,1.19874
Egypt,2020-04-17,1.2355267
Egypt,2020-04-18,1.3319333
Egypt,2020-04-19,1.3864791
Egypt,2020-04-20,1.36872
Egypt,2020-04-21,1.4499046
Egypt,2020-04-22,1.446099
Egypt,2020-04-23,1.4638581
Egypt,2020-04-24,1.5450426
Egypt,2020-04-25,1.5830979
Egypt,2020-04-26,1.6325697
Egypt,2020-04-27,1.763226
Egypt,2020-04-28,1.838068
Egypt,2020-04-29,1.9687243
Egypt,2020-04-30,2.0410292
Egypt,2020-05-01,2.087964
Egypt,2020-05-02,2.2871199
Egypt,2020-05-03,2.377184
Egypt,2020-05-04,2.4494889
Egypt,2020-05-05,2.5763395
Egypt,2020-05-06,2.7387085
Egypt,2020-05-07,2.9429383
Egypt,2020-05-08,3.1002333
Egypt,2020-05-09,3.274019
Egypt,2020-05-10,3.5150354
Egypt,2020-05-11,3.7230706
Egypt,2020-05-12,3.7205336
Egypt,2020-05-13,3.668525
Egypt,2020-05-14,3.606368
Egypt,2020-05-15,3.6127105
Egypt,2020-05-16,3.490934
Egypt,2020-05-17,3.4947393
Egypt,2020-05-18,3.588609
Egypt,2020-05-19,3.828357
Egypt,2020-05-20,4.3015103
Egypt,2020-05-21,4.817793
Egypt,2020-05-22,5.294752
Egypt,2020-05-23,5.781859
Egypt,2020-05-24,6.081227
Egypt,2020-05-25,6.388206
Egypt,2020-05-26,6.6000466
Egypt,2020-05-27,6.687574
Egypt,2020-05-28,6.896878
Egypt,2020-05-29,7.3446608
Egypt,2020-05-30,7.986526
Egypt,2020-05-31,8.798371
Egypt,2020-06-01,9.792881
Egypt,2020-06-02,10.6770315
Egypt,2020-06-03,11.1375
Egypt,2020-06-04,11.351877
Egypt,2020-06-05,11.38359
Egypt,2020-06-06,11.458432
Egypt,2020-06-07,11.623338
Egypt,2020-06-08,11.535811
Egypt,2020-06-09,11.4926815
Egypt,2020-06-10,11.788244
Egypt,2020-06-11,12.265203
Egypt,2020-06-12,12.63307
Egypt,2020-06-13,12.923558
Egypt,2020-06-14,13.15189
Egypt,2020-06-15,13.343434
Egypt,2020-06-16,13.7569685
Egypt,2020-06-17,13.987837
Egypt,2020-06-18,13.871134
Egypt,2020-06-19,13.586988
Egypt,2020-06-20,13.8368845
Egypt,2020-06-21,13.671978
Egypt,2020-06-22,13.4905815
Egypt,2020-06-23,13.344704
Egypt,2020-06-24,13.046604
Egypt,2020-06-25,13.118909
Egypt,2020-06-26,13.564156
Egypt,2020-06-27,13.375148
Egypt,2020-06-28,12.894383
Egypt,2020-06-29,12.627996
Egypt,2020-06-30,12.615312
Egypt,2020-07-01,12.900725
Egypt,2020-07-02,13.006012
Egypt,2020-07-03,12.899457
Egypt,2020-07-04,12.629265
Egypt,2020-07-05,12.827152
Egypt,2020-07-06,12.767532
Egypt,2020-07-07,12.010233
Egypt,2020-07-08,11.375979
Egypt,2020-07-09,10.769632
Egypt,2020-07-10,10.090981
Egypt,2020-07-11,9.544253
Egypt,2020-07-12,9.035582
Egypt,2020-07-13,8.647418
Egypt,2020-07-14,8.5992155
Egypt,2020-07-15,8.436846
Egypt,2020-07-16,8.294773
Egypt,2020-07-17,8.266866
Egypt,2020-07-18,7.914221
Egypt,2020-07-19,7.6288066
Egypt,2020-07-20,7.236838
Egypt,2020-07-21,6.851211
Egypt,2020-07-22,6.5302787
Egypt,2020-07-23,6.218226
Egypt,2020-07-24,5.888414
Egypt,2020-07-25,5.832599
Egypt,2020-07-26,5.5953884
Egypt,2020-07-27,5.4380937
Egypt,2020-07-28,5.1755123
Egypt,2020-07-29,4.907857
Egypt,2020-07-30,4.580582
Egypt,2020-07-31,4.2418904
Egypt,2020-08-01,3.813135
Egypt,2020-08-02,3.4668322
Egypt,2020-08-03,3.0710576
Egypt,2020-08-04,2.73744
Egypt,2020-08-05,2.2896569
Egypt,2020-08-06,1.9268636
Egypt,2020-08-07,1.5843664
Egypt,2020-08-08,1.356035
Egypt,2020-08-09,1.265971
Egypt,2020-08-10,1.2799245
Egypt,2020-08-11,1.3014891
Egypt,2020-08-12,1.3725256
Egypt,2020-08-13,1.3801366
Egypt,2020-08-14,1.3978957
Egypt,2020-08-15,1.361109
Egypt,2020-08-16,1.2964151
Egypt,2020-08-17,1.2469432
Egypt,2020-08-18,1.1721013
Egypt,2020-08-19,1.1657587
Egypt,2020-08-20,1.206351
Egypt,2020-08-21,1.1632217
Egypt,2020-08-22,1.1771754
Egypt,2020-08-23,1.1429256
Egypt,2020-08-24,1.0972594
Egypt,2020-08-25,1.126435
Egypt,2020-08-26,1.0985279
Egypt,2020-08-27,1.1556107
Egypt,2020-08-28,1.3154427
Egypt,2020-08-29,1.4422935
Egypt,2020-08-30,1.59832
Egypt,2020-08-31,1.7594205
Egypt,2020-09-01,1.8532901
Egypt,2020-09-02,1.8976878
Egypt,2020-09-03,1.845679
Egypt,2020-09-04,1.7289762
Egypt,2020-09-05,1.6452547
Egypt,2020-09-06,1.5412371
Egypt,2020-09-07,1.441025
Egypt,2020-09-08,1.3978957
Egypt,2020-09-09,1.4118493
Egypt,2020-09-10,1.4245344
Egypt,2020-09-11,1.435951
Egypt,2020-09-12,1.42834
Egypt,2020-09-13,1.4511731
Egypt,2020-09-14,1.4537101
Egypt,2020-09-15,1.441025
Egypt,2020-09-16,1.4105808
Egypt,2020-09-17,1.3915532
Egypt,2020-09-18,1.3750626
Egypt,2020-09-19,1.3496925
Egypt,2020-09-20,1.3243222
Egypt,2020-09-21,1.276119
Egypt,2020-09-22,1.2228416
Egypt,2020-09-23,1.1594162
Egypt,2020-09-24,1.1099445
Egypt,2020-09-25,1.106139
Egypt,2020-09-26,1.0820372
Egypt,2020-09-27,1.0604726
Egypt,2020-09-28,1.046519
Egypt,2020-09-29,1.0325655
Egypt,2020-09-30,1.046519
Egypt,2020-10-01,1.043982
Egypt,2020-10-02,1.0198804
Egypt,2020-10-03,1.0668151
Egypt,2020-10-04,1.0642781
Egypt,2020-10-05,1.0693521
Egypt,2020-10-06,1.0477875
Egypt,2020-10-07,1.043982
Egypt,2020-10-08,1.0617411
Egypt,2020-10-09,1.0642781
Egypt,2020-10-10,1.0097322
Egypt,2020-10-11,1.0300285
Egypt,2020-10-12,1.0566671
Egypt,2020-10-13,1.0997964
Egypt,2020-10-14,1.1226295
Egypt,2020-10-15,1.116287
Egypt,2020-10-16,1.1124815
Egypt,2020-10-17,1.1378516
Egypt,2020-10-18,1.1543422
Egypt,2020-10-19,1.1518052
Egypt,2020-10-20,1.1403886
Egypt,2020-10-21,1.1644902
Egypt,2020-10-22,1.2279156
Egypt,2020-10-23,1.3027576
Egypt,2020-10-24,1.358572
Egypt,2020-10-25,1.3953587
Egypt,2020-10-26,1.4156548
Egypt,2020-10-27,1.4714692
Egypt,2020-10-28,1.4866912
Egypt,2020-10-29,1.4549786
Egypt,2020-10-30,1.4575156
Egypt,2020-10-31,1.4651266
Egypt,2020-11-01,1.4689322
Egypt,2020-11-02,1.5171355
Egypt,2020-11-03,1.5450426
Egypt,2020-11-04,1.5792923
Egypt,2020-11-05,1.6477917
Egypt,2020-11-06,1.675699
Egypt,2020-11-07,1.7365873
Egypt,2020-11-08,1.7847906
Egypt,2020-11-09,1.8583641
Egypt,2020-11-10,1.8989563
Egypt,2020-11-11,1.9433541
Egypt,2020-11-12,1.9687243
Egypt,2020-11-13,1.9852148
Egypt,2020-11-14,1.9852148
Egypt,2020-11-15,2.010585
Egypt,2020-11-16,1.9864835
Egypt,2020-11-17,2.013122
Egypt,2020-11-18,2.067668
Egypt,2020-11-19,2.1970558
Egypt,2020-11-20,2.3594248
Egypt,2020-11-21,2.5357473
Egypt,2020-11-22,2.7006533
