Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Europe,2020-01-09,0.00066853396
Europe,2020-01-10,0.0005730291
Europe,2020-01-11,0.0001910097
Europe,2020-01-12,0.0001910097
Europe,2020-01-13,0.0001910097
Europe,2020-01-14,0.0001910097
Europe,2020-01-15,0.0
Europe,2020-01-16,0.0
Europe,2020-01-17,0.0
Europe,2020-01-18,0.0
Europe,2020-01-19,0.0003820194
Europe,2020-01-20,0.0003820194
Europe,2020-01-21,0.0003820194
Europe,2020-01-22,0.0003820194
Europe,2020-01-23,0.0003820194
Europe,2020-01-24,0.0003820194
Europe,2020-01-25,0.0003820194
Europe,2020-01-26,0.00095504854
Europe,2020-01-27,0.00095504854
Europe,2020-01-28,0.00095504854
Europe,2020-01-29,0.00095504854
Europe,2020-01-30,0.0011460582
Europe,2020-01-31,0.0017190874
Europe,2020-02-01,0.0022921164
Europe,2020-02-02,0.004011204
Europe,2020-02-03,0.004011204
Europe,2020-02-04,0.0042022136
Europe,2020-02-05,0.008022408
Europe,2020-02-06,0.0078313975
Europe,2020-02-07,0.0074493783
Europe,2020-02-08,0.0068763494
Europe,2020-02-09,0.010314524
Europe,2020-02-10,0.010887553
Europe,2020-02-11,0.010887553
Europe,2020-02-12,0.0074493783
Europe,2020-02-13,0.008213418
Europe,2020-02-14,0.008213418
Europe,2020-02-15,0.008404427
Europe,2020-02-16,0.004011204
Europe,2020-02-17,0.0034381747
Europe,2020-02-18,0.003247165
Europe,2020-02-19,0.0030561553
Europe,2020-02-20,0.0022921164
Europe,2020-02-21,0.0021011068
Europe,2020-02-22,0.0047752424
Europe,2020-02-23,0.018909961
Europe,2020-02-24,0.029224485
Europe,2020-02-25,0.049089495
Europe,2020-02-26,0.06742643
Europe,2020-02-27,0.08614538
Europe,2020-02-28,0.13771799
Europe,2020-02-29,0.18871759
Europe,2020-03-01,0.2851775
Europe,2020-03-02,0.3896598
Europe,2020-03-03,0.4546031
Europe,2020-03-04,0.55392814
Europe,2020-03-05,0.69470227
Europe,2020-03-06,0.8404427
Europe,2020-03-07,1.0016549
Europe,2020-03-08,1.7569072
Europe,2020-03-09,2.008085
Europe,2020-03-10,2.4323175
Europe,2020-03-11,2.7195961
Europe,2020-03-12,3.2716143
Europe,2020-03-13,3.9540918
Europe,2020-03-14,4.604289
Europe,2020-03-15,8.727042
Europe,2020-03-16,9.355273
Europe,2020-03-17,9.971852
Europe,2020-03-18,10.789756
Europe,2020-03-19,11.546727
Europe,2020-03-20,12.371698
Europe,2020-03-21,13.489869
Europe,2020-03-22,23.210735
Europe,2020-03-23,23.963314
Europe,2020-03-24,24.68896
Europe,2020-03-25,25.895758
Europe,2020-03-26,26.865515
Europe,2020-03-27,27.868889
Europe,2020-03-28,28.814386
Europe,2020-03-29,38.440895
Europe,2020-03-30,39.02844
Europe,2020-03-31,39.502144
Europe,2020-04-01,39.939747
Europe,2020-04-02,40.392822
Europe,2020-04-03,40.80674
Europe,2020-04-04,41.01475
Europe,2020-04-05,38.151707
Europe,2020-04-06,38.34997
Europe,2020-04-07,38.476612
Europe,2020-04-08,38.776688
Europe,2020-04-09,39.300438
Europe,2020-04-10,39.437008
Europe,2020-04-11,39.623245
Europe,2020-04-12,35.598095
Europe,2020-04-13,35.96407
Europe,2020-04-14,36.100643
Europe,2020-04-15,35.86914
Europe,2020-04-16,35.612614
Europe,2020-04-17,36.09415
Europe,2020-04-18,36.551235
Europe,2020-04-19,33.07944
Europe,2020-04-20,33.327374
Europe,2020-04-21,33.705574
Europe,2020-04-22,34.054546
Europe,2020-04-23,34.359207
Europe,2020-04-24,34.241356
Europe,2020-04-25,34.186535
Europe,2020-04-26,31.131144
Europe,2020-04-27,31.041368
Europe,2020-04-28,31.206402
Europe,2020-04-29,31.022268
Europe,2020-04-30,31.07002
Europe,2020-05-01,31.131716
Europe,2020-05-02,31.299423
Europe,2020-05-03,28.819353
Europe,2020-05-04,29.413584
Europe,2020-05-05,29.461145
Europe,2020-05-06,30.160624
Europe,2020-05-07,30.324127
Europe,2020-05-08,30.429182
Europe,2020-05-09,30.263386
Europe,2020-05-10,29.287708
Europe,2020-05-11,28.947903
Europe,2020-05-12,28.794521
Europe,2020-05-13,28.765871
Europe,2020-05-14,28.270391
Europe,2020-05-15,27.971844
Europe,2020-05-16,27.345713
Europe,2020-05-17,26.249508
Europe,2020-05-18,25.62758
Europe,2020-05-19,25.284336
Europe,2020-05-20,24.4395
Europe,2020-05-21,24.496231
Europe,2020-05-22,23.938864
Europe,2020-05-23,23.60345
Europe,2020-05-24,23.460958
Europe,2020-05-25,23.330307
Europe,2020-05-26,23.123825
Europe,2020-05-27,22.751165
Europe,2020-05-28,22.201248
Europe,2020-05-29,21.9367
Europe,2020-05-30,21.864882
Europe,2020-05-31,21.422312
Europe,2020-06-01,21.254795
Europe,2020-06-02,21.174381
Europe,2020-06-03,21.111538
Europe,2020-06-04,21.06073
Europe,2020-06-05,20.98108
Europe,2020-06-06,20.95472
Europe,2020-06-07,20.629238
Europe,2020-06-08,20.8298
Europe,2020-06-09,20.803059
Europe,2020-06-10,20.746328
Europe,2020-06-11,20.722834
Europe,2020-06-12,20.830755
Europe,2020-06-13,20.719969
Europe,2020-06-14,20.93218
Europe,2020-06-15,20.645285
Europe,2020-06-16,20.553791
Europe,2020-06-17,20.549015
Europe,2020-06-18,20.475285
Europe,2020-06-19,20.281984
Europe,2020-06-20,20.18514
Europe,2020-06-21,20.35132
Europe,2020-06-22,20.115614
Europe,2020-06-23,19.918682
Europe,2020-06-24,19.681831
Europe,2020-06-25,19.546022
Europe,2020-06-26,19.249767
Europe,2020-06-27,18.965736
Europe,2020-06-28,18.845972
Europe,2020-06-29,18.69622
Europe,2020-06-30,18.532717
Europe,2020-07-01,18.363865
Europe,2020-07-02,18.000372
Europe,2020-07-03,17.87679
Europe,2020-07-04,17.744038
Europe,2020-07-05,17.562769
Europe,2020-07-06,17.479488
Europe,2020-07-07,17.32076
Europe,2020-07-08,17.213985
Europe,2020-07-09,17.218761
Europe,2020-07-10,17.147705
Europe,2020-07-11,17.196032
Europe,2020-07-12,17.792171
Europe,2020-07-13,17.80115
Europe,2020-07-14,17.758936
Europe,2020-07-15,17.807835
Europe,2020-07-16,17.792936
Europe,2020-07-17,17.8638
Europe,2020-07-18,17.80478
Europe,2020-07-19,19.06869
Europe,2020-07-20,19.070026
Europe,2020-07-21,19.103836
Europe,2020-07-22,19.191128
Europe,2020-07-23,19.285295
Europe,2020-07-24,19.418047
Europe,2020-07-25,19.596832
Europe,2020-07-26,21.384682
Europe,2020-07-27,21.461851
Europe,2020-07-28,21.58639
Europe,2020-07-29,21.70768
Europe,2020-07-30,21.867937
Europe,2020-07-31,22.004128
Europe,2020-08-01,22.023037
Europe,2020-08-02,24.20838
Europe,2020-08-03,24.194054
Europe,2020-08-04,24.127008
Europe,2020-08-05,24.20838
Europe,2020-08-06,24.271412
Europe,2020-08-07,24.283064
Europe,2020-08-08,24.481905
Europe,2020-08-09,27.517431
Europe,2020-08-10,27.590015
Europe,2020-08-11,27.575308
Europe,2020-08-12,27.702902
Europe,2020-08-13,27.807384
Europe,2020-08-14,27.881687
Europe,2020-08-15,27.92218
Europe,2020-08-16,32.115036
Europe,2020-08-17,32.06289
Europe,2020-08-18,32.018192
Europe,2020-08-19,31.870352
Europe,2020-08-20,31.900148
Europe,2020-08-21,31.984575
Europe,2020-08-22,32.191437
Europe,2020-08-23,37.050915
Europe,2020-08-24,37.21423
Europe,2020-08-25,37.454903
Europe,2020-08-26,37.604843
Europe,2020-08-27,37.72919
Europe,2020-08-28,37.91581
Europe,2020-08-29,37.9288
Europe,2020-08-30,42.342648
Europe,2020-08-31,42.54951
Europe,2020-09-01,42.639286
Europe,2020-09-02,42.666985
Europe,2020-09-03,42.977947
Europe,2020-09-04,43.449932
Europe,2020-09-05,44.112926
Europe,2020-09-06,48.92427
Europe,2020-09-07,49.30075
Europe,2020-09-08,49.872253
Europe,2020-09-09,50.843536
Europe,2020-09-10,51.446552
Europe,2020-09-11,51.92962
Europe,2020-09-12,52.38575
Europe,2020-09-13,58.344296
Europe,2020-09-14,58.71944
Europe,2020-09-15,58.949223
Europe,2020-09-16,59.519577
Europe,2020-09-17,60.226696
Europe,2020-09-18,61.378296
Europe,2020-09-19,62.23058
Europe,2020-09-20,69.121445
Europe,2020-09-21,70.05911
Europe,2020-09-22,71.09668
Europe,2020-09-23,71.939224
Europe,2020-09-24,73.062355
Europe,2020-09-25,73.96679
Europe,2020-09-26,75.353905
Europe,2020-09-27,75.87822
Europe,2020-09-28,76.84645
Europe,2020-09-29,77.86663
Europe,2020-09-30,79.54332
Europe,2020-10-01,81.4643
Europe,2020-10-02,83.97875
Europe,2020-10-03,86.57591
Europe,2020-10-04,92.16543
Europe,2020-10-05,94.47493
Europe,2020-10-06,97.09138
Europe,2020-10-07,100.66804
Europe,2020-10-08,104.63187
Europe,2020-10-09,108.88527
Europe,2020-10-10,113.82326
Europe,2020-10-11,135.63351
Europe,2020-10-12,138.57086
Europe,2020-10-13,141.2024
Europe,2020-10-14,145.90143
Europe,2020-10-15,151.28313
Europe,2020-10-16,156.50723
Europe,2020-10-17,161.07753
Europe,2020-10-18,187.01932
Europe,2020-10-19,192.04364
Europe,2020-10-20,196.43648
Europe,2020-10-21,202.95468
Europe,2020-10-22,210.809
Europe,2020-10-23,218.25858
Europe,2020-10-24,226.30887
Europe,2020-10-25,273.23212
Europe,2020-10-26,278.933
Europe,2020-10-27,283.76266
Europe,2020-10-28,291.3916
Europe,2020-10-29,297.39542
Europe,2020-10-30,303.20822
Europe,2020-10-31,309.27182
Europe,2020-11-01,342.49777
Europe,2020-11-02,345.71915
Europe,2020-11-03,349.37415
Europe,2020-11-04,353.3271
Europe,2020-11-05,356.902
Europe,2020-11-06,360.64752
Europe,2020-11-07,363.47867
Europe,2020-11-08,362.64758
Europe,2020-11-09,365.55896
Europe,2020-11-10,368.13757
Europe,2020-11-11,368.93658
Europe,2020-11-12,368.77518
Europe,2020-11-13,367.83502
Europe,2020-11-14,367.44785
Europe,2020-11-15,341.0698
Europe,2020-11-16,340.7
Europe,2020-11-17,340.69522
Europe,2020-11-18,337.21082
Europe,2020-11-19,334.85703
Europe,2020-11-20,333.70007
Europe,2020-11-21,330.20993
Europe,2020-11-22,314.02933
Europe,2020-11-23,310.6683
Europe,2020-11-24,306.05045
Europe,2020-11-25,302.37848
Europe,2020-11-26,299.3361
Europe,2020-11-27,295.94183
Europe,2020-11-28,292.71646
Europe,2020-11-29,274.75867
Europe,2020-11-30,271.01544
Europe,2020-12-01,269.6228
Europe,2020-12-02,268.05634
Europe,2020-12-03,266.2001
Europe,2020-12-04,264.2014
Europe,2020-12-05,263.50516
Europe,2020-12-06,259.68304
Europe,2020-12-07,259.438
Europe,2020-12-08,259.6821
Europe,2020-12-09,260.51373
Europe,2020-12-10,261.14008
Europe,2020-12-11,261.4982
Europe,2020-12-12,262.12415
Europe,2020-12-13,270.14713
Europe,2020-12-14,271.43015
Europe,2020-12-15,272.67438
Europe,2020-12-16,275.45242
Europe,2020-12-17,277.83392
Europe,2020-12-18,280.41733
Europe,2020-12-19,281.45184
Europe,2020-12-20,291.62692
Europe,2020-12-21,291.78452
Europe,2020-12-22,294.16125
Europe,2020-12-23,295.82608
Europe,2020-12-24,298.94852
Europe,2020-12-25,296.80884
Europe,2020-12-26,290.48468
Europe,2020-12-27,263.57526
Europe,2020-12-28,263.48355
Europe,2020-12-29,266.1552
Europe,2020-12-30,266.1726
Europe,2020-12-31,273.62924
Europe,2021-01-01,282.29
Europe,2021-01-02,286.61044
Europe,2021-01-03,293.27972
Europe,2021-01-04,298.35373
Europe,2021-01-05,301.10236
Europe,2021-01-06,308.56567
Europe,2021-01-07,303.97513
Europe,2021-01-08,299.68277
Europe,2021-01-09,303.4384
Europe,2021-01-10,336.87045
Europe,2021-01-11,333.36407
Europe,2021-01-12,327.20267
Europe,2021-01-13,318.55853
Europe,2021-01-14,311.43445
Europe,2021-01-15,305.2719
Europe,2021-01-16,299.491
Europe,2021-01-17,302.33627
Europe,2021-01-18,297.58508
Europe,2021-01-19,292.76822
Europe,2021-01-20,287.02628
Europe,2021-01-21,281.66653
Europe,2021-01-22,277.19385
Europe,2021-01-23,273.01743
Europe,2021-01-24,267.00616
Europe,2021-01-25,263.79224
Europe,2021-01-26,259.92487
Europe,2021-01-27,256.07257
Europe,2021-01-28,252.97421
Europe,2021-01-29,250.11383
Europe,2021-01-30,248.03546
Europe,2021-01-31,233.00491
Europe,2021-02-01,231.5582
Europe,2021-02-02,230.66829
Europe,2021-02-03,228.43385
Europe,2021-02-04,226.11194
Europe,2021-02-05,224.4003
Europe,2021-02-06,222.72438
Europe,2021-02-07,196.9906
Europe,2021-02-08,195.74483
Europe,2021-02-09,194.60966
Europe,2021-02-10,193.22598
Europe,2021-02-11,191.81137
Europe,2021-02-12,190.93234
Europe,2021-02-13,189.71065
Europe,2021-02-14,168.20352
Europe,2021-02-15,167.21677
Europe,2021-02-16,166.47986
Europe,2021-02-17,166.7679
Europe,2021-02-18,167.09586
Europe,2021-02-19,167.62515
Europe,2021-02-20,168.79794
Europe,2021-02-21,167.64426
Europe,2021-02-22,168.98209
Europe,2021-02-23,170.65819
Europe,2021-02-24,173.0991
Europe,2021-02-25,174.96431
Europe,2021-02-26,177.44247
Europe,2021-02-27,179.80107
Europe,2021-02-28,185.5262
Europe,2021-03-01,186.37103
Europe,2021-03-02,187.29762
Europe,2021-03-03,188.49774
Europe,2021-03-04,190.61679
Europe,2021-03-05,191.94794
Europe,2021-03-06,193.07834
Europe,2021-03-07,197.30519
Europe,2021-03-08,197.4901
Europe,2021-03-09,198.19987
Europe,2021-03-10,199.24547
Europe,2021-03-11,200.8679
Europe,2021-03-12,202.39102
Europe,2021-03-13,205.53656
Europe,2021-03-14,216.86
Europe,2021-03-15,219.24323
Europe,2021-03-16,220.57457
Europe,2021-03-17,222.57635
Europe,2021-03-18,224.28952
Europe,2021-03-19,226.62518
Europe,2021-03-20,227.39877
Europe,2021-03-21,246.92722
Europe,2021-03-22,247.71265
Europe,2021-03-23,250.19177
Europe,2021-03-24,251.39972
Europe,2021-03-25,252.9062
Europe,2021-03-26,254.44154
Europe,2021-03-27,255.08772
Europe,2021-03-28,275.52673
Europe,2021-03-29,275.44574
Europe,2021-03-30,273.5706
Europe,2021-03-31,272.56378
Europe,2021-04-01,272.23428
Europe,2021-04-02,269.7338
Europe,2021-04-03,266.77448
Europe,2021-04-04,263.9158
Europe,2021-04-05,261.03558
Europe,2021-04-06,255.05908
Europe,2021-04-07,246.01515
Europe,2021-04-08,240.92952
