Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
European Union (27),2020-01-09,0.00074284966
European Union (27),2020-01-10,0.0006367283
European Union (27),2020-01-11,0.0
European Union (27),2020-01-12,0.0
European Union (27),2020-01-13,0.0
European Union (27),2020-01-14,0.0
European Union (27),2020-01-15,0.0
European Union (27),2020-01-16,0.0
European Union (27),2020-01-17,0.0
European Union (27),2020-01-18,0.0
European Union (27),2020-01-19,0.0006367283
European Union (27),2020-01-20,0.0006367283
European Union (27),2020-01-21,0.0006367283
European Union (27),2020-01-22,0.0006367283
European Union (27),2020-01-23,0.0006367283
European Union (27),2020-01-24,0.0006367283
European Union (27),2020-01-25,0.0006367283
European Union (27),2020-01-26,0.0015918207
European Union (27),2020-01-27,0.0015918207
European Union (27),2020-01-28,0.0015918207
European Union (27),2020-01-29,0.0015918207
European Union (27),2020-01-30,0.0019101849
European Union (27),2020-01-31,0.0028652775
European Union (27),2020-02-01,0.0028652775
European Union (27),2020-02-02,0.005730555
European Union (27),2020-02-03,0.005730555
European Union (27),2020-02-04,0.005730555
European Union (27),2020-02-05,0.006367283
European Union (27),2020-02-06,0.0060489187
European Union (27),2020-02-07,0.0050938264
European Union (27),2020-02-08,0.0050938264
European Union (27),2020-02-09,0.0060489187
European Union (27),2020-02-10,0.0060489187
European Union (27),2020-02-11,0.0060489187
European Union (27),2020-02-12,0.005730555
European Union (27),2020-02-13,0.005730555
European Union (27),2020-02-14,0.005730555
European Union (27),2020-02-15,0.005730555
European Union (27),2020-02-16,0.0031836415
European Union (27),2020-02-17,0.0031836415
European Union (27),2020-02-18,0.0031836415
European Union (27),2020-02-19,0.0028652775
European Union (27),2020-02-20,0.0028652775
European Union (27),2020-02-21,0.0028652775
European Union (27),2020-02-22,0.0073223757
European Union (27),2020-02-23,0.030244594
European Union (27),2020-02-24,0.04743626
European Union (27),2020-02-25,0.07831758
European Union (27),2020-02-26,0.10824381
European Union (27),2020-02-27,0.13434967
European Union (27),2020-02-28,0.21585089
European Union (27),2020-02-29,0.29162157
European Union (27),2020-03-01,0.44061598
European Union (27),2020-03-02,0.60616535
European Union (27),2020-03-03,0.69307876
European Union (27),2020-03-04,0.8258366
European Union (27),2020-03-05,1.0133531
European Union (27),2020-03-06,1.2104205
European Union (27),2020-03-07,1.4399611
European Union (27),2020-03-08,2.6427407
European Union (27),2020-03-09,3.0024924
European Union (27),2020-03-10,3.5720458
European Union (27),2020-03-11,3.8865895
European Union (27),2020-03-12,4.59877
European Union (27),2020-03-13,5.468541
European Union (27),2020-03-14,6.2443943
European Union (27),2020-03-15,12.808744
European Union (27),2020-03-16,13.663871
European Union (27),2020-03-17,14.269718
European Union (27),2020-03-18,15.211439
European Union (27),2020-03-19,15.991431
European Union (27),2020-03-20,16.965944
European Union (27),2020-03-21,18.317081
European Union (27),2020-03-22,33.919155
European Union (27),2020-03-23,34.75295
European Union (27),2020-03-24,35.476273
European Union (27),2020-03-25,36.76469
European Union (27),2020-03-26,37.81784
European Union (27),2020-03-27,38.755104
European Union (27),2020-03-28,39.592403
European Union (27),2020-03-29,54.820396
European Union (27),2020-03-30,55.25369
European Union (27),2020-03-31,55.455215
European Union (27),2020-04-01,55.503925
European Union (27),2020-04-02,55.686665
European Union (27),2020-04-03,55.521114
European Union (27),2020-04-04,55.25369
European Union (27),2020-04-05,49.665764
European Union (27),2020-04-06,49.415848
European Union (27),2020-04-07,49.284363
European Union (27),2020-04-08,49.275448
European Union (27),2020-04-09,48.999428
European Union (27),2020-04-10,48.962814
European Union (27),2020-04-11,48.83165
European Union (27),2020-04-12,41.62484
European Union (27),2020-04-13,41.690742
European Union (27),2020-04-14,41.526466
European Union (27),2020-04-15,40.730873
European Union (27),2020-04-16,40.373985
European Union (27),2020-04-17,40.323048
European Union (27),2020-04-18,40.03079
European Union (27),2020-04-19,32.514214
European Union (27),2020-04-20,32.03794
European Union (27),2020-04-21,31.618336
European Union (27),2020-04-22,31.671503
European Union (27),2020-04-23,31.69124
European Union (27),2020-04-24,30.838661
European Union (27),2020-04-25,30.45758
European Union (27),2020-04-26,25.08996
European Union (27),2020-04-27,24.543648
European Union (27),2020-04-28,24.355175
European Union (27),2020-04-29,23.946396
European Union (27),2020-04-30,23.188372
European Union (27),2020-05-01,22.638874
European Union (27),2020-05-02,21.850924
European Union (27),2020-05-03,16.536152
European Union (27),2020-05-04,16.134377
European Union (27),2020-05-05,15.807735
European Union (27),2020-05-06,15.41551
European Union (27),2020-05-07,15.0837755
European Union (27),2020-05-08,14.969482
European Union (27),2020-05-09,14.70142
European Union (27),2020-05-10,13.192373
European Union (27),2020-05-11,12.888336
European Union (27),2020-05-12,12.646379
European Union (27),2020-05-13,12.659751
European Union (27),2020-05-14,12.334701
European Union (27),2020-05-15,12.018247
European Union (27),2020-05-16,11.854289
European Union (27),2020-05-17,11.01922
European Union (27),2020-05-18,10.831703
European Union (27),2020-05-19,10.651191
European Union (27),2020-05-20,10.292076
European Union (27),2020-05-21,10.263105
European Union (27),2020-05-22,10.086095
European Union (27),2020-05-23,9.790016
European Union (27),2020-05-24,10.150085
European Union (27),2020-05-25,10.1434
European Union (27),2020-05-26,10.082593
European Union (27),2020-05-27,9.943467
European Union (27),2020-05-28,9.805615
European Union (27),2020-05-29,9.754996
European Union (27),2020-05-30,9.767094
European Union (27),2020-05-31,8.918335
European Union (27),2020-06-01,8.745145
European Union (27),2020-06-02,8.743872
European Union (27),2020-06-03,8.611432
European Union (27),2020-06-04,8.549351
European Union (27),2020-06-05,8.508282
European Union (27),2020-06-06,8.63117
European Union (27),2020-06-07,8.168269
European Union (27),2020-06-08,8.305484
European Union (27),2020-06-09,8.413091
European Union (27),2020-06-10,8.4885435
European Union (27),2020-06-11,8.570682
European Union (27),2020-06-12,8.675741
European Union (27),2020-06-13,8.609522
European Union (27),2020-06-14,8.436969
European Union (27),2020-06-15,8.450022
European Union (27),2020-06-16,8.37043
European Union (27),2020-06-17,8.47167
European Union (27),2020-06-18,8.62544
European Union (27),2020-06-19,8.7149
European Union (27),2020-06-20,8.737823
European Union (27),2020-06-21,9.060644
European Union (27),2020-06-22,8.967999
European Union (27),2020-06-23,8.996653
European Union (27),2020-06-24,8.962906
European Union (27),2020-06-25,9.090252
European Union (27),2020-06-26,9.052366
European Union (27),2020-06-27,9.093754
European Union (27),2020-06-28,8.911967
