Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
French Polynesia,2020-01-09,0.0
French Polynesia,2020-01-10,0.0
French Polynesia,2020-01-11,0.0
French Polynesia,2020-01-12,0.0
French Polynesia,2020-01-13,0.0
French Polynesia,2020-01-14,0.0
French Polynesia,2020-01-15,0.0
French Polynesia,2020-01-16,0.0
French Polynesia,2020-01-17,0.0
French Polynesia,2020-01-18,0.0
French Polynesia,2020-01-19,0.0
French Polynesia,2020-01-20,0.0
French Polynesia,2020-01-21,0.0
French Polynesia,2020-01-22,0.0
French Polynesia,2020-01-23,0.0
French Polynesia,2020-01-24,0.0
French Polynesia,2020-01-25,0.0
French Polynesia,2020-01-26,0.0
French Polynesia,2020-01-27,0.0
French Polynesia,2020-01-28,0.0
French Polynesia,2020-01-29,0.0
French Polynesia,2020-01-30,0.0
French Polynesia,2020-01-31,0.0
French Polynesia,2020-02-01,0.0
French Polynesia,2020-02-02,0.0
French Polynesia,2020-02-03,0.0
French Polynesia,2020-02-04,0.0
French Polynesia,2020-02-05,0.0
French Polynesia,2020-02-06,0.0
French Polynesia,2020-02-07,0.0
French Polynesia,2020-02-08,0.0
French Polynesia,2020-02-09,0.0
French Polynesia,2020-02-10,0.0
French Polynesia,2020-02-11,0.0
French Polynesia,2020-02-12,0.0
French Polynesia,2020-02-13,0.0
French Polynesia,2020-02-14,0.0
French Polynesia,2020-02-15,0.0
French Polynesia,2020-02-16,0.0
French Polynesia,2020-02-17,0.0
French Polynesia,2020-02-18,0.0
French Polynesia,2020-02-19,0.0
French Polynesia,2020-02-20,0.0
French Polynesia,2020-02-21,0.0
French Polynesia,2020-02-22,0.0
French Polynesia,2020-02-23,0.0
French Polynesia,2020-02-24,0.0
French Polynesia,2020-02-25,0.0
French Polynesia,2020-02-26,0.0
French Polynesia,2020-02-27,0.0
French Polynesia,2020-02-28,0.0
French Polynesia,2020-02-29,0.0
French Polynesia,2020-03-01,0.0
French Polynesia,2020-03-02,0.0
French Polynesia,2020-03-03,0.0
French Polynesia,2020-03-04,0.0
French Polynesia,2020-03-05,0.0
French Polynesia,2020-03-06,0.0
French Polynesia,2020-03-07,0.0
French Polynesia,2020-03-08,0.0
French Polynesia,2020-03-09,0.0
French Polynesia,2020-03-10,0.5094963
French Polynesia,2020-03-11,0.5094963
French Polynesia,2020-03-12,1.5284888
French Polynesia,2020-03-13,1.5284888
French Polynesia,2020-03-14,1.5284888
French Polynesia,2020-03-15,1.5284888
French Polynesia,2020-03-16,1.5284888
French Polynesia,2020-03-17,1.0189925
French Polynesia,2020-03-18,2.5474813
French Polynesia,2020-03-19,4.07597
French Polynesia,2020-03-20,6.113955
French Polynesia,2020-03-21,7.1329474
French Polynesia,2020-03-22,7.6424437
French Polynesia,2020-03-23,10.189925
French Polynesia,2020-03-24,11.208918
French Polynesia,2020-03-25,9.6804285
French Polynesia,2020-03-26,9.6804285
French Polynesia,2020-03-27,7.6424437
French Polynesia,2020-03-28,8.661436
French Polynesia,2020-03-29,8.661436
French Polynesia,2020-03-30,6.113955
French Polynesia,2020-03-31,5.604459
French Polynesia,2020-04-01,6.113955
French Polynesia,2020-04-02,3.5664737
French Polynesia,2020-04-03,3.5664737
French Polynesia,2020-04-04,2.5474813
French Polynesia,2020-04-05,2.5474813
French Polynesia,2020-04-06,3.0569775
French Polynesia,2020-04-07,3.0569775
French Polynesia,2020-04-08,5.0949626
French Polynesia,2020-04-09,7.1329474
French Polynesia,2020-04-10,7.1329474
French Polynesia,2020-04-11,6.113955
French Polynesia,2020-04-12,5.604459
French Polynesia,2020-04-13,6.113955
French Polynesia,2020-04-14,6.623451
French Polynesia,2020-04-15,4.07597
French Polynesia,2020-04-16,2.037985
French Polynesia,2020-04-17,2.037985
French Polynesia,2020-04-18,2.037985
French Polynesia,2020-04-19,2.037985
French Polynesia,2020-04-20,1.0189925
French Polynesia,2020-04-21,0.5094963
French Polynesia,2020-04-22,1.0189925
French Polynesia,2020-04-23,1.0189925
French Polynesia,2020-04-24,1.0189925
French Polynesia,2020-04-25,1.0189925
French Polynesia,2020-04-26,1.0189925
French Polynesia,2020-04-27,1.0189925
French Polynesia,2020-04-28,1.0189925
French Polynesia,2020-04-29,0.5094963
French Polynesia,2020-04-30,0.5094963
French Polynesia,2020-05-01,0.5094963
French Polynesia,2020-05-02,0.5094963
French Polynesia,2020-05-03,0.5094963
