Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Georgia,2020-01-09,0.0
Georgia,2020-01-10,0.0
Georgia,2020-01-11,0.0
Georgia,2020-01-12,0.0
Georgia,2020-01-13,0.0
Georgia,2020-01-14,0.0
Georgia,2020-01-15,0.0
Georgia,2020-01-16,0.0
Georgia,2020-01-17,0.0
Georgia,2020-01-18,0.0
Georgia,2020-01-19,0.0
Georgia,2020-01-20,0.0
Georgia,2020-01-21,0.0
Georgia,2020-01-22,0.0
Georgia,2020-01-23,0.0
Georgia,2020-01-24,0.0
Georgia,2020-01-25,0.0
Georgia,2020-01-26,0.0
Georgia,2020-01-27,0.0
Georgia,2020-01-28,0.0
Georgia,2020-01-29,0.0
Georgia,2020-01-30,0.0
Georgia,2020-01-31,0.0
Georgia,2020-02-01,0.0
Georgia,2020-02-02,0.0
Georgia,2020-02-03,0.0
Georgia,2020-02-04,0.0
Georgia,2020-02-05,0.0
Georgia,2020-02-06,0.0
Georgia,2020-02-07,0.0
Georgia,2020-02-08,0.0
Georgia,2020-02-09,0.0
Georgia,2020-02-10,0.0
Georgia,2020-02-11,0.0
Georgia,2020-02-12,0.0
Georgia,2020-02-13,0.0
Georgia,2020-02-14,0.0
Georgia,2020-02-15,0.0
Georgia,2020-02-16,0.0
Georgia,2020-02-17,0.0
Georgia,2020-02-18,0.0
Georgia,2020-02-19,0.0
Georgia,2020-02-20,0.0
Georgia,2020-02-21,0.0
Georgia,2020-02-22,0.0
Georgia,2020-02-23,0.0
Georgia,2020-02-24,0.0
Georgia,2020-02-25,0.0
Georgia,2020-02-26,0.0
Georgia,2020-02-27,0.037645668
Georgia,2020-02-28,0.037645668
Georgia,2020-02-29,0.112937
Georgia,2020-03-01,0.112937
Georgia,2020-03-02,0.112937
Georgia,2020-03-03,0.112937
Georgia,2020-03-04,0.112937
Georgia,2020-03-05,0.075291336
Georgia,2020-03-06,0.30116534
Georgia,2020-03-07,0.225874
Georgia,2020-03-08,0.338811
Georgia,2020-03-09,0.37645668
Georgia,2020-03-10,0.451748
Georgia,2020-03-11,0.75291336
Georgia,2020-03-12,0.75291336
Georgia,2020-03-13,0.6023307
Georgia,2020-03-14,0.6023307
Georgia,2020-03-15,0.677622
Georgia,2020-03-16,0.75291336
Georgia,2020-03-17,0.677622
Georgia,2020-03-18,0.41410235
Georgia,2020-03-19,0.41410235
Georgia,2020-03-20,0.48939368
Georgia,2020-03-21,0.8658504
Georgia,2020-03-22,0.903496
Georgia,2020-03-23,1.0540787
Georgia,2020-03-24,1.3928897
Georgia,2020-03-25,1.6187638
Georgia,2020-03-26,1.7317008
Georgia,2020-03-27,1.6940551
Georgia,2020-03-28,1.5811181
Georgia,2020-03-29,1.6564094
Georgia,2020-03-30,1.5811181
Georgia,2020-03-31,1.6940551
Georgia,2020-04-01,1.6564094
Georgia,2020-04-02,1.5434724
Georgia,2020-04-03,2.4469686
Georgia,2020-04-04,2.5222597
Georgia,2020-04-05,2.710488
Georgia,2020-04-06,3.1998818
Georgia,2020-04-07,3.0116534
Georgia,2020-04-08,3.2751732
Georgia,2020-04-09,3.5010471
Georgia,2020-04-10,3.0869448
Georgia,2020-04-11,2.8610709
Georgia,2020-04-12,3.0869448
Georgia,2020-04-13,2.936362
Georgia,2020-04-14,3.8022125
Georgia,2020-04-15,3.6892755
Georgia,2020-04-16,4.5927715
Georgia,2020-04-17,5.2703934
Georgia,2020-04-18,5.7221417
Georgia,2020-04-19,5.345685
Georgia,2020-04-20,5.006874
Georgia,2020-04-21,4.216315
Georgia,2020-04-22,3.9527953
Georgia,2020-04-23,3.1622362
Georgia,2020-04-24,2.2963858
Georgia,2020-04-25,2.6728425
Georgia,2020-04-26,3.4257557
Georgia,2020-04-27,3.65163
Georgia,2020-04-28,3.8775039
Georgia,2020-04-29,3.9904408
Georgia,2020-04-30,4.4798346
Georgia,2020-05-01,5.0821652
Georgia,2020-05-02,4.7433543
Georgia,2020-05-03,3.9151495
