Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Guatemala,2020-01-09,0.0
Guatemala,2020-01-10,0.0
Guatemala,2020-01-11,0.0
Guatemala,2020-01-12,0.0
Guatemala,2020-01-13,0.0
Guatemala,2020-01-14,0.0
Guatemala,2020-01-15,0.0
Guatemala,2020-01-16,0.0
Guatemala,2020-01-17,0.0
Guatemala,2020-01-18,0.0
Guatemala,2020-01-19,0.0
Guatemala,2020-01-20,0.0
Guatemala,2020-01-21,0.0
Guatemala,2020-01-22,0.0
Guatemala,2020-01-23,0.0
Guatemala,2020-01-24,0.0
Guatemala,2020-01-25,0.0
Guatemala,2020-01-26,0.0
Guatemala,2020-01-27,0.0
Guatemala,2020-01-28,0.0
Guatemala,2020-01-29,0.0
Guatemala,2020-01-30,0.0
Guatemala,2020-01-31,0.0
Guatemala,2020-02-01,0.0
Guatemala,2020-02-02,0.0
Guatemala,2020-02-03,0.0
Guatemala,2020-02-04,0.0
Guatemala,2020-02-05,0.0
Guatemala,2020-02-06,0.0
Guatemala,2020-02-07,0.0
Guatemala,2020-02-08,0.0
Guatemala,2020-02-09,0.0
Guatemala,2020-02-10,0.0
Guatemala,2020-02-11,0.0
Guatemala,2020-02-12,0.0
Guatemala,2020-02-13,0.0
Guatemala,2020-02-14,0.0
Guatemala,2020-02-15,0.0
Guatemala,2020-02-16,0.0
Guatemala,2020-02-17,0.0
Guatemala,2020-02-18,0.0
Guatemala,2020-02-19,0.0
Guatemala,2020-02-20,0.0
Guatemala,2020-02-21,0.0
Guatemala,2020-02-22,0.0
Guatemala,2020-02-23,0.0
Guatemala,2020-02-24,0.0
Guatemala,2020-02-25,0.0
Guatemala,2020-02-26,0.0
Guatemala,2020-02-27,0.0
Guatemala,2020-02-28,0.0
Guatemala,2020-02-29,0.0
Guatemala,2020-03-01,0.0
Guatemala,2020-03-02,0.0
Guatemala,2020-03-03,0.0
Guatemala,2020-03-04,0.0
Guatemala,2020-03-05,0.0
Guatemala,2020-03-06,0.0
Guatemala,2020-03-07,0.0
Guatemala,2020-03-08,0.0
Guatemala,2020-03-09,0.0
Guatemala,2020-03-10,0.0
Guatemala,2020-03-11,0.0
Guatemala,2020-03-12,0.0
Guatemala,2020-03-13,0.0
Guatemala,2020-03-14,0.0
Guatemala,2020-03-15,0.008004153
Guatemala,2020-03-16,0.008004153
Guatemala,2020-03-17,0.008004153
Guatemala,2020-03-18,0.04802492
Guatemala,2020-03-19,0.04802492
Guatemala,2020-03-20,0.056029074
Guatemala,2020-03-21,0.07203738
Guatemala,2020-03-22,0.08804569
Guatemala,2020-03-23,0.13607061
Guatemala,2020-03-24,0.14407475
Guatemala,2020-03-25,0.1200623
Guatemala,2020-03-26,0.14407475
Guatemala,2020-03-27,0.13607061
Guatemala,2020-03-28,0.12806645
Guatemala,2020-03-29,0.52027
Guatemala,2020-03-30,0.48825336
Guatemala,2020-03-31,0.56029075
Guatemala,2020-04-01,0.54161435
Guatemala,2020-04-02,0.54161435
Guatemala,2020-04-03,0.6163198
Guatemala,2020-04-04,0.6349962
Guatemala,2020-04-05,0.14941086
Guatemala,2020-04-06,0.23345447
Guatemala,2020-04-07,0.27214122
Guatemala,2020-04-08,0.32817027
Guatemala,2020-04-09,0.38419935
Guatemala,2020-04-10,0.38419935
Guatemala,2020-04-11,0.60831565
Guatemala,2020-04-12,0.69636136
Guatemala,2020-04-13,0.7363821
Guatemala,2020-04-14,0.6883572
Guatemala,2020-04-15,0.7203738
Guatemala,2020-04-16,0.74438626
Guatemala,2020-04-17,0.80841947
Guatemala,2020-04-18,0.7043655
Guatemala,2020-04-19,0.784407
Guatemala,2020-04-20,0.8324319
Guatemala,2020-04-21,1.0645524
Guatemala,2020-04-22,1.0165274
Guatemala,2020-04-23,1.0885649
Guatemala,2020-04-24,1.1686064
Guatemala,2020-04-25,1.3607061
Guatemala,2020-04-26,1.5608099
Guatemala,2020-04-27,1.7288971
Guatemala,2020-04-28,1.6888764
Guatemala,2020-04-29,1.8889802
Guatemala,2020-04-30,1.929001
Guatemala,2020-05-01,1.9450092
Guatemala,2020-05-02,1.7208929
Guatemala,2020-05-03,1.7128888
Guatemala,2020-05-04,1.7208929
Guatemala,2020-05-05,1.6248431
Guatemala,2020-05-06,1.6008307
Guatemala,2020-05-07,1.6488556
Guatemala,2020-05-08,1.7048846
Guatemala,2020-05-09,1.8649677
Guatemala,2020-05-10,2.0490632
Guatemala,2020-05-11,2.2331588
Guatemala,2020-05-12,2.7934494
Guatemala,2020-05-13,3.0735948
Guatemala,2020-05-14,3.4898107
Guatemala,2020-05-15,4.3542595
Guatemala,2020-05-16,5.490849
Guatemala,2020-05-17,5.947086
Guatemala,2020-05-18,6.371306
Guatemala,2020-05-19,6.8835716
Guatemala,2020-05-20,7.099684
Guatemala,2020-05-21,7.475879
Guatemala,2020-05-22,7.3878336
Guatemala,2020-05-23,7.956128
Guatemala,2020-05-24,8.804568
Guatemala,2020-05-25,10.333362
Guatemala,2020-05-26,12.10228
Guatemala,2020-05-27,14.079306
Guatemala,2020-05-28,14.575563
Guatemala,2020-05-29,15.047808
Guatemala,2020-05-30,14.695625
Guatemala,2020-05-31,14.919742
Guatemala,2020-06-01,13.486999
Guatemala,2020-06-02,13.310906
Guatemala,2020-06-03,12.614546
Guatemala,2020-06-04,13.062778
Guatemala,2020-06-05,12.926707
Guatemala,2020-06-06,14.455501
Guatemala,2020-06-07,15.0318
Guatemala,2020-06-08,16.432528
Guatemala,2020-06-09,15.752173
Guatemala,2020-06-10,17.336996
Guatemala,2020-06-11,18.24947
Guatemala,2020-06-12,19.698221
Guatemala,2020-06-13,19.265997
Guatemala,2020-06-14,19.98637
Guatemala,2020-06-15,21.60321
Guatemala,2020-06-16,22.331587
Guatemala,2020-06-17,22.171505
Guatemala,2020-06-18,22.731794
Guatemala,2020-06-19,24.252584
Guatemala,2020-06-20,26.469734
Guatemala,2020-06-21,28.230648
Guatemala,2020-06-22,26.125557
Guatemala,2020-06-23,26.413706
Guatemala,2020-06-24,27.990524
Guatemala,2020-06-25,30.687923
Guatemala,2020-06-26,28.558819
Guatemala,2020-06-27,30.023579
Guatemala,2020-06-28,26.565784
Guatemala,2020-06-29,29.151127
Guatemala,2020-06-30,30.29572
Guatemala,2020-07-01,29.135118
Guatemala,2020-07-02,28.462769
Guatemala,2020-07-03,33.55341
Guatemala,2020-07-04,35.642494
Guatemala,2020-07-05,43.7427
Guatemala,2020-07-06,48.857353
Guatemala,2020-07-07,50.57024
Guatemala,2020-07-08,52.531258
Guatemala,2020-07-09,53.55579
Guatemala,2020-07-10,51.22658
Guatemala,2020-07-11,52.715355
Guatemala,2020-07-12,50.634274
Guatemala,2020-07-13,48.801323
Guatemala,2020-07-14,48.881363
Guatemala,2020-07-15,46.183964
Guatemala,2020-07-16,48.705273
Guatemala,2020-07-17,53.331673
Guatemala,2020-07-18,50.274086
Guatemala,2020-07-19,49.545708
Guatemala,2020-07-20,75.591225
Guatemala,2020-07-21,77.51222
Guatemala,2020-07-22,83.93955
Guatemala,2020-07-23,82.14662
Guatemala,2020-07-24,80.98602
Guatemala,2020-07-25,82.79496
Guatemala,2020-07-26,85.50837
Guatemala,2020-07-27,56.11712
Guatemala,2020-07-28,48.185
Guatemala,2020-07-29,49.80184
Guatemala,2020-07-30,51.786873
Guatemala,2020-07-31,53.099552
Guatemala,2020-08-01,52.07502
Guatemala,2020-08-02,51.922943
Guatemala,2020-08-03,50.04997
Guatemala,2020-08-04,51.890926
Guatemala,2020-08-05,47.336563
Guatemala,2020-08-06,47.25652
Guatemala,2020-08-07,44.126896
Guatemala,2020-08-08,43.870766
Guatemala,2020-08-09,41.701637
Guatemala,2020-08-10,42.41401
Guatemala,2020-08-11,43.582615
Guatemala,2020-08-12,44.83126
Guatemala,2020-08-13,44.663174
Guatemala,2020-08-14,47.58469
Guatemala,2020-08-15,49.289577
Guatemala,2020-08-16,49.017433
Guatemala,2020-08-17,47.68074
Guatemala,2020-08-18,47.68074
Guatemala,2020-08-19,47.072426
Guatemala,2020-08-20,46.360054
Guatemala,2020-08-21,45.61567
Guatemala,2020-08-22,44.126896
Guatemala,2020-08-23,44.36702
Guatemala,2020-08-24,45.031364
Guatemala,2020-08-25,44.735214
Guatemala,2020-08-26,46.456104
Guatemala,2020-08-27,46.688225
Guatemala,2020-08-28,47.008392
Guatemala,2020-08-29,47.864838
Guatemala,2020-08-30,46.608185
Guatemala,2020-08-31,45.815773
Guatemala,2020-09-01,44.351013
Guatemala,2020-09-02,41.95777
Guatemala,2020-09-03,39.460476
Guatemala,2020-09-04,36.0347
