Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Guinea-Bissau,2020-01-09,0.0
Guinea-Bissau,2020-01-10,0.0
Guinea-Bissau,2020-01-11,0.0
Guinea-Bissau,2020-01-12,0.0
Guinea-Bissau,2020-01-13,0.0
Guinea-Bissau,2020-01-14,0.0
Guinea-Bissau,2020-01-15,0.0
Guinea-Bissau,2020-01-16,0.0
Guinea-Bissau,2020-01-17,0.0
Guinea-Bissau,2020-01-18,0.0
Guinea-Bissau,2020-01-19,0.0
Guinea-Bissau,2020-01-20,0.0
Guinea-Bissau,2020-01-21,0.0
Guinea-Bissau,2020-01-22,0.0
Guinea-Bissau,2020-01-23,0.0
Guinea-Bissau,2020-01-24,0.0
Guinea-Bissau,2020-01-25,0.0
Guinea-Bissau,2020-01-26,0.0
Guinea-Bissau,2020-01-27,0.0
Guinea-Bissau,2020-01-28,0.0
Guinea-Bissau,2020-01-29,0.0
Guinea-Bissau,2020-01-30,0.0
Guinea-Bissau,2020-01-31,0.0
Guinea-Bissau,2020-02-01,0.0
Guinea-Bissau,2020-02-02,0.0
Guinea-Bissau,2020-02-03,0.0
Guinea-Bissau,2020-02-04,0.0
Guinea-Bissau,2020-02-05,0.0
Guinea-Bissau,2020-02-06,0.0
Guinea-Bissau,2020-02-07,0.0
Guinea-Bissau,2020-02-08,0.0
Guinea-Bissau,2020-02-09,0.0
Guinea-Bissau,2020-02-10,0.0
Guinea-Bissau,2020-02-11,0.0
Guinea-Bissau,2020-02-12,0.0
Guinea-Bissau,2020-02-13,0.0
Guinea-Bissau,2020-02-14,0.0
Guinea-Bissau,2020-02-15,0.0
Guinea-Bissau,2020-02-16,0.0
Guinea-Bissau,2020-02-17,0.0
Guinea-Bissau,2020-02-18,0.0
Guinea-Bissau,2020-02-19,0.0
Guinea-Bissau,2020-02-20,0.0
Guinea-Bissau,2020-02-21,0.0
Guinea-Bissau,2020-02-22,0.0
Guinea-Bissau,2020-02-23,0.0
Guinea-Bissau,2020-02-24,0.0
Guinea-Bissau,2020-02-25,0.0
Guinea-Bissau,2020-02-26,0.0
Guinea-Bissau,2020-02-27,0.0
Guinea-Bissau,2020-02-28,0.0
Guinea-Bissau,2020-02-29,0.0
Guinea-Bissau,2020-03-01,0.0
Guinea-Bissau,2020-03-02,0.0
Guinea-Bissau,2020-03-03,0.0
Guinea-Bissau,2020-03-04,0.0
Guinea-Bissau,2020-03-05,0.0
Guinea-Bissau,2020-03-06,0.0
Guinea-Bissau,2020-03-07,0.0
Guinea-Bissau,2020-03-08,0.0
Guinea-Bissau,2020-03-09,0.0
Guinea-Bissau,2020-03-10,0.0
Guinea-Bissau,2020-03-11,0.0
Guinea-Bissau,2020-03-12,0.0
Guinea-Bissau,2020-03-13,0.0
Guinea-Bissau,2020-03-14,0.0
Guinea-Bissau,2020-03-15,0.0
Guinea-Bissau,2020-03-16,0.0
Guinea-Bissau,2020-03-17,0.0
Guinea-Bissau,2020-03-18,0.0
Guinea-Bissau,2020-03-19,0.0
Guinea-Bissau,2020-03-20,0.0
Guinea-Bissau,2020-03-21,0.0
Guinea-Bissau,2020-03-22,0.0
Guinea-Bissau,2020-03-23,0.0
Guinea-Bissau,2020-03-24,0.0
Guinea-Bissau,2020-03-25,0.0
Guinea-Bissau,2020-03-26,0.13569663
Guinea-Bissau,2020-03-27,0.13569663
Guinea-Bissau,2020-03-28,0.13569663
Guinea-Bissau,2020-03-29,0.13569663
Guinea-Bissau,2020-03-30,0.13569663
Guinea-Bissau,2020-03-31,0.54278654
Guinea-Bissau,2020-04-01,0.61063486
Guinea-Bissau,2020-04-02,0.4749382
Guinea-Bissau,2020-04-03,0.4749382
Guinea-Bissau,2020-04-04,0.8820281
Guinea-Bissau,2020-04-05,1.0855731
Guinea-Bissau,2020-04-06,1.0855731
Guinea-Bissau,2020-04-07,1.6962079
Guinea-Bissau,2020-04-08,1.6283597
Guinea-Bissau,2020-04-09,1.6283597
Guinea-Bissau,2020-04-10,1.7640562
Guinea-Bissau,2020-04-11,1.5605114
Guinea-Bissau,2020-04-12,1.4248147
Guinea-Bissau,2020-04-13,1.492663
Guinea-Bissau,2020-04-14,0.4749382
Guinea-Bissau,2020-04-15,0.8820281
Guinea-Bissau,2020-04-16,0.8820281
Guinea-Bissau,2020-04-17,1.0177248
Guinea-Bissau,2020-04-18,0.81417984
Guinea-Bissau,2020-04-19,0.7463315
Guinea-Bissau,2020-04-20,0.6784832
Guinea-Bissau,2020-04-21,0.6784832
Guinea-Bissau,2020-04-22,0.27139327
Guinea-Bissau,2020-04-23,0.40708992
Guinea-Bissau,2020-04-24,0.13569663
Guinea-Bissau,2020-04-25,0.13569663
Guinea-Bissau,2020-04-26,0.13569663
Guinea-Bissau,2020-04-27,0.20354496
Guinea-Bissau,2020-04-28,1.5605114
Guinea-Bissau,2020-04-29,1.5605114
Guinea-Bissau,2020-04-30,10.109399
Guinea-Bissau,2020-05-01,14.11245
Guinea-Bissau,2020-05-02,14.11245
Guinea-Bissau,2020-05-03,14.11245
Guinea-Bissau,2020-05-04,16.215748
Guinea-Bissau,2020-05-05,14.858782
Guinea-Bissau,2020-05-06,14.858782
Guinea-Bissau,2020-05-07,20.829433
