Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Hungary,2020-01-09,0.0
Hungary,2020-01-10,0.0
Hungary,2020-01-11,0.0
Hungary,2020-01-12,0.0
Hungary,2020-01-13,0.0
Hungary,2020-01-14,0.0
Hungary,2020-01-15,0.0
Hungary,2020-01-16,0.0
Hungary,2020-01-17,0.0
Hungary,2020-01-18,0.0
Hungary,2020-01-19,0.0
Hungary,2020-01-20,0.0
Hungary,2020-01-21,0.0
Hungary,2020-01-22,0.0
Hungary,2020-01-23,0.0
Hungary,2020-01-24,0.0
Hungary,2020-01-25,0.0
Hungary,2020-01-26,0.0
Hungary,2020-01-27,0.0
Hungary,2020-01-28,0.0
Hungary,2020-01-29,0.0
Hungary,2020-01-30,0.0
Hungary,2020-01-31,0.0
Hungary,2020-02-01,0.0
Hungary,2020-02-02,0.0
Hungary,2020-02-03,0.0
Hungary,2020-02-04,0.0
Hungary,2020-02-05,0.0
Hungary,2020-02-06,0.0
Hungary,2020-02-07,0.0
Hungary,2020-02-08,0.0
Hungary,2020-02-09,0.0
Hungary,2020-02-10,0.0
Hungary,2020-02-11,0.0
Hungary,2020-02-12,0.0
Hungary,2020-02-13,0.0
Hungary,2020-02-14,0.0
Hungary,2020-02-15,0.0
Hungary,2020-02-16,0.0
Hungary,2020-02-17,0.0
Hungary,2020-02-18,0.0
Hungary,2020-02-19,0.0
Hungary,2020-02-20,0.0
Hungary,2020-02-21,0.0
Hungary,2020-02-22,0.0
Hungary,2020-02-23,0.0
Hungary,2020-02-24,0.0
Hungary,2020-02-25,0.0
Hungary,2020-02-26,0.0
Hungary,2020-02-27,0.0
Hungary,2020-02-28,0.0
Hungary,2020-02-29,0.0
Hungary,2020-03-01,0.0
Hungary,2020-03-02,0.0
Hungary,2020-03-03,0.0
Hungary,2020-03-04,0.0
Hungary,2020-03-05,0.029502815
Hungary,2020-03-06,0.029502815
Hungary,2020-03-07,0.05900563
Hungary,2020-03-08,0.103259854
Hungary,2020-03-09,0.11801126
Hungary,2020-03-10,0.13276267
Hungary,2020-03-11,0.17701688
Hungary,2020-03-12,0.16226548
Hungary,2020-03-13,0.20651971
Hungary,2020-03-14,0.30977955
Hungary,2020-03-15,0.35403377
Hungary,2020-03-16,0.45729363
Hungary,2020-03-17,0.6048077
Hungary,2020-03-18,0.5605535
Hungary,2020-03-19,0.88508445
Hungary,2020-03-20,1.0178471
Hungary,2020-03-21,1.1506097
Hungary,2020-03-22,1.4751407
Hungary,2020-03-23,1.8881801
Hungary,2020-03-24,2.020943
Hungary,2020-03-25,2.5962477
Hungary,2020-03-26,2.7732646
