Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Iran,2020-01-09,0.0
Iran,2020-01-10,0.0
Iran,2020-01-11,0.0
Iran,2020-01-12,0.0
Iran,2020-01-13,0.0
Iran,2020-01-14,0.0
Iran,2020-01-15,0.0
Iran,2020-01-16,0.0
Iran,2020-01-17,0.0
Iran,2020-01-18,0.0
Iran,2020-01-19,0.0
Iran,2020-01-20,0.0
Iran,2020-01-21,0.0
Iran,2020-01-22,0.0
Iran,2020-01-23,0.0
Iran,2020-01-24,0.0
Iran,2020-01-25,0.0
Iran,2020-01-26,0.0
Iran,2020-01-27,0.0
Iran,2020-01-28,0.0
Iran,2020-01-29,0.0
Iran,2020-01-30,0.0
Iran,2020-01-31,0.0
Iran,2020-02-01,0.0
Iran,2020-02-02,0.0
Iran,2020-02-03,0.0
Iran,2020-02-04,0.0
Iran,2020-02-05,0.0
Iran,2020-02-06,0.0
Iran,2020-02-07,0.0
Iran,2020-02-08,0.0
Iran,2020-02-09,0.0
Iran,2020-02-10,0.0
Iran,2020-02-11,0.0
Iran,2020-02-12,0.0
Iran,2020-02-13,0.0
Iran,2020-02-14,0.0
Iran,2020-02-15,0.0
Iran,2020-02-16,0.0
Iran,2020-02-17,0.0
Iran,2020-02-18,0.0
Iran,2020-02-19,0.0
Iran,2020-02-20,0.0031914737
Iran,2020-02-21,0.007978684
Iran,2020-02-22,0.028723264
Iran,2020-02-23,0.044680633
Iran,2020-02-24,0.06861669
Iran,2020-02-25,0.10053142
Iran,2020-02-26,0.151595
Iran,2020-02-27,0.21861595
Iran,2020-02-28,0.38297686
Iran,2020-02-29,0.59042263
Iran,2020-03-01,0.90159136
Iran,2020-03-02,1.4920139
Iran,2020-03-03,2.2946696
Iran,2020-03-04,3.5760465
Iran,2020-03-05,4.4409356
Iran,2020-03-06,5.214868
Iran,2020-03-07,6.955817
Iran,2020-03-08,8.345704
Iran,2020-03-09,8.916978
Iran,2020-03-10,9.031871
Iran,2020-03-11,9.105274
Iran,2020-03-12,9.698889
Iran,2020-03-13,10.471226
Iran,2020-03-14,10.5589905
Iran,2020-03-15,11.020159
Iran,2020-03-16,11.763772
Iran,2020-03-17,12.494619
Iran,2020-03-18,12.968554
Iran,2020-03-19,13.341956
Iran,2020-03-20,13.29568
Iran,2020-03-21,13.212702
Iran,2020-03-22,12.576002
Iran,2020-03-23,12.287174
Iran,2020-03-24,12.858448
Iran,2020-03-25,13.790359
Iran,2020-03-26,15.408435
Iran,2020-03-27,17.55151
Iran,2020-03-28,20.24671
