Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Iraq,2020-01-09,0.0
Iraq,2020-01-10,0.0
Iraq,2020-01-11,0.0
Iraq,2020-01-12,0.0
Iraq,2020-01-13,0.0
Iraq,2020-01-14,0.0
Iraq,2020-01-15,0.0
Iraq,2020-01-16,0.0
Iraq,2020-01-17,0.0
Iraq,2020-01-18,0.0
Iraq,2020-01-19,0.0
Iraq,2020-01-20,0.0
Iraq,2020-01-21,0.0
Iraq,2020-01-22,0.0
Iraq,2020-01-23,0.0
Iraq,2020-01-24,0.0
Iraq,2020-01-25,0.0
Iraq,2020-01-26,0.0
Iraq,2020-01-27,0.0
Iraq,2020-01-28,0.0
Iraq,2020-01-29,0.0
Iraq,2020-01-30,0.0
Iraq,2020-01-31,0.0
Iraq,2020-02-01,0.0
Iraq,2020-02-02,0.0
Iraq,2020-02-03,0.0
Iraq,2020-02-04,0.0
Iraq,2020-02-05,0.0
Iraq,2020-02-06,0.0
Iraq,2020-02-07,0.0
Iraq,2020-02-08,0.0
Iraq,2020-02-09,0.0
Iraq,2020-02-10,0.0
Iraq,2020-02-11,0.0
Iraq,2020-02-12,0.0
Iraq,2020-02-13,0.0
Iraq,2020-02-14,0.0
Iraq,2020-02-15,0.0
Iraq,2020-02-16,0.0
Iraq,2020-02-17,0.0
Iraq,2020-02-18,0.0
Iraq,2020-02-19,0.0
Iraq,2020-02-20,0.0
Iraq,2020-02-21,0.0
Iraq,2020-02-22,0.0
Iraq,2020-02-23,0.0
Iraq,2020-02-24,0.0
Iraq,2020-02-25,0.0032415553
Iraq,2020-02-26,0.016207777
Iraq,2020-02-27,0.01944933
Iraq,2020-02-28,0.022690887
Iraq,2020-02-29,0.025932442
Iraq,2020-03-01,0.04214022
Iraq,2020-03-02,0.06158955
Iraq,2020-03-03,0.081038885
Iraq,2020-03-04,0.081038885
Iraq,2020-03-05,0.0940051
Iraq,2020-03-06,0.100488216
Iraq,2020-03-07,0.1231791
Iraq,2020-03-08,0.13290377
Iraq,2020-03-09,0.13614532
Iraq,2020-03-10,0.11345443
Iraq,2020-03-11,0.12966222
Iraq,2020-03-12,0.11345443
Iraq,2020-03-13,0.10372977
Iraq,2020-03-14,0.12642066
Iraq,2020-03-15,0.1880102
Iraq,2020-03-16,0.2107011
Iraq,2020-03-17,0.23663354
Iraq,2020-03-18,0.28525686
Iraq,2020-03-19,0.3047062
Iraq,2020-03-20,0.3468464
Iraq,2020-03-21,0.35008797
Iraq,2020-03-22,0.33063865
Iraq,2020-03-23,0.3468464
Iraq,2020-03-24,0.4278853
Iraq,2020-03-25,0.5121657
Iraq,2020-03-26,0.5899631
Iraq,2020-03-27,0.66451883
Iraq,2020-03-28,0.8590121
Iraq,2020-03-29,0.94653416
Iraq,2020-03-30,1.0178484
Iraq,2020-03-31,1.1766846
Iraq,2020-04-01,1.225308
Iraq,2020-04-02,1.2382741
Iraq,2020-04-03,1.2642065
Iraq,2020-04-04,1.173443
Iraq,2020-04-05,1.2058586
