Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Jordan,2020-01-09,0.0
Jordan,2020-01-10,0.0
Jordan,2020-01-11,0.0
Jordan,2020-01-12,0.0
Jordan,2020-01-13,0.0
Jordan,2020-01-14,0.0
Jordan,2020-01-15,0.0
Jordan,2020-01-16,0.0
Jordan,2020-01-17,0.0
Jordan,2020-01-18,0.0
Jordan,2020-01-19,0.0
Jordan,2020-01-20,0.0
Jordan,2020-01-21,0.0
Jordan,2020-01-22,0.0
Jordan,2020-01-23,0.0
Jordan,2020-01-24,0.0
Jordan,2020-01-25,0.0
Jordan,2020-01-26,0.0
Jordan,2020-01-27,0.0
Jordan,2020-01-28,0.0
Jordan,2020-01-29,0.0
Jordan,2020-01-30,0.0
Jordan,2020-01-31,0.0
Jordan,2020-02-01,0.0
Jordan,2020-02-02,0.0
Jordan,2020-02-03,0.0
Jordan,2020-02-04,0.0
Jordan,2020-02-05,0.0
Jordan,2020-02-06,0.0
Jordan,2020-02-07,0.0
Jordan,2020-02-08,0.0
Jordan,2020-02-09,0.0
Jordan,2020-02-10,0.0
Jordan,2020-02-11,0.0
Jordan,2020-02-12,0.0
Jordan,2020-02-13,0.0
Jordan,2020-02-14,0.0
Jordan,2020-02-15,0.0
Jordan,2020-02-16,0.0
Jordan,2020-02-17,0.0
Jordan,2020-02-18,0.0
Jordan,2020-02-19,0.0
Jordan,2020-02-20,0.0
Jordan,2020-02-21,0.0
Jordan,2020-02-22,0.0
Jordan,2020-02-23,0.0
Jordan,2020-02-24,0.0
Jordan,2020-02-25,0.0
Jordan,2020-02-26,0.0
Jordan,2020-02-27,0.0
Jordan,2020-02-28,0.0
Jordan,2020-02-29,0.0
Jordan,2020-03-01,0.0
Jordan,2020-03-02,0.0
Jordan,2020-03-03,0.012691341
Jordan,2020-03-04,0.012691341
Jordan,2020-03-05,0.012691341
Jordan,2020-03-06,0.012691341
Jordan,2020-03-07,0.012691341
Jordan,2020-03-08,0.012691341
Jordan,2020-03-09,0.012691341
Jordan,2020-03-10,0.0
Jordan,2020-03-11,0.0
Jordan,2020-03-12,0.0
Jordan,2020-03-13,0.0
Jordan,2020-03-14,0.0
Jordan,2020-03-15,0.0
Jordan,2020-03-16,0.06345671
Jordan,2020-03-17,0.22844414
Jordan,2020-03-18,0.49496233
Jordan,2020-03-19,0.6472584
Jordan,2020-03-20,0.86301124
Jordan,2020-03-21,1.0533813
Jordan,2020-03-22,1.2437515
Jordan,2020-03-23,1.3452822
Jordan,2020-03-24,1.370665
Jordan,2020-03-25,1.4341216
Jordan,2020-03-26,1.522961
Jordan,2020-03-27,1.8148619
Jordan,2020-03-28,1.9163926
Jordan,2020-03-29,1.8656272
Jordan,2020-03-30,1.8656272
Jordan,2020-03-31,1.7894791
Jordan,2020-04-01,1.5356523
Jordan,2020-04-02,1.3452822
Jordan,2020-04-03,1.1041467
Jordan,2020-04-04,0.95185065
Jordan,2020-04-05,0.9772333
Jordan,2020-04-06,1.0914553
Jordan,2020-04-07,1.0279987
Jordan,2020-04-08,1.002616
Jordan,2020-04-09,1.0153073
Jordan,2020-04-10,0.92646796
Jordan,2020-04-11,0.7868632
Jordan,2020-04-12,0.7360978
Jordan,2020-04-13,0.55841905
Jordan,2020-04-14,0.53303635
Jordan,2020-04-15,0.55841905
Jordan,2020-04-16,0.54572767
Jordan,2020-04-17,0.38074026
Jordan,2020-04-18,0.44419697
Jordan,2020-04-19,0.40612292
Jordan,2020-04-20,0.3045922
Jordan,2020-04-21,0.34266624
Jordan,2020-04-22,0.29190084
Jordan,2020-04-23,0.3299749
Jordan,2020-04-24,0.3299749
Jordan,2020-04-25,0.3045922
Jordan,2020-04-26,0.25382683
Jordan,2020-04-27,0.27920952
Jordan,2020-04-28,0.2411355
Jordan,2020-04-29,0.21575281
Jordan,2020-04-30,0.12691341
Jordan,2020-05-01,0.11422207
Jordan,2020-05-02,0.10153073
Jordan,2020-05-03,0.08883939
Jordan,2020-05-04,0.06345671
Jordan,2020-05-05,0.050765365
Jordan,2020-05-06,0.08883939
Jordan,2020-05-07,0.11422207
Jordan,2020-05-08,0.38074026
Jordan,2020-05-09,0.44419697
Jordan,2020-05-10,0.6091844
Jordan,2020-05-11,0.6853325
Jordan,2020-05-12,0.95185065
Jordan,2020-05-13,1.0533813
Jordan,2020-05-14,1.0533813
Jordan,2020-05-15,0.81224585
Jordan,2020-05-16,0.8249372
Jordan,2020-05-17,0.7741718
Jordan,2020-05-18,0.7107151
Jordan,2020-05-19,0.62187576
Jordan,2020-05-20,0.7234065
Jordan,2020-05-21,0.9772333
Jordan,2020-05-22,1.0787641
Jordan,2020-05-23,1.1802948
Jordan,2020-05-24,1.0787641
Jordan,2020-05-25,1.1168381
Jordan,2020-05-26,0.964542
Jordan,2020-05-27,0.81224585
Jordan,2020-05-28,0.55841905
Jordan,2020-05-29,0.52034503
Jordan,2020-05-30,0.3299749
Jordan,2020-05-31,0.35535756
Jordan,2020-06-01,0.34266624
Jordan,2020-06-02,0.3934316
Jordan,2020-06-03,0.3680489
Jordan,2020-06-04,0.34266624
Jordan,2020-06-05,0.27920952
Jordan,2020-06-06,0.3680489
Jordan,2020-06-07,0.3934316
Jordan,2020-06-08,0.4568883
Jordan,2020-06-09,0.6599498
Jordan,2020-06-10,0.7234065
Jordan,2020-06-11,0.88839394
Jordan,2020-06-12,1.1295294
Jordan,2020-06-13,1.2945168
Jordan,2020-06-14,1.7006397
Jordan,2020-06-15,1.7006397
Jordan,2020-06-16,1.6371831
Jordan,2020-06-17,1.5102696
Jordan,2020-06-18,1.4214302
Jordan,2020-06-19,1.2818255
Jordan,2020-06-20,1.0914553
Jordan,2020-06-21,0.6980238
Jordan,2020-06-22,0.81224585
Jordan,2020-06-23,0.6980238
Jordan,2020-06-24,0.74878913
Jordan,2020-06-25,0.9137766
Jordan,2020-06-26,0.964542
Jordan,2020-06-27,1.1041467
Jordan,2020-06-28,1.0914553
Jordan,2020-06-29,0.98992467
Jordan,2020-06-30,0.964542
Jordan,2020-07-01,0.964542
Jordan,2020-07-02,0.7360978
