Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Luxembourg,2020-01-09,0.0
Luxembourg,2020-01-10,0.0
Luxembourg,2020-01-11,0.0
Luxembourg,2020-01-12,0.0
Luxembourg,2020-01-13,0.0
Luxembourg,2020-01-14,0.0
Luxembourg,2020-01-15,0.0
Luxembourg,2020-01-16,0.0
Luxembourg,2020-01-17,0.0
Luxembourg,2020-01-18,0.0
Luxembourg,2020-01-19,0.0
Luxembourg,2020-01-20,0.0
Luxembourg,2020-01-21,0.0
Luxembourg,2020-01-22,0.0
Luxembourg,2020-01-23,0.0
Luxembourg,2020-01-24,0.0
Luxembourg,2020-01-25,0.0
Luxembourg,2020-01-26,0.0
Luxembourg,2020-01-27,0.0
Luxembourg,2020-01-28,0.0
Luxembourg,2020-01-29,0.0
Luxembourg,2020-01-30,0.0
Luxembourg,2020-01-31,0.0
Luxembourg,2020-02-01,0.0
Luxembourg,2020-02-02,0.0
Luxembourg,2020-02-03,0.0
Luxembourg,2020-02-04,0.0
Luxembourg,2020-02-05,0.0
Luxembourg,2020-02-06,0.0
Luxembourg,2020-02-07,0.0
Luxembourg,2020-02-08,0.0
Luxembourg,2020-02-09,0.0
Luxembourg,2020-02-10,0.0
Luxembourg,2020-02-11,0.0
Luxembourg,2020-02-12,0.0
Luxembourg,2020-02-13,0.0
Luxembourg,2020-02-14,0.0
Luxembourg,2020-02-15,0.0
Luxembourg,2020-02-16,0.0
Luxembourg,2020-02-17,0.0
Luxembourg,2020-02-18,0.0
Luxembourg,2020-02-19,0.0
Luxembourg,2020-02-20,0.0
Luxembourg,2020-02-21,0.0
Luxembourg,2020-02-22,0.0
Luxembourg,2020-02-23,0.0
Luxembourg,2020-02-24,0.0
Luxembourg,2020-02-25,0.0
Luxembourg,2020-02-26,0.0
Luxembourg,2020-02-27,0.0
Luxembourg,2020-02-28,0.0
Luxembourg,2020-02-29,0.0
Luxembourg,2020-03-01,0.21866469
Luxembourg,2020-03-02,0.21866469
Luxembourg,2020-03-03,0.21866469
Luxembourg,2020-03-04,0.21866469
Luxembourg,2020-03-05,0.21866469
Luxembourg,2020-03-06,0.21866469
Luxembourg,2020-03-07,0.21866469
Luxembourg,2020-03-08,0.65599406
Luxembourg,2020-03-09,0.65599406
Luxembourg,2020-03-10,0.65599406
Luxembourg,2020-03-11,0.65599406
Luxembourg,2020-03-12,0.65599406
Luxembourg,2020-03-13,0.65599406
Luxembourg,2020-03-14,0.65599406
Luxembourg,2020-03-15,18.14917
Luxembourg,2020-03-16,18.14917
Luxembourg,2020-03-17,18.14917
Luxembourg,2020-03-18,18.14917
Luxembourg,2020-03-19,18.14917
Luxembourg,2020-03-20,18.14917
Luxembourg,2020-03-21,18.14917
Luxembourg,2020-03-22,149.12932
Luxembourg,2020-03-23,149.12932
Luxembourg,2020-03-24,149.12932
Luxembourg,2020-03-25,149.12932
Luxembourg,2020-03-26,149.12932
Luxembourg,2020-03-27,149.12932
Luxembourg,2020-03-28,149.12932
Luxembourg,2020-03-29,233.31523
Luxembourg,2020-03-30,233.31523
Luxembourg,2020-03-31,233.31523
Luxembourg,2020-04-01,233.31523
Luxembourg,2020-04-02,233.31523
Luxembourg,2020-04-03,233.31523
Luxembourg,2020-04-04,233.31523
Luxembourg,2020-04-05,136.44676
Luxembourg,2020-04-06,136.44676
Luxembourg,2020-04-07,136.44676
Luxembourg,2020-04-08,136.44676
Luxembourg,2020-04-09,136.44676
Luxembourg,2020-04-10,136.44676
Luxembourg,2020-04-11,136.44676
Luxembourg,2020-04-12,64.28742
Luxembourg,2020-04-13,64.28742
Luxembourg,2020-04-14,64.28742
Luxembourg,2020-04-15,64.28742
Luxembourg,2020-04-16,64.28742
Luxembourg,2020-04-17,64.28742
Luxembourg,2020-04-18,64.28742
Luxembourg,2020-04-19,24.053116
Luxembourg,2020-04-20,24.053116
Luxembourg,2020-04-21,24.053116
Luxembourg,2020-04-22,24.053116
Luxembourg,2020-04-23,24.053116
Luxembourg,2020-04-24,24.053116
Luxembourg,2020-04-25,24.053116
Luxembourg,2020-04-26,16.837181
Luxembourg,2020-04-27,16.837181
Luxembourg,2020-04-28,16.837181
Luxembourg,2020-04-29,16.837181
Luxembourg,2020-04-30,16.837181
Luxembourg,2020-05-01,16.837181
Luxembourg,2020-05-02,16.837181
Luxembourg,2020-05-03,10.058576
Luxembourg,2020-05-04,10.058576
Luxembourg,2020-05-05,10.058576
Luxembourg,2020-05-06,10.058576
Luxembourg,2020-05-07,10.058576
Luxembourg,2020-05-08,10.058576
Luxembourg,2020-05-09,10.058576
Luxembourg,2020-05-10,6.559941
Luxembourg,2020-05-11,6.559941
Luxembourg,2020-05-12,6.559941
Luxembourg,2020-05-13,6.559941
Luxembourg,2020-05-14,6.559941
Luxembourg,2020-05-15,6.559941
Luxembourg,2020-05-16,6.559941
Luxembourg,2020-05-17,5.685282
Luxembourg,2020-05-18,5.685282
Luxembourg,2020-05-19,5.685282
Luxembourg,2020-05-20,5.685282
Luxembourg,2020-05-21,5.685282
Luxembourg,2020-05-22,5.685282
Luxembourg,2020-05-23,5.685282
Luxembourg,2020-05-24,6.99727
Luxembourg,2020-05-25,6.99727
Luxembourg,2020-05-26,6.99727
Luxembourg,2020-05-27,6.99727
Luxembourg,2020-05-28,6.99727
Luxembourg,2020-05-29,6.99727
Luxembourg,2020-05-30,6.99727
Luxembourg,2020-05-31,2.842641
Luxembourg,2020-06-01,2.842641
Luxembourg,2020-06-02,2.842641
Luxembourg,2020-06-03,2.842641
Luxembourg,2020-06-04,2.842641
Luxembourg,2020-06-05,2.842641
Luxembourg,2020-06-06,2.842641
Luxembourg,2020-06-07,2.186647
Luxembourg,2020-06-08,2.186647
Luxembourg,2020-06-09,2.186647
Luxembourg,2020-06-10,2.186647
Luxembourg,2020-06-11,2.186647
Luxembourg,2020-06-12,2.186647
Luxembourg,2020-06-13,2.186647
Luxembourg,2020-06-14,5.685282
Luxembourg,2020-06-15,5.685282
Luxembourg,2020-06-16,5.685282
Luxembourg,2020-06-17,5.685282
Luxembourg,2020-06-18,5.685282
Luxembourg,2020-06-19,5.685282
Luxembourg,2020-06-20,5.685282
Luxembourg,2020-06-21,7.871929
Luxembourg,2020-06-22,7.871929
Luxembourg,2020-06-23,7.871929
Luxembourg,2020-06-24,7.871929
Luxembourg,2020-06-25,7.871929
Luxembourg,2020-06-26,7.871929
Luxembourg,2020-06-27,7.871929
Luxembourg,2020-06-28,23.178457
Luxembourg,2020-06-29,23.178457
Luxembourg,2020-06-30,23.178457
Luxembourg,2020-07-01,23.178457
Luxembourg,2020-07-02,23.178457
Luxembourg,2020-07-03,23.178457
Luxembourg,2020-07-04,23.178457
Luxembourg,2020-07-05,44.38893
Luxembourg,2020-07-06,44.38893
Luxembourg,2020-07-07,44.38893
Luxembourg,2020-07-08,44.38893
Luxembourg,2020-07-09,44.38893
Luxembourg,2020-07-10,44.38893
Luxembourg,2020-07-11,44.38893
Luxembourg,2020-07-12,55.7595
Luxembourg,2020-07-13,55.7595
Luxembourg,2020-07-14,55.7595
Luxembourg,2020-07-15,55.7595
Luxembourg,2020-07-16,55.7595
Luxembourg,2020-07-17,55.7595
Luxembourg,2020-07-18,55.7595
Luxembourg,2020-07-19,90.52718
Luxembourg,2020-07-20,90.52718
Luxembourg,2020-07-21,90.52718
Luxembourg,2020-07-22,90.52718
Luxembourg,2020-07-23,90.52718
Luxembourg,2020-07-24,90.52718
Luxembourg,2020-07-25,90.52718
Luxembourg,2020-07-26,103.4284
Luxembourg,2020-07-27,103.4284
Luxembourg,2020-07-28,103.4284
Luxembourg,2020-07-29,103.4284
Luxembourg,2020-07-30,103.4284
Luxembourg,2020-07-31,103.4284
Luxembourg,2020-08-01,103.4284
Luxembourg,2020-08-02,77.62597
Luxembourg,2020-08-03,77.62597
Luxembourg,2020-08-04,77.62597
Luxembourg,2020-08-05,77.62597
Luxembourg,2020-08-06,77.62597
Luxembourg,2020-08-07,77.62597
Luxembourg,2020-08-08,77.62597
Luxembourg,2020-08-09,54.44751
Luxembourg,2020-08-10,54.44751
Luxembourg,2020-08-11,54.44751
Luxembourg,2020-08-12,54.44751
Luxembourg,2020-08-13,54.44751
Luxembourg,2020-08-14,54.44751
Luxembourg,2020-08-15,54.44751
Luxembourg,2020-08-16,38.922314
Luxembourg,2020-08-17,38.922314
Luxembourg,2020-08-18,38.922314
Luxembourg,2020-08-19,38.922314
Luxembourg,2020-08-20,38.922314
Luxembourg,2020-08-21,38.922314
Luxembourg,2020-08-22,38.922314
Luxembourg,2020-08-23,54.666172
Luxembourg,2020-08-24,54.666172
Luxembourg,2020-08-25,54.666172
Luxembourg,2020-08-26,54.666172
Luxembourg,2020-08-27,54.666172
Luxembourg,2020-08-28,54.666172
Luxembourg,2020-08-29,54.666172
Luxembourg,2020-08-30,57.29015
Luxembourg,2020-08-31,57.29015
Luxembourg,2020-09-01,57.29015
Luxembourg,2020-09-02,57.29015
Luxembourg,2020-09-03,57.29015
Luxembourg,2020-09-04,57.29015
Luxembourg,2020-09-05,57.29015
Luxembourg,2020-09-06,57.946144
Luxembourg,2020-09-07,57.946144
Luxembourg,2020-09-08,57.946144
Luxembourg,2020-09-09,57.946144
Luxembourg,2020-09-10,57.946144
Luxembourg,2020-09-11,57.946144
Luxembourg,2020-09-12,57.946144
Luxembourg,2020-09-13,52.479527
Luxembourg,2020-09-14,52.479527
Luxembourg,2020-09-15,52.479527
Luxembourg,2020-09-16,52.479527
Luxembourg,2020-09-17,52.479527
Luxembourg,2020-09-18,52.479527
Luxembourg,2020-09-19,52.479527
Luxembourg,2020-09-20,129.01218
Luxembourg,2020-09-21,129.01218
Luxembourg,2020-09-22,129.01218
Luxembourg,2020-09-23,129.01218
Luxembourg,2020-09-24,129.01218
Luxembourg,2020-09-25,129.01218
Luxembourg,2020-09-26,129.01218
Luxembourg,2020-09-27,89.43386
Luxembourg,2020-09-28,89.43386
Luxembourg,2020-09-29,89.43386
Luxembourg,2020-09-30,89.43386
Luxembourg,2020-10-01,89.43386
Luxembourg,2020-10-02,89.43386
Luxembourg,2020-10-03,89.43386
Luxembourg,2020-10-04,101.24175
Luxembourg,2020-10-05,101.24175
Luxembourg,2020-10-06,101.24175
Luxembourg,2020-10-07,101.24175
Luxembourg,2020-10-08,101.24175
Luxembourg,2020-10-09,101.24175
Luxembourg,2020-10-10,101.24175
Luxembourg,2020-10-11,149.12932
Luxembourg,2020-10-12,149.12932
Luxembourg,2020-10-13,149.12932
Luxembourg,2020-10-14,149.12932
Luxembourg,2020-10-15,149.12932
Luxembourg,2020-10-16,149.12932
Luxembourg,2020-10-17,149.12932
Luxembourg,2020-10-18,242.7178
Luxembourg,2020-10-19,242.7178
Luxembourg,2020-10-20,242.7178
Luxembourg,2020-10-21,242.7178
Luxembourg,2020-10-22,242.7178
Luxembourg,2020-10-23,242.7178
Luxembourg,2020-10-24,242.7178
Luxembourg,2020-10-25,592.5813
Luxembourg,2020-10-26,592.5813
Luxembourg,2020-10-27,592.5813
Luxembourg,2020-10-28,592.5813
Luxembourg,2020-10-29,592.5813
Luxembourg,2020-10-30,592.5813
Luxembourg,2020-10-31,592.5813
Luxembourg,2020-11-01,675.45526
Luxembourg,2020-11-02,675.45526
Luxembourg,2020-11-03,675.45526
Luxembourg,2020-11-04,675.45526
Luxembourg,2020-11-05,675.45526
Luxembourg,2020-11-06,675.45526
Luxembourg,2020-11-07,675.45526
Luxembourg,2020-11-08,575.9628
Luxembourg,2020-11-09,575.9628
Luxembourg,2020-11-10,575.9628
Luxembourg,2020-11-11,575.9628
Luxembourg,2020-11-12,575.9628
Luxembourg,2020-11-13,575.9628
Luxembourg,2020-11-14,575.9628
Luxembourg,2020-11-15,619.9144
Luxembourg,2020-11-16,619.9144
Luxembourg,2020-11-17,619.9144
Luxembourg,2020-11-18,619.9144
Luxembourg,2020-11-19,619.9144
Luxembourg,2020-11-20,619.9144
Luxembourg,2020-11-21,619.9144
Luxembourg,2020-11-22,711.7536
Luxembourg,2020-11-23,711.7536
Luxembourg,2020-11-24,711.7536
Luxembourg,2020-11-25,711.7536
Luxembourg,2020-11-26,711.7536
Luxembourg,2020-11-27,711.7536
Luxembourg,2020-11-28,711.7536
Luxembourg,2020-11-29,745.6466
Luxembourg,2020-11-30,745.6466
Luxembourg,2020-12-01,745.6466
Luxembourg,2020-12-02,745.6466
Luxembourg,2020-12-03,745.6466
Luxembourg,2020-12-04,745.6466
Luxembourg,2020-12-05,745.6466
