Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Madagascar,2020-01-09,0.0
Madagascar,2020-01-10,0.0
Madagascar,2020-01-11,0.0
Madagascar,2020-01-12,0.0
Madagascar,2020-01-13,0.0
Madagascar,2020-01-14,0.0
Madagascar,2020-01-15,0.0
Madagascar,2020-01-16,0.0
Madagascar,2020-01-17,0.0
Madagascar,2020-01-18,0.0
Madagascar,2020-01-19,0.0
Madagascar,2020-01-20,0.0
Madagascar,2020-01-21,0.0
Madagascar,2020-01-22,0.0
Madagascar,2020-01-23,0.0
Madagascar,2020-01-24,0.0
Madagascar,2020-01-25,0.0
Madagascar,2020-01-26,0.0
Madagascar,2020-01-27,0.0
Madagascar,2020-01-28,0.0
Madagascar,2020-01-29,0.0
Madagascar,2020-01-30,0.0
Madagascar,2020-01-31,0.0
Madagascar,2020-02-01,0.0
Madagascar,2020-02-02,0.0
Madagascar,2020-02-03,0.0
Madagascar,2020-02-04,0.0
Madagascar,2020-02-05,0.0
Madagascar,2020-02-06,0.0
Madagascar,2020-02-07,0.0
Madagascar,2020-02-08,0.0
Madagascar,2020-02-09,0.0
Madagascar,2020-02-10,0.0
Madagascar,2020-02-11,0.0
Madagascar,2020-02-12,0.0
Madagascar,2020-02-13,0.0
Madagascar,2020-02-14,0.0
Madagascar,2020-02-15,0.0
Madagascar,2020-02-16,0.0
Madagascar,2020-02-17,0.0
Madagascar,2020-02-18,0.0
Madagascar,2020-02-19,0.0
Madagascar,2020-02-20,0.0
Madagascar,2020-02-21,0.0
Madagascar,2020-02-22,0.0
Madagascar,2020-02-23,0.0
Madagascar,2020-02-24,0.0
Madagascar,2020-02-25,0.0
Madagascar,2020-02-26,0.0
Madagascar,2020-02-27,0.0
Madagascar,2020-02-28,0.0
Madagascar,2020-02-29,0.0
Madagascar,2020-03-01,0.0
Madagascar,2020-03-02,0.0
Madagascar,2020-03-03,0.0
Madagascar,2020-03-04,0.0
Madagascar,2020-03-05,0.0
Madagascar,2020-03-06,0.0
Madagascar,2020-03-07,0.0
Madagascar,2020-03-08,0.0
Madagascar,2020-03-09,0.0
Madagascar,2020-03-10,0.0
Madagascar,2020-03-11,0.0
Madagascar,2020-03-12,0.0
Madagascar,2020-03-13,0.0
Madagascar,2020-03-14,0.0
Madagascar,2020-03-15,0.0
Madagascar,2020-03-16,0.0
Madagascar,2020-03-17,0.0
Madagascar,2020-03-18,0.0
Madagascar,2020-03-19,0.0
Madagascar,2020-03-20,0.0
Madagascar,2020-03-21,0.0
Madagascar,2020-03-22,0.004693495
Madagascar,2020-03-23,0.051628444
Madagascar,2020-03-24,0.079789415
Madagascar,2020-03-25,0.079789415
Madagascar,2020-03-26,0.079789415
Madagascar,2020-03-27,0.10325689
Madagascar,2020-03-28,0.14549835
Madagascar,2020-03-29,0.1924333
Madagascar,2020-03-30,0.15488534
Madagascar,2020-03-31,0.12672436
Madagascar,2020-04-01,0.16896582
Madagascar,2020-04-02,0.19712679
Madagascar,2020-04-03,0.20182028
Madagascar,2020-04-04,0.18304631
Madagascar,2020-04-05,0.13611135
Madagascar,2020-04-06,0.15488534
Madagascar,2020-04-07,0.1924333
Madagascar,2020-04-08,0.18304631
Madagascar,2020-04-09,0.15957883
Madagascar,2020-04-10,0.14080486
Madagascar,2020-04-11,0.117337376
Madagascar,2020-04-12,0.16427232
Madagascar,2020-04-13,0.13611135
Madagascar,2020-04-14,0.10795039
Madagascar,2020-04-15,0.08448291
Madagascar,2020-04-16,0.11264388
Madagascar,2020-04-17,0.10325689
Madagascar,2020-04-18,0.117337376
Madagascar,2020-04-19,0.06570893
Madagascar,2020-04-20,0.07040243
Madagascar,2020-04-21,0.061015435
Madagascar,2020-04-22,0.051628444
Madagascar,2020-04-23,0.01877398
Madagascar,2020-04-24,0.01877398
Madagascar,2020-04-25,0.00938699
Madagascar,2020-04-26,0.01877398
Madagascar,2020-04-27,0.032854464
Madagascar,2020-04-28,0.032854464
Madagascar,2020-04-29,0.032854464
Madagascar,2020-04-30,0.032854464
Madagascar,2020-05-01,0.051628444
Madagascar,2020-05-02,0.061015435
