Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Mali,2020-01-09,0.0
Mali,2020-01-10,0.0
Mali,2020-01-11,0.0
Mali,2020-01-12,0.0
Mali,2020-01-13,0.0
Mali,2020-01-14,0.0
Mali,2020-01-15,0.0
Mali,2020-01-16,0.0
Mali,2020-01-17,0.0
Mali,2020-01-18,0.0
Mali,2020-01-19,0.0
Mali,2020-01-20,0.0
Mali,2020-01-21,0.0
Mali,2020-01-22,0.0
Mali,2020-01-23,0.0
Mali,2020-01-24,0.0
Mali,2020-01-25,0.0
Mali,2020-01-26,0.0
Mali,2020-01-27,0.0
Mali,2020-01-28,0.0
Mali,2020-01-29,0.0
Mali,2020-01-30,0.0
Mali,2020-01-31,0.0
Mali,2020-02-01,0.0
Mali,2020-02-02,0.0
Mali,2020-02-03,0.0
Mali,2020-02-04,0.0
Mali,2020-02-05,0.0
Mali,2020-02-06,0.0
Mali,2020-02-07,0.0
Mali,2020-02-08,0.0
Mali,2020-02-09,0.0
Mali,2020-02-10,0.0
Mali,2020-02-11,0.0
Mali,2020-02-12,0.0
Mali,2020-02-13,0.0
Mali,2020-02-14,0.0
Mali,2020-02-15,0.0
Mali,2020-02-16,0.0
Mali,2020-02-17,0.0
Mali,2020-02-18,0.0
Mali,2020-02-19,0.0
Mali,2020-02-20,0.0
Mali,2020-02-21,0.0
Mali,2020-02-22,0.0
Mali,2020-02-23,0.0
Mali,2020-02-24,0.0
Mali,2020-02-25,0.0
Mali,2020-02-26,0.0
Mali,2020-02-27,0.0
Mali,2020-02-28,0.0
Mali,2020-02-29,0.0
Mali,2020-03-01,0.0
Mali,2020-03-02,0.0
Mali,2020-03-03,0.0
Mali,2020-03-04,0.0
Mali,2020-03-05,0.0
Mali,2020-03-06,0.0
Mali,2020-03-07,0.0
Mali,2020-03-08,0.0
Mali,2020-03-09,0.0
Mali,2020-03-10,0.0
Mali,2020-03-11,0.0
Mali,2020-03-12,0.0
Mali,2020-03-13,0.0
Mali,2020-03-14,0.0
Mali,2020-03-15,0.0
Mali,2020-03-16,0.0
Mali,2020-03-17,0.0
Mali,2020-03-18,0.0
Mali,2020-03-19,0.0
Mali,2020-03-20,0.0
Mali,2020-03-21,0.0
Mali,2020-03-22,0.0
Mali,2020-03-23,0.0
Mali,2020-03-24,0.0
Mali,2020-03-25,0.0
Mali,2020-03-26,0.0061916257
Mali,2020-03-27,0.018574877
Mali,2020-03-28,0.061916254
Mali,2020-03-29,0.10525764
Mali,2020-03-30,0.10525764
Mali,2020-03-31,0.10525764
Mali,2020-04-01,0.14859901
Mali,2020-04-02,0.17955714
Mali,2020-04-03,0.20432365
Mali,2020-04-04,0.16098227
Mali,2020-04-05,0.13621576
Mali,2020-04-06,0.17336552
Mali,2020-04-07,0.18574877
Mali,2020-04-08,0.19813202
Mali,2020-04-09,0.17955714
Mali,2020-04-10,0.23528178
Mali,2020-04-11,0.31577292
Mali,2020-04-12,0.4086473
Mali,2020-04-13,0.4396054
Mali,2020-04-14,0.47056356
Mali,2020-04-15,0.54486305
Mali,2020-04-16,0.55105466
Mali,2020-04-17,0.60058767
Mali,2020-04-18,0.63773745
Mali,2020-04-19,0.68727046
Mali,2020-04-20,0.66869557
Mali,2020-04-21,0.76157
Mali,2020-04-22,0.7058453
Mali,2020-04-23,0.99685174
Mali,2020-04-24,0.8544443
Mali,2020-04-25,0.83586943
Mali,2020-04-26,0.95351034
Mali,2020-04-27,1.0216182
Mali,2020-04-28,1.0030433
Mali,2020-04-29,1.0278099
Mali,2020-04-30,1.0711513
Mali,2020-05-01,1.1206843
Mali,2020-05-02,1.1330675
Mali,2020-05-03,1.0773429
Mali,2020-05-04,1.0773429
Mali,2020-05-05,1.0649596
Mali,2020-05-06,1.1640257
Mali,2020-05-07,0.9225522
