Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
New Zealand,2020-01-09,0.0
New Zealand,2020-01-10,0.0
New Zealand,2020-01-11,0.0
New Zealand,2020-01-12,0.0
New Zealand,2020-01-13,0.0
New Zealand,2020-01-14,0.0
New Zealand,2020-01-15,0.0
New Zealand,2020-01-16,0.0
New Zealand,2020-01-17,0.0
New Zealand,2020-01-18,0.0
New Zealand,2020-01-19,0.0
New Zealand,2020-01-20,0.0
New Zealand,2020-01-21,0.0
New Zealand,2020-01-22,0.0
New Zealand,2020-01-23,0.0
New Zealand,2020-01-24,0.0
New Zealand,2020-01-25,0.0
New Zealand,2020-01-26,0.0
New Zealand,2020-01-27,0.0
New Zealand,2020-01-28,0.0
New Zealand,2020-01-29,0.0
New Zealand,2020-01-30,0.0
New Zealand,2020-01-31,0.0
New Zealand,2020-02-01,0.0
New Zealand,2020-02-02,0.0
New Zealand,2020-02-03,0.0
New Zealand,2020-02-04,0.0
New Zealand,2020-02-05,0.0
New Zealand,2020-02-06,0.0
New Zealand,2020-02-07,0.0
New Zealand,2020-02-08,0.0
New Zealand,2020-02-09,0.0
New Zealand,2020-02-10,0.0
New Zealand,2020-02-11,0.0
New Zealand,2020-02-12,0.0
New Zealand,2020-02-13,0.0
New Zealand,2020-02-14,0.0
New Zealand,2020-02-15,0.0
New Zealand,2020-02-16,0.0
New Zealand,2020-02-17,0.0
New Zealand,2020-02-18,0.0
New Zealand,2020-02-19,0.0
New Zealand,2020-02-20,0.0
New Zealand,2020-02-21,0.0
New Zealand,2020-02-22,0.0
New Zealand,2020-02-23,0.0
New Zealand,2020-02-24,0.0
New Zealand,2020-02-25,0.0
New Zealand,2020-02-26,0.0
New Zealand,2020-02-27,0.0
New Zealand,2020-02-28,0.027837992
New Zealand,2020-02-29,0.027837992
New Zealand,2020-03-01,0.027837992
New Zealand,2020-03-02,0.027837992
New Zealand,2020-03-03,0.027837992
New Zealand,2020-03-04,0.055675983
New Zealand,2020-03-05,0.083513975
New Zealand,2020-03-06,0.083513975
New Zealand,2020-03-07,0.11135197
New Zealand,2020-03-08,0.11135197
New Zealand,2020-03-09,0.11135197
New Zealand,2020-03-10,0.11135197
New Zealand,2020-03-11,0.083513975
New Zealand,2020-03-12,0.055675983
New Zealand,2020-03-13,0.027837992
New Zealand,2020-03-14,0.027837992
New Zealand,2020-03-15,0.083513975
New Zealand,2020-03-16,0.083513975
New Zealand,2020-03-17,0.19486594
New Zealand,2020-03-18,0.41756988
New Zealand,2020-03-19,0.6402738
New Zealand,2020-03-20,0.9464917
New Zealand,2020-03-21,1.2805476
New Zealand,2020-03-22,1.6146035
New Zealand,2020-03-23,2.6167712
New Zealand,2020-03-24,3.618939
New Zealand,2020-03-25,4.704621
New Zealand,2020-03-26,6.51409
New Zealand,2020-03-27,8.32356
New Zealand,2020-03-28,10.133029
New Zealand,2020-03-29,11.413577
New Zealand,2020-03-30,12.527097
New Zealand,2020-03-31,12.749801
New Zealand,2020-04-01,12.749801
New Zealand,2020-04-02,12.833314
New Zealand,2020-04-03,12.137364
New Zealand,2020-04-04,11.357901
New Zealand,2020-04-05,11.023845
New Zealand,2020-04-06,9.993839
New Zealand,2020-04-07,9.548431
New Zealand,2020-04-08,8.963834
New Zealand,2020-04-09,7.48842
New Zealand,2020-04-10,6.7089562
New Zealand,2020-04-11,5.8738165
New Zealand,2020-04-12,4.927325
New Zealand,2020-04-13,4.259213
New Zealand,2020-04-14,3.591101
New Zealand,2020-04-15,3.034341
New Zealand,2020-04-16,2.5610952
New Zealand,2020-04-17,1.9764974
New Zealand,2020-04-18,1.6424415
New Zealand,2020-04-19,1.3640616
New Zealand,2020-04-20,1.1413577
New Zealand,2020-04-21,0.9743297
New Zealand,2020-04-22,0.89081573
New Zealand,2020-04-23,0.77946377
New Zealand,2020-04-24,0.77946377
New Zealand,2020-04-25,0.6402738
New Zealand,2020-04-26,0.6402738
New Zealand,2020-04-27,0.47324586
New Zealand,2020-04-28,0.47324586
New Zealand,2020-04-29,0.44540787
New Zealand,2020-04-30,0.47324586
New Zealand,2020-05-01,0.50108385
New Zealand,2020-05-02,0.47324586
New Zealand,2020-05-03,0.41756988
New Zealand,2020-05-04,0.41756988
New Zealand,2020-05-05,0.3618939
New Zealand,2020-05-06,0.3340559
New Zealand,2020-05-07,0.27837992
New Zealand,2020-05-08,0.25054193
New Zealand,2020-05-09,0.22270393
New Zealand,2020-05-10,0.22270393
New Zealand,2020-05-11,0.27837992
New Zealand,2020-05-12,0.27837992
New Zealand,2020-05-13,0.25054193
New Zealand,2020-05-14,0.22270393
New Zealand,2020-05-15,0.19486594
New Zealand,2020-05-16,0.16702795
New Zealand,2020-05-17,0.13918996
New Zealand,2020-05-18,0.055675983
New Zealand,2020-05-19,0.16702795
New Zealand,2020-05-20,0.16702795
New Zealand,2020-05-21,0.16702795
New Zealand,2020-05-22,0.16702795
New Zealand,2020-05-23,0.16702795
New Zealand,2020-05-24,0.13918996
New Zealand,2020-05-25,0.13918996
New Zealand,2020-05-26,0.027837992
New Zealand,2020-05-27,0.027837992
New Zealand,2020-05-28,0.027837992
New Zealand,2020-05-29,0.0
New Zealand,2020-05-30,0.0
New Zealand,2020-05-31,0.0
New Zealand,2020-06-01,0.0
New Zealand,2020-06-02,0.0
New Zealand,2020-06-03,0.0
New Zealand,2020-06-04,0.0
New Zealand,2020-06-05,0.0
New Zealand,2020-06-06,0.0
New Zealand,2020-06-07,0.0
New Zealand,2020-06-08,0.0
New Zealand,2020-06-09,0.0
New Zealand,2020-06-10,0.0
New Zealand,2020-06-11,0.0
New Zealand,2020-06-12,0.0
New Zealand,2020-06-13,0.0
New Zealand,2020-06-14,0.0
New Zealand,2020-06-15,0.0
New Zealand,2020-06-16,0.055675983
New Zealand,2020-06-17,0.055675983
