Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Norway,2020-01-09,0.0
Norway,2020-01-10,0.0
Norway,2020-01-11,0.0
Norway,2020-01-12,0.0
Norway,2020-01-13,0.0
Norway,2020-01-14,0.0
Norway,2020-01-15,0.0
Norway,2020-01-16,0.0
Norway,2020-01-17,0.0
Norway,2020-01-18,0.0
Norway,2020-01-19,0.0
Norway,2020-01-20,0.0
Norway,2020-01-21,0.0
Norway,2020-01-22,0.0
Norway,2020-01-23,0.0
Norway,2020-01-24,0.0
Norway,2020-01-25,0.0
Norway,2020-01-26,0.0
Norway,2020-01-27,0.0
Norway,2020-01-28,0.0
Norway,2020-01-29,0.0
Norway,2020-01-30,0.0
Norway,2020-01-31,0.0
Norway,2020-02-01,0.0
Norway,2020-02-02,0.0
Norway,2020-02-03,0.0
Norway,2020-02-04,0.0
Norway,2020-02-05,0.0
Norway,2020-02-06,0.0
Norway,2020-02-07,0.0
Norway,2020-02-08,0.0
Norway,2020-02-09,0.0
Norway,2020-02-10,0.0
Norway,2020-02-11,0.0
Norway,2020-02-12,0.0
Norway,2020-02-13,0.0
Norway,2020-02-14,0.0
Norway,2020-02-15,0.0
Norway,2020-02-16,0.0
Norway,2020-02-17,0.0
Norway,2020-02-18,0.0
Norway,2020-02-19,0.0
Norway,2020-02-20,0.0
Norway,2020-02-21,0.0
Norway,2020-02-22,0.026179679
Norway,2020-02-23,0.026179679
Norway,2020-02-24,0.026179679
Norway,2020-02-25,0.026179679
Norway,2020-02-26,0.026179679
Norway,2020-02-27,0.104718715
Norway,2020-02-28,0.15707807
Norway,2020-02-29,0.36651552
Norway,2020-03-01,0.5235936
Norway,2020-03-02,0.7853904
Norway,2020-03-03,1.0995466
Norway,2020-03-04,1.9111166
Norway,2020-03-05,2.696507
Norway,2020-03-06,3.508077
Norway,2020-03-07,3.900772
Norway,2020-03-08,4.241108
Norway,2020-03-09,5.68099
Norway,2020-03-10,11.833215
Norway,2020-03-11,17.330948
Norway,2020-03-12,21.048462
Norway,2020-03-13,25.577547
Norway,2020-03-14,28.797647
Norway,2020-03-15,30.918201
Norway,2020-03-16,31.80831
Norway,2020-03-17,30.054272
Norway,2020-03-18,28.352592
Norway,2020-03-19,29.34742
Norway,2020-03-20,30.23753
Norway,2020-03-21,34.452457
Norway,2020-03-22,36.389755
Norway,2020-03-23,37.672558
Norway,2020-03-24,40.7094
Norway,2020-03-25,44.296017
Norway,2020-03-26,46.364212
Norway,2020-03-27,47.882633
Norway,2020-03-28,46.678368
Norway,2020-03-29,46.46893
Norway,2020-03-30,45.369385
Norway,2020-03-31,44.531635
Norway,2020-04-01,41.78277
Norway,2020-04-02,39.321877
Norway,2020-04-03,36.70391
Norway,2020-04-04,34.1383
Norway,2020-04-05,32.096287
Norway,2020-04-06,31.206177
Norway,2020-04-07,28.457312
Norway,2020-04-08,26.677094
Norway,2020-04-09,24.268562
Norway,2020-04-10,21.781492
Norway,2020-04-11,19.268244
Norway,2020-04-12,19.844196
Norway,2020-04-13,19.975096
Norway,2020-04-14,17.828362
Norway,2020-04-15,17.357128
Norway,2020-04-16,17.27859
Norway,2020-04-17,16.676456
Norway,2020-04-18,17.723642
Norway,2020-04-19,16.126682
Norway,2020-04-20,15.053315
Norway,2020-04-21,15.236573
Norway,2020-04-22,14.084667
Norway,2020-04-23,13.4039955
Norway,2020-04-24,13.116019
Norway,2020-04-25,11.676137
Norway,2020-04-26,11.047825
Norway,2020-04-27,11.074004
Norway,2020-04-28,10.733668
Norway,2020-04-29,10.000637
Norway,2020-04-30,9.00581
Norway,2020-05-01,8.220419
Norway,2020-05-02,7.9586225
Norway,2020-05-03,7.9062634
Norway,2020-05-04,8.08952
Norway,2020-05-05,7.4088492
Norway,2020-05-06,7.251771
Norway,2020-05-07,7.251771
Norway,2020-05-08,6.9899745
Norway,2020-05-09,6.9637947
Norway,2020-05-10,6.6496387
Norway,2020-05-11,5.8118887
Norway,2020-05-12,5.2882953
Norway,2020-05-13,4.6338034
Norway,2020-05-14,4.1102095
Norway,2020-05-15,3.9793112
Norway,2020-05-16,3.4818974
Norway,2020-05-17,3.5342567
