Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Russia,2020-01-09,0.0
Russia,2020-01-10,0.0
Russia,2020-01-11,0.0
Russia,2020-01-12,0.0
Russia,2020-01-13,0.0
Russia,2020-01-14,0.0
Russia,2020-01-15,0.0
Russia,2020-01-16,0.0
Russia,2020-01-17,0.0
Russia,2020-01-18,0.0
Russia,2020-01-19,0.0
Russia,2020-01-20,0.0
Russia,2020-01-21,0.0
Russia,2020-01-22,0.0
Russia,2020-01-23,0.0
Russia,2020-01-24,0.0
Russia,2020-01-25,0.0
Russia,2020-01-26,0.0
Russia,2020-01-27,0.0
Russia,2020-01-28,0.0
Russia,2020-01-29,0.0
Russia,2020-01-30,0.0
Russia,2020-01-31,0.0
Russia,2020-02-01,0.0019625945
Russia,2020-02-02,0.0019625945
Russia,2020-02-03,0.0019625945
Russia,2020-02-04,0.0019625945
Russia,2020-02-05,0.0019625945
Russia,2020-02-06,0.0019625945
Russia,2020-02-07,0.0019625945
Russia,2020-02-08,0.0
Russia,2020-02-09,0.0
Russia,2020-02-10,0.0
Russia,2020-02-11,0.0
Russia,2020-02-12,0.0
Russia,2020-02-13,0.0
Russia,2020-02-14,0.0
Russia,2020-02-15,0.0
Russia,2020-02-16,0.0
Russia,2020-02-17,0.0
Russia,2020-02-18,0.0
Russia,2020-02-19,0.0
Russia,2020-02-20,0.0
Russia,2020-02-21,0.0
Russia,2020-02-22,0.0
Russia,2020-02-23,0.0
Russia,2020-02-24,0.0
Russia,2020-02-25,0.0
Russia,2020-02-26,0.0
Russia,2020-02-27,0.0
Russia,2020-02-28,0.0
Russia,2020-02-29,0.0
Russia,2020-03-01,0.0
Russia,2020-03-02,0.0
Russia,2020-03-03,0.0009812972
Russia,2020-03-04,0.0009812972
Russia,2020-03-05,0.0009812972
Russia,2020-03-06,0.0019625945
Russia,2020-03-07,0.0019625945
Russia,2020-03-08,0.0049064863
Russia,2020-03-09,0.0049064863
Russia,2020-03-10,0.003925189
Russia,2020-03-11,0.003925189
Russia,2020-03-12,0.016682053
Russia,2020-03-13,0.029438917
Russia,2020-03-14,0.029438917
Russia,2020-03-15,0.026495025
Russia,2020-03-16,0.026495025
Russia,2020-03-17,0.084391564
Russia,2020-03-18,0.084391564
Russia,2020-03-19,0.12462475
Russia,2020-03-20,0.16191404
Russia,2020-03-21,0.2149041
Russia,2020-03-22,0.26691285
Russia,2020-03-23,0.39644408
Russia,2020-03-24,0.39448148
Russia,2020-03-25,0.5544329
Russia,2020-03-26,0.680039
Russia,2020-03-27,0.8213458
Russia,2020-03-28,0.9920915
Russia,2020-03-29,1.205033
Russia,2020-03-30,1.3728348
Russia,2020-03-31,1.8075495
Russia,2020-04-01,2.0793688
Russia,2020-04-02,1.9007727
Russia,2020-04-03,2.4650187
Russia,2020-04-04,2.8310425
Russia,2020-04-05,3.1372073
Russia,2020-04-06,3.4855678
Russia,2020-04-07,3.9310768
Russia,2020-04-08,4.631723
Russia,2020-04-09,7.2164598
Russia,2020-04-10,8.212477
Russia,2020-04-11,9.258539
Russia,2020-04-12,10.8325405
Russia,2020-04-13,12.697005
Russia,2020-04-14,14.482965
Russia,2020-04-15,16.675184
Russia,2020-04-16,17.473959
Russia,2020-04-17,19.715242
Russia,2020-04-18,22.774927
Russia,2020-04-19,26.576473
Russia,2020-04-20,28.254492
Russia,2020-04-21,31.068851
Russia,2020-04-22,32.88229
Russia,2020-04-23,34.18349
Russia,2020-04-24,35.92922
Russia,2020-04-25,37.088127
Russia,2020-04-26,37.3835
Russia,2020-04-27,39.277405
Russia,2020-04-28,40.03202
Russia,2020-04-29,40.625706
Russia,2020-04-30,42.907223
Russia,2020-05-01,44.952244
Russia,2020-05-02,48.540848
Russia,2020-05-03,52.732952
Russia,2020-05-04,57.033978
Russia,2020-05-05,60.655945
Russia,2020-05-06,65.285706
Russia,2020-05-07,69.34042
Russia,2020-05-08,72.054695
Russia,2020-05-09,73.226364
Russia,2020-05-10,73.598274
Russia,2020-05-11,74.65317
Russia,2020-05-12,75.435265
Russia,2020-05-13,74.91419
Russia,2020-05-14,73.6807
Russia,2020-05-15,73.58159
Russia,2020-05-16,71.994835
Russia,2020-05-17,70.7162
Russia,2020-05-18,68.03726
Russia,2020-05-19,66.43186
Russia,2020-05-20,65.1915
Russia,2020-05-21,64.08754
Russia,2020-05-22,62.41541
Russia,2020-05-23,62.645035
Russia,2020-05-24,61.555794
Russia,2020-05-25,61.57542
Russia,2020-05-26,61.23393
Russia,2020-05-27,60.815895
Russia,2020-05-28,60.346836
Russia,2020-05-29,60.030857
Russia,2020-05-30,59.557873
Russia,2020-05-31,60.21436
Russia,2020-06-01,60.301697
Russia,2020-06-02,60.250668
Russia,2020-06-03,60.444965
Russia,2020-06-04,60.896362
Russia,2020-06-05,61.04748
Russia,2020-06-06,60.952297
Russia,2020-06-07,60.673607
Russia,2020-06-08,60.624542
Russia,2020-06-09,60.361557
Russia,2020-06-10,60.232025
Russia,2020-06-11,60.180996
Russia,2020-06-12,60.437115
Russia,2020-06-13,60.2909
Russia,2020-06-14,60.144688
Russia,2020-06-15,59.41951
Russia,2020-06-16,59.079
Russia,2020-06-17,58.528492
Russia,2020-06-18,57.557987
Russia,2020-06-19,56.561974
Russia,2020-06-20,55.760254
Russia,2020-06-21,54.673958
Russia,2020-06-22,54.04004
Russia,2020-06-23,53.23243
Russia,2020-06-24,52.577904
Russia,2020-06-25,51.913567
Russia,2020-06-26,50.76349
Russia,2020-06-27,49.74588
Russia,2020-06-28,48.826405
Russia,2020-06-29,47.961884
Russia,2020-06-30,47.243572
Russia,2020-07-01,46.63517
Russia,2020-07-02,46.288773
Russia,2020-07-03,46.208305
Russia,2020-07-04,45.99242
Russia,2020-07-05,45.93845
Russia,2020-07-06,45.83247
Russia,2020-07-07,45.513546
Russia,2020-07-08,45.519436
Russia,2020-07-09,45.27313
Russia,2020-07-10,45.19168
Russia,2020-07-11,45.171074
Russia,2020-07-12,45.052338
Russia,2020-07-13,44.97972
Russia,2020-07-14,44.861965
Russia,2020-07-15,44.724583
Russia,2020-07-16,44.6451
Russia,2020-07-17,44.420383
Russia,2020-07-18,44.050434
Russia,2020-07-19,43.553898
Russia,2020-07-20,42.968063
Russia,2020-07-21,42.569656
Russia,2020-07-22,42.02013
Russia,2020-07-23,41.450977
Russia,2020-07-24,40.867104
Russia,2020-07-25,40.510895
Russia,2020-07-26,40.17333
Russia,2020-07-27,39.87403
Russia,2020-07-28,39.43539
Russia,2020-07-29,39.05563
Russia,2020-07-30,38.72297
Russia,2020-07-31,38.400124
Russia,2020-08-01,37.99877
Russia,2020-08-02,37.667095
Russia,2020-08-03,37.430603
Russia,2020-08-04,37.199017
Russia,2020-08-05,36.933083
Russia,2020-08-06,36.69561
Russia,2020-08-07,36.459118
Russia,2020-08-08,36.213795
Russia,2020-08-09,35.980244
Russia,2020-08-10,35.709408
Russia,2020-08-11,35.49941
Russia,2020-08-12,35.399315
Russia,2020-08-13,35.193245
Russia,2020-08-14,35.020535
Russia,2020-08-15,34.87236
Russia,2020-08-16,34.656475
Russia,2020-08-17,34.4347
Russia,2020-08-18,34.241386
Russia,2020-08-19,33.97251
Russia,2020-08-20,33.705597
Russia,2020-08-21,33.514244
Russia,2020-08-22,33.37686
Russia,2020-08-23,33.26205
Russia,2020-08-24,33.116817
Russia,2020-08-25,33.065792
Russia,2020-08-26,32.916634
Russia,2020-08-27,32.844017
Russia,2020-08-28,32.803783
Russia,2020-08-29,32.82341
Russia,2020-08-30,32.949017
Russia,2020-08-31,33.19336
Russia,2020-09-01,33.225742
Russia,2020-09-02,33.496582
Russia,2020-09-03,33.77527
Russia,2020-09-04,34.051014
