Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
San Marino,2020-01-09,0.0
San Marino,2020-01-10,0.0
San Marino,2020-01-11,0.0
San Marino,2020-01-12,0.0
San Marino,2020-01-13,0.0
San Marino,2020-01-14,0.0
San Marino,2020-01-15,0.0
San Marino,2020-01-16,0.0
San Marino,2020-01-17,0.0
San Marino,2020-01-18,0.0
San Marino,2020-01-19,0.0
San Marino,2020-01-20,0.0
San Marino,2020-01-21,0.0
San Marino,2020-01-22,0.0
San Marino,2020-01-23,0.0
San Marino,2020-01-24,0.0
San Marino,2020-01-25,0.0
San Marino,2020-01-26,0.0
San Marino,2020-01-27,0.0
San Marino,2020-01-28,0.0
San Marino,2020-01-29,0.0
San Marino,2020-01-30,0.0
San Marino,2020-01-31,0.0
San Marino,2020-02-01,0.0
San Marino,2020-02-02,0.0
San Marino,2020-02-03,0.0
San Marino,2020-02-04,0.0
San Marino,2020-02-05,0.0
San Marino,2020-02-06,0.0
San Marino,2020-02-07,0.0
San Marino,2020-02-08,0.0
San Marino,2020-02-09,0.0
San Marino,2020-02-10,0.0
San Marino,2020-02-11,0.0
San Marino,2020-02-12,0.0
San Marino,2020-02-13,0.0
San Marino,2020-02-14,0.0
San Marino,2020-02-15,0.0
San Marino,2020-02-16,0.0
San Marino,2020-02-17,0.0
San Marino,2020-02-18,0.0
San Marino,2020-02-19,0.0
San Marino,2020-02-20,0.0
San Marino,2020-02-21,0.0
San Marino,2020-02-22,0.0
San Marino,2020-02-23,0.0
San Marino,2020-02-24,0.0
San Marino,2020-02-25,0.0
San Marino,2020-02-26,0.0
San Marino,2020-02-27,0.0
San Marino,2020-02-28,0.0
San Marino,2020-02-29,4.1877627
San Marino,2020-03-01,4.1877627
San Marino,2020-03-02,8.375525
San Marino,2020-03-03,41.877625
San Marino,2020-03-04,41.877625
San Marino,2020-03-05,71.19196
San Marino,2020-03-06,96.318535
San Marino,2020-03-07,100.5063
San Marino,2020-03-08,113.06959
San Marino,2020-03-09,150.75945
San Marino,2020-03-10,167.5105
San Marino,2020-03-11,213.57588
San Marino,2020-03-12,184.26155
San Marino,2020-03-13,175.88603
San Marino,2020-03-14,221.95142
San Marino,2020-03-15,209.38812
San Marino,2020-03-16,167.5105
San Marino,2020-03-17,221.95142
