Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Sudan,2020-01-09,0.0
Sudan,2020-01-10,0.0
Sudan,2020-01-11,0.0
Sudan,2020-01-12,0.0
Sudan,2020-01-13,0.0
Sudan,2020-01-14,0.0
Sudan,2020-01-15,0.0
Sudan,2020-01-16,0.0
Sudan,2020-01-17,0.0
Sudan,2020-01-18,0.0
Sudan,2020-01-19,0.0
Sudan,2020-01-20,0.0
Sudan,2020-01-21,0.0
Sudan,2020-01-22,0.0
Sudan,2020-01-23,0.0
Sudan,2020-01-24,0.0
Sudan,2020-01-25,0.0
Sudan,2020-01-26,0.0
Sudan,2020-01-27,0.0
Sudan,2020-01-28,0.0
Sudan,2020-01-29,0.0
Sudan,2020-01-30,0.0
Sudan,2020-01-31,0.0
Sudan,2020-02-01,0.0
Sudan,2020-02-02,0.0
Sudan,2020-02-03,0.0
Sudan,2020-02-04,0.0
Sudan,2020-02-05,0.0
Sudan,2020-02-06,0.0
Sudan,2020-02-07,0.0
Sudan,2020-02-08,0.0
Sudan,2020-02-09,0.0
Sudan,2020-02-10,0.0
Sudan,2020-02-11,0.0
Sudan,2020-02-12,0.0
Sudan,2020-02-13,0.0
Sudan,2020-02-14,0.0
Sudan,2020-02-15,0.0
Sudan,2020-02-16,0.0
Sudan,2020-02-17,0.0
Sudan,2020-02-18,0.0
Sudan,2020-02-19,0.0
Sudan,2020-02-20,0.0
Sudan,2020-02-21,0.0
Sudan,2020-02-22,0.0
Sudan,2020-02-23,0.0
Sudan,2020-02-24,0.0
Sudan,2020-02-25,0.0
Sudan,2020-02-26,0.0
Sudan,2020-02-27,0.0
Sudan,2020-02-28,0.0
Sudan,2020-02-29,0.0
Sudan,2020-03-01,0.0
Sudan,2020-03-02,0.0
Sudan,2020-03-03,0.0
Sudan,2020-03-04,0.0
Sudan,2020-03-05,0.0
Sudan,2020-03-06,0.0
Sudan,2020-03-07,0.0
Sudan,2020-03-08,0.0
Sudan,2020-03-09,0.0
Sudan,2020-03-10,0.0
Sudan,2020-03-11,0.0
Sudan,2020-03-12,0.0
Sudan,2020-03-13,0.0
Sudan,2020-03-14,0.0028928204
Sudan,2020-03-15,0.0028928204
Sudan,2020-03-16,0.0028928204
Sudan,2020-03-17,0.0028928204
Sudan,2020-03-18,0.0028928204
Sudan,2020-03-19,0.0028928204
Sudan,2020-03-20,0.0028928204
Sudan,2020-03-21,0.0
Sudan,2020-03-22,0.0028928204
Sudan,2020-03-23,0.0028928204
Sudan,2020-03-24,0.0028928204
Sudan,2020-03-25,0.005785641
Sudan,2020-03-26,0.005785641
Sudan,2020-03-27,0.005785641
Sudan,2020-03-28,0.005785641
Sudan,2020-03-29,0.008678461
Sudan,2020-03-30,0.011571282
Sudan,2020-03-31,0.011571282
Sudan,2020-04-01,0.011571282
Sudan,2020-04-02,0.011571282
Sudan,2020-04-03,0.011571282
Sudan,2020-04-04,0.020249743
Sudan,2020-04-05,0.014464102
Sudan,2020-04-06,0.017356923
Sudan,2020-04-07,0.017356923
Sudan,2020-04-08,0.020249743
Sudan,2020-04-09,0.020249743
Sudan,2020-04-10,0.020249743
Sudan,2020-04-11,0.014464102
Sudan,2020-04-12,0.026035383
Sudan,2020-04-13,0.020249743
Sudan,2020-04-14,0.04917795
Sudan,2020-04-15,0.052070767
Sudan,2020-04-16,0.052070767
Sudan,2020-04-17,0.052070767
Sudan,2020-04-18,0.052070767
Sudan,2020-04-19,0.13596256
Sudan,2020-04-20,0.13596256
Sudan,2020-04-21,0.22564
Sudan,2020-04-22,0.21696153
Sudan,2020-04-23,0.3124246
Sudan,2020-04-24,0.37606665
Sudan,2020-04-25,0.40788767
Sudan,2020-04-26,0.4252446
Sudan,2020-04-27,0.4946723
Sudan,2020-04-28,0.48599383
Sudan,2020-04-29,0.6103851
Sudan,2020-04-30,0.6798128
Sudan,2020-05-01,0.8099897
Sudan,2020-05-02,1.0385225
Sudan,2020-05-03,1.0963789
Sudan,2020-05-04,1.0269512
Sudan,2020-05-05,1.1658067
Sudan,2020-05-06,1.3306974
Sudan,2020-05-07,1.3798753
Sudan,2020-05-08,1.4116963
Sudan,2020-05-09,1.6720502
Sudan,2020-05-10,1.6546932
Sudan,2020-05-11,2.2361503
Sudan,2020-05-12,2.4531116
Sudan,2020-05-13,2.5543604
Sudan,2020-05-14,2.7944646
Sudan,2020-05-15,2.9911764
Sudan,2020-05-16,2.4675758
Sudan,2020-05-17,3.254423
Sudan,2020-05-18,3.5465977
Sudan,2020-05-19,3.0808537
Sudan,2020-05-20,3.0866394
Sudan,2020-05-21,3.818523
Sudan,2020-05-22,3.396171
Sudan,2020-05-23,4.090448
Sudan,2020-05-24,3.8908434
Sudan,2020-05-25,3.5726333
Sudan,2020-05-26,4.0065565
Sudan,2020-05-27,4.1020193
Sudan,2020-05-28,3.494527
Sudan,2020-05-29,3.494527
Sudan,2020-05-30,3.3064938
Sudan,2020-05-31,3.3730285
Sudan,2020-06-01,3.4713845
Sudan,2020-06-02,3.462706
Sudan,2020-06-03,3.367243
Sudan,2020-06-04,3.335422
Sudan,2020-06-05,3.9573784
Sudan,2020-06-06,3.8908434
Sudan,2020-06-07,3.705703
Sudan,2020-06-08,3.0519254
Sudan,2020-06-09,3.092425
Sudan,2020-06-10,3.2312803
Sudan,2020-06-11,3.1329246
Sudan,2020-06-12,2.9391055
Sudan,2020-06-13,2.930427
Sudan,2020-06-14,2.6787517
Sudan,2020-06-15,3.2949224
Sudan,2020-06-16,3.4511347
Sudan,2020-06-17,3.7982733
Sudan,2020-06-18,4.159876
Sudan,2020-06-19,3.7317383
Sudan,2020-06-20,4.4462647
Sudan,2020-06-21,4.5504065
Sudan,2020-06-22,4.2755885
Sudan,2020-06-23,3.9371285
Sudan,2020-06-24,3.318065
Sudan,2020-06-25,2.5080752
Sudan,2020-06-26,2.7828932
Sudan,2020-06-27,2.432862
Sudan,2020-06-28,2.12333
Sudan,2020-06-29,1.7993343
Sudan,2020-06-30,1.6662645
Sudan,2020-07-01,1.7732989
Sudan,2020-07-02,1.9844748
Sudan,2020-07-03,2.045224
Sudan,2020-07-04,1.2496984
Sudan,2020-07-05,1.3104477
Sudan,2020-07-06,1.2930907
Sudan,2020-07-07,1.5100522
Sudan,2020-07-08,1.4377317
Sudan,2020-07-09,1.4782312
Sudan,2020-07-10,1.4898025
Sudan,2020-07-11,1.4898025
Sudan,2020-07-12,1.3972323
Sudan,2020-07-13,1.3972323
Sudan,2020-07-14,1.2207702
Sudan,2020-07-15,1.2149845
Sudan,2020-07-16,1.2815194
Sudan,2020-07-17,0.934381
Sudan,2020-07-18,0.934381
Sudan,2020-07-19,1.481124
Sudan,2020-07-20,2.1464727
Sudan,2020-07-21,1.9555466
Sudan,2020-07-22,2.0539024
Sudan,2020-07-23,2.0539024
Sudan,2020-07-24,2.2419357
Sudan,2020-07-25,2.2419357
Sudan,2020-07-26,1.8022271
Sudan,2020-07-27,1.2496984
Sudan,2020-07-28,1.4579815
Sudan,2020-07-29,1.3075548
Sudan,2020-07-30,0.9893446
Sudan,2020-07-31,0.80131125
Sudan,2020-08-01,0.9893446
Sudan,2020-08-02,1.0211656
Sudan,2020-08-03,0.90834564
Sudan,2020-08-04,0.821561
Sudan,2020-08-05,0.5814569
Sudan,2020-08-06,0.7839543
Sudan,2020-08-07,0.91123843
Sudan,2020-08-08,0.7232051
Sudan,2020-08-09,0.63063484
Sudan,2020-08-10,0.85338205
Sudan,2020-08-11,0.7318836
Sudan,2020-08-12,0.9690948
Sudan,2020-08-13,0.90256
Sudan,2020-08-14,0.9170241
Sudan,2020-08-15,1.2149845
Sudan,2020-08-16,1.3133404
Sudan,2020-08-17,1.3075548
Sudan,2020-08-18,1.4840169
Sudan,2020-08-19,1.3509471
Sudan,2020-08-20,1.3335903
Sudan,2020-08-21,1.3625184
Sudan,2020-08-22,1.5100522
Sudan,2020-08-23,1.4261605
Sudan,2020-08-24,1.4145892
Sudan,2020-08-25,1.2381271
Sudan,2020-08-26,1.3393759
Sudan,2020-08-27,1.3278046
Sudan,2020-08-28,1.4666599
Sudan,2020-08-29,1.0211656
Sudan,2020-08-30,0.8273466
Sudan,2020-08-31,0.6219564
Sudan,2020-09-01,0.6219564
Sudan,2020-09-02,0.41656613
Sudan,2020-09-03,0.30953178
Sudan,2020-09-04,0.0
Sudan,2020-09-05,0.63063484
Sudan,2020-09-06,0.71741945
Sudan,2020-09-07,0.71741945
Sudan,2020-09-08,0.81288254
Sudan,2020-09-09,0.81288254
Sudan,2020-09-10,0.81288254
Sudan,2020-09-11,0.9459523
Sudan,2020-09-12,0.36160254
Sudan,2020-09-13,0.27481794
Sudan,2020-09-14,0.27481794
Sudan,2020-09-15,0.18803333
Sudan,2020-09-16,0.18803333
Sudan,2020-09-17,0.18803333
Sudan,2020-09-18,0.11282
Sudan,2020-09-19,0.06653487
Sudan,2020-09-20,0.06653487
Sudan,2020-09-21,0.1272841
Sudan,2020-09-22,0.12439128
Sudan,2020-09-23,0.12439128
Sudan,2020-09-24,0.16489077
Sudan,2020-09-25,0.1417482
Sudan,2020-09-26,0.14753383
Sudan,2020-09-27,0.15910512
Sudan,2020-09-28,0.107034355
Sudan,2020-09-29,0.17935486
Sudan,2020-09-30,0.1967118
Sudan,2020-10-01,0.17646204
Sudan,2020-10-02,0.15331948
Sudan,2020-10-03,0.15042666
Sudan,2020-10-04,0.14464103
Sudan,2020-10-05,0.13596256
Sudan,2020-10-06,0.08099897
Sudan,2020-10-07,0.06364205
Sudan,2020-10-08,0.04917795
Sudan,2020-10-09,0.046285126
Sudan,2020-10-10,0.06942769
Sudan,2020-10-11,0.07232051
Sudan,2020-10-12,0.08967743
Sudan,2020-10-13,0.06653487
Sudan,2020-10-14,0.083891794
Sudan,2020-10-15,0.07810615
Sudan,2020-10-16,0.07810615
Sudan,2020-10-17,0.052070767
Sudan,2020-10-18,0.07521333
Sudan,2020-10-19,0.095463075
Sudan,2020-10-20,0.095463075
Sudan,2020-10-21,0.08967743
